COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə r																		
63-1	ʔ ə r r ə																		
107-1	g ə m ə r ə																		
112-1	d ə mː ə r ə																		
331-1	m ə h ə r s																		
377-1	ʔ ʔ ə h g ə r ə																		
381-1	ʔ ə ə n j o																		
417-1	m ə s																		
451-1	g ə ʔ ɨ n ə t																		
454-1	ʔ ɨ n kʼ ə r s a																		
484-1	m ə ə n g																		
535-1	ʔ ə g ə r j ə																		
543-1	ʔ ə lː ə s t																		
593-1	g ə m g ə s																		
640-1	m ə ə ɲː ə																		
1-1	g ə n ə r ə																		
65-1	g ə dʒː ɲː																		
212-1	g ə s																		
244-1	ʔ ə r b kʼː ə j t																		
248-1	m ʔ ə r kʼ r																		
293-1	f ə r ə s																		
373-1	g ə ə b ə o																		
408-1	g ə g ə r ə																		
414-1	ʔ ə t ə h ə ə																		
601-1	ʔ ə lː ə bː ə d a																		
642-1	ʔ ə f ə																		
60-1	w ə rː ə s ə																		
115-1	ʔ ə r ə a																		
209-1	g ə n r j																		
242-1	ʔ ə zː kʼː ə s t																		
415-1	s ə r ə t																		
450-1	g ə m u																		
490-1	g ə h ə ə ə																		
638-1	g ə lː ɲː ə																		
645-1	g ə o																		
160-1	tʼ ə lː ə s a																		
208-1	ʔ a zː kʼ ə ə ə																		
214-1	g ə b a																		
378-1	ʔ ə lː g kʼː ə s																		
379-1	g ə h ɨ f ə s																		
409-1	ʔ ə b g ə r ə																		
598-1	kʼ ə lː ə ə t																		
646-1	ʔ ə h ɨ kʼ ə																		
210-1	g ə h ə ə r																		
215-1	g ə bː bː ə kʼ ə																		
285-1	g ə dʒː ə																		
332-1	g ə s kʼː ə r ə																		
380-1	ʔ ə h ə ə ə																		
412-1	s ə h ə s																		
64-1	g ə h ə																		
67-1	w ə bː kʼː																		
251-1	g ə w a a																		
294-1	g ə tʃʼ ə kʼː ɨ ɲː a t																		
597-1	g ə t kʼː i kʼː ə r ə																		
7-1	g ə ə g ə																		
158-1	ʔ ɨ s g a s t																		
372-1	g ə n g ə n																		
374-1	g ə ʔ b ə b t ə																		
375-1	s ɨ fː																		
411-1	s ə bː r ɨ o																		
541-1	s u g ə																		
6-1	ə kʼː ə r ə																		
113-1	g ə s ə																		
330-1	g ɨ lː b																		
448-1	kʼ ə d ə n ə k ə r t ə t																		
449-1	g ə h ə																		
491-1	g ə n g ə t																		
596-1	ə dʒː ə																		
4-1	ʔ ʔ h kʼː t o																		
8-1	ʔ a a ə kʼː ə t t																		
106-1	ʔ ɨ n g i																		
290-1	dʒ ɨ h ə s ə																		
489-1	kʼ ə ə kʼː ə r ə																		
602-1	g ə s g																		
2-1	ʔ ʔ ə r u s j t																		
3-1	g ə h a ə																		
213-1	ʔ ɨ lː i s w a																		
486-1	k ə bː ə kʼ ə																		
647-1	ʔ a h a																		
10-1	tʼ ə h g ə a																		
110-1	g ə ʃː ə																		
152-1	w ɨ j a																		
211-1	r ɨ mː ə																		
328-1	ʔ ə t ə s ə																		
333-1	f ə h ə s a																		
334-1	ʔ ə n h ə d a																		
410-1	g a b ʃː a																		
540-1	j ɨ ʃː a																		
109-1	ʔ ɨ n f a																		
61-2		b ə m																	
63-2		x ə j m ə m																	
107-2		tʃ ɨ m ə m a																	
112-2		d ə m ə m e																	
331-2		m ə g ɨ r m																	
377-2		b x ə g a e r ə																	
381-2		x ə n ə n d o																	
417-2		m ɨ d																	
451-2		m ə ə n kː e d i																	
454-2		ʔ ɨ n kʼ ə r																	
484-2		m ə d ə ɲː o i																	
535-2		f ə u r w																	
543-2		m ə fː ə s d i																	
593-2		x ɨ n ɨ ə d																	
640-2		m ɨ ə w																	
1-2		tʃ ə ə s ə m																	
65-2		x ə h o dʒː																	
163-2		x ə tʃ ə a e																	
212-2		x ə sː																	
244-2		b ɨ r n dʒ ə d d																	
248-2		m x ɨ r tʼ i																	
293-2		m ə rː e s																	
373-2		kʼ ɨ m a a																	
408-2		x ə j ə m a																	
414-2		tʃ ə e kː e m a																	
642-2		m ə g m ə d																	
60-2		ə rː ə s ə																	
115-2		ɨ ɨ m e m																	
