COGID	dutch	english	french	german
1469-1	h ɑ n t			
2047-1	z oː n ə ə			
2054-1	d ɪ n d ə r			
1375-1	l ɔ d l ə t			
760-1	w ɪ n t			
756-1	s l eː w			
726-1	l aː v ə r			
1351-1	k l ɪ n s + h aː d ə r			
1353-1	k r ɛ n + m oː d ə r			
412-1	v v ə t ə r + d			
406-1	v v ə t ə r + m d			
1005-1	s v aː n + h aː d ə r			
1012-1	s v aː n + m oː d ə r			
1016-1	w ɪ d ɛɪ + b t t			
1069-1	d ɪ k			
509-1	v ɑ l ə			
693-1	s ɛ l l + ə			
2179-1	n ɛ n t			
1753-1	v l ɑ s ə			
1131-1	w ɛ l t			
1198-1	b oː ɔ r t			
2032-1	h oː r l			
2241-1	n eː ŋ			
2244-1	l eː d ə			
610-1	k l n l			
945-1	h ɛ r t			
1534-1	l eː d ə			
384-1	z ɛɪ k ə			
1650-1	n l ɑ			
1663-1	v ɛ l t			
2279-1	l ɛɪ n ə r			
471-1	z eː k ə			
1385-1	z ɛɪ d			
792-1	r oː k			
1111-1	m ɛ n t			
197-1	n eː v ə			
2020-1	l ɑ ŋ			
867-1	h ɪ n d ə r t			
1970-1	v ɔ l t			
1230-1	d r + eː k ə ə t			
2017-1	n l oː ə ə			
968-1	w eː x ə l t			
1674-1	l ɑ n t			
1671-1	h aː ɣ ə l			
829-1	k l ɑ v			
1025-1	w eː t ə r			
1027-1	h oː			
1832-1	r ɛɪ t			
-1816-1	oː t aː w ə l			
-335-1	l ɛɪ x ə n			
1043-1	z d r ɑ s			
423-1	s d ɪ r			
2049-1	h ɔ n t			
2062-1	s t eː r l			
2065-1	n ɛ v ɑ + b eː k ə			
1368-1	s x ɛɪ d ə			
1365-1	d l ɑ w			
754-1	r ɛɪ ɣ ə l			
768-1	w eː v ə r			
1211-1	v ɛ ə r			
106-1	h ɑ n			
-98-1	b oː p ə			
719-1	h eː v ə r			
1341-1	h ɪ n			
-2027-1	k ɑ n t			
-2026-1	n aː v l			
409-1	v v ə ɑu r + m oː ə			
402-1	v v ə t ə + k ɑu d ə			
1014-1	s x ɛ r + d aː t ə r			
1059-1	w oː p			
120-1	s d eː l			
2183-1	s t l r t			
2194-1	oː k n			
2199-1	k ɑ l f			
2197-1	s t ɑ			
1523-1	h oː j			
1521-1	d ɛ k			
512-1	m eː r ə			
2141-1	h uː n			
2147-1	x r n s			
814-1	b r eː x			
810-1	d oː v			
1755-1	k h l n t			
1758-1	r oː t			
1760-1	r ɔ t			
1620-1	v ɑ n			
1282-1	w ɔ l t ə ə			
1136-1	v ɛ t s			
1309-1	r ɑ s			
1307-1	n eː t			
1305-1	v l ɑ			
711-1	w ɑ s t			
