COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	n au ⁵						
4-1	j ɔ ³						
18-1	n l ṵ ŋ ³						
19-1	n j ei k ⁵						
44-1	d j ɔ k ³						
50-1	g u ŋ ³						
62-1	s ɛ t ⁵³						
70-1	b j ɔ n ³						
75-1	n j ɔ k ³¹						
97-1	j a ŋ ³						
112-1	tsʰ ɔ ³						
122-1	n j u k ³¹						
127-1	kʰ u ei ³						
132-1	l ɔ ʔ ⁵³						
133-1	n au ⁵						
135-1	n au ⁵						
142-1	z au ɔ ⁵						
143-1	n ɔ ʔ ⁵³						
149-1	j u ʔ ³¹						
152-1	n a ³¹						
157-1	b ɔ ³						
183-1	ʔ u ³						
184-1	n u ḭ ⁵ ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ k ³²						
192-1	n a ⁵						
195-1	j ɔ ³						
200-1	ɔ ŋ ³						
216-1	n w a ŋ ³¹						
218-1	l a ʔ ³¹						
225-1	s a ŋ ³						
235-1	kʰ j ei ⁵						
244-1	s j ei ³						
253-1	n j ei ³						
270-1	n j ei ⁵						
278-1	n j ḛ n ³						
279-1	j ɔ ⁵						
285-1	j o m ³						
308-1	pʰ au ɔ ³						
322-1	n j ei ³						
325-1	kʰ au ⁵						
337-1	n l a ŋ ³						
341-1	ts ɔ ⁵						
347-1	n j a k ⁴²						
362-1	j au ³						
391-1	j u t ³¹						
394-1	n u ʔ ⁴³						
397-1	dʒ ai ³¹						
443-1	n j ɔ t ³¹						
460-1	s ɛ t ⁵³						
463-1	j au ⁵						
464-1	m u ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k ⁴²						
481-1	tsʰ ɨu ³						
494-1	kʰ ei ³						
496-1	n j a n ³						
516-1	j ɔ ³						
522-1	n a ʔ ⁵³						
523-1	d j u ³						
524-1	n ɔ ³						
540-1	b ɔ ³						
3-1	pʰ ɔ ⁵						
6-1	kʰ j ei ⁵						
7-1	tʰ u n ³						
20-1	n a p ³¹						
51-1	n ei ŋ ⁵						
64-1	kʰ au ŋ ⁵						
65-1	kʰ u ⁵⁴						
66-1	ts a̰u ³						
71-1	ʃ ɔ ³						
72-1	b u ³						
76-1	j ɔ ³						
77-1	n j ɔ t ⁵						
78-1	n au ⁵						
82-1	kʰ a ŋ ⁵						
87-1	j ɔ ³						
93-1	l a m ⁵						
94-1	n j ei ³						
100-1	tsʰ j ɔ ŋ ³						
116-1	l ɔ ³						
119-1	j a m ³¹						
124-1	pʰ j au ³¹						
136-1	n a ɔ ⁵						
137-1	g j u ⁵						
144-1	n au ⁵						
145-1	tʰ u ŋ ³						
146-1	n j au ⁵						
150-1	j ɔ ʔ ⁴²						
154-1	n j a ɔ ³						
165-1	kʰ j ɛ n ³						
166-1	d j ɔ ³						
169-1	g j ɛ ŋ ³						
170-1	d j ɔ ³¹						
171-1	l ɔ ŋ ³						
174-1	d l a m ³						
181-1	n j ɔ k ⁴²						
193-1	b a ³						
205-1	n a e k ⁵⁴						
206-1	n au ⁵						
212-1	j ɔ ʔ ⁵³						
214-1	l o ŋ ³						
217-1	m u ³						
224-1	n j au ⁵						
228-1	b u n ³¹						
238-1	j au ⁵						
241-1	tsʰ ɔ ³						
246-1	tsʰ j ɔ ³¹						
256-1	s ɛ ³						
257-1	b u ³						
272-1	j ɔ ³						
273-1	s a ⁵						
274-1	n a ŋ ⁵						
286-1	kʰ j ɛ n ³						
289-1	kʰ a ŋ ³						
294-1	j u ³¹						
301-1	j ɔ ʔ ³¹						
306-1	kʰ j ɔ ³¹						
307-1	n a ⁴²						
321-1	tʰ a ŋ ³						
331-1	n ɔ ɔ ³						
332-1	j a ŋ ³						
335-1	g j u ⁵						
336-1	n a a m ³¹						
340-1	n au ⁵						
342-1	n j au ⁵						
360-1	tʃʰ j au ⁵						
376-1	tsʰ ʔ ɔ t ⁵³						
389-1	n j ṵ ʔ ³ ⁵⁴						
395-1	ŋ a ³						
401-1	s ɛ t ³¹						
404-1	d s au ŋ ⁵						
408-1	tʰ au ³						
409-1	l a ʔ ³						
413-1	tʃʰ j au n ³						
421-1	n j ɔ k ⁴²						
425-1	pʰ au ⁵						
430-1	dʒ ɛ ³						
442-1	tʰ u ³						
447-1	tʰ u ŋ ³						
456-1	b a ³						
458-1	ʃ u ⁵						
469-1	kʰ au ⁵						
470-1	b u ʔ ³¹						
475-1	j ei ⁵						
477-1	n a ṵ ʔ ⁵⁴						
478-1	dʒ ʃ ɛ t ³¹						
480-1	kʰ au ⁵						
485-1	n j ɔ ³²						
495-1	tsʰ ɔ ³¹						
499-1	n j a ŋ ³¹						
500-1	n j w ɔ m ³						
501-1	tʰ u ⁵						
506-1	kʰ j ɔ ³						
507-1	s a ʔ ³¹						
509-1	l o ŋ ³						
510-1	b w a ŋ ³						
511-1	j ɔ k ³²						
521-1	tʰ au ⁵						
525-1	n a au ⁵						
538-1	d au ⁵						
539-1	tʃʰ au n ³						
544-1	kʰ j u k ³¹						
550-1	tʰ j au ʔ ⁵						
562-1	n j ḛ n ³						
568-1	kʰ a ³						
2-1	kʰ a ŋ ³						
11-1	tsʰ au ŋ ⁵						
12-1	tʃʰ ɛ ɛ ³						
22-1	d a ŋ ³¹						
28-1	b ɔ ³						
1-2		m a̰ ʔ ²³					
4-2		j a					
18-2		n a ³					
19-2		l i ḭ ⁵² ²³					
44-2		l a̰ ʔ ⁵²					
50-2		ʃʰ a ²³					
62-2		f au ⁵²					
70-2		p w a ²³					
75-2		m j a ʔ ⁵²					
97-2		l a ⁵²					
112-2		ts a ²³					
122-2		n j a ʔ ⁵²					
127-2		k a a ⁵²					
132-2		l a̰ ʔ ⁵²					
133-2		n ai ʔ ²³					
135-2		n ai ʔ ²³					
142-2		t ts a̰ a ⁵²					
143-2		n a̰ ʔ ⁵²					
149-2		ʔ au ⁵²					
152-2		l a ²³					
157-2		p a ²³					
183-2		m a					
184-2		n a ʔ ⁵² ⁵²					
185-2		j a ²³					
189-2		n j a̰ ʔ ⁵²					
192-2		n a ŋ ²³					
195-2		n a ³					
200-2		a ²³					
216-2		m a ²³					
218-2		l a ⁵²					
225-2		n au ŋ ²³					
235-2		k l a ⁵² ³					
244-2		ts i a ⁵²					
253-2		m a ⁵²					
270-2		n a̰ ʔ ²³					
278-2		n l a ²³					
279-2		k ai a ⁵²					
285-2		j a ³					
308-2		p a a ⁵²					
322-2		l a ⁵²					
325-2		ai ʔ ²³					
337-2		n l a̰ ³					
341-2		t a ⁵²					
347-2		ʃʰ n a̰ ʔ ⁵²					
362-2		k l ai ⁵² ³					
391-2		j a ²³					
394-2		l au ⁵²					
397-2		j au ³					
443-2		n j a̰ ʔ ⁵²					
460-2		n a ⁵²					
463-2		l ḭ ŋ ²³					
464-2		j a ŋ ⁵²					
473-2		n a ²³					
476-2		k j a ʔ ⁵²					
481-2		j au ²³					
494-2		k p a ⁵²					
496-2		p l a ²³					
516-2		j a					
522-2		l au ⁵²					
523-2		p j a ʔ ⁵²					
524-2		n a ³					
540-2		ts a ²³					
3-2		p ai ŋ ³					
6-2		k a ³					
7-2		t au ²³					
20-2		l au ²³					
39-2		k j a ʔ ²³					
51-2		l a̰ ʔ ²³					
72-2		p a ³					
94-2		l l a ²³					
100-2		j ai ⁵²					
116-2		l ai ⁵²					
136-2		j ʃʰ a ⁵²					
137-2		k j ai ʔ ²³					
139-2		k a ⁵²					
150-2		k j a ʔ ⁵²					
154-2		n a ⁵²					
166-2		k j a ⁵²					
169-2		j a ³					
170-2		p j a ⁵²					
171-2		l ai ŋ ⁵²					
174-2		l a ²³					
181-2		n j a ʔ ⁵²					
205-2		n au ʔ ⁵²					
206-2		l ts a̰ ʔ ²³					
214-2		l a ⁵²					
217-2		m u ⁵²					
224-2		n j a̰ ²³					
228-2		au ³					
246-2		p a a ⁵²					
256-2		ʔ au ³					
257-2		p a ²³					
273-2		au ³					
286-2		k ai ²³					
307-2		n au ⁵²					
335-2		k j a ⁵²					
342-2		n j ai ²³					
376-2		m ai ʔ ²³					
389-2		n a ²³					
404-2		l a̰ ŋ ⁵²					
408-2		a ⁵²					
413-2		l a̰ ²³					
421-2		n l a̰ ʔ ²³					
430-2		j au ³					
458-2		m a ²³					
470-2		t j ⁵²					
475-2		m a ²³					
477-2		n a a ²³ ⁵²					
478-2		a̰ ʔ ⁵²					
480-2		k ai ʔ ²³					
485-2		n j a ²³					
495-2		j p a ³					
499-2		l j ai ³					
500-2		n j kʰ a ²³					
506-2		j ai ²³					
509-2		l ai ŋ ⁵²					
525-2		n a a̰ ʔ ⁵²					
22-2		t au ŋ ³					
28-2		p a ³					
1-3			m au ⁵				
4-3			l ɔ ³²				
18-3			m a e ŋ ³²				
19-3			n j ɛ̰ ʔ ⁵²				
44-3			l o ʔ ⁵³				
50-3			g j o ŋ ³¹				
62-3			s e ʔ ⁵³				
70-3			b w a ŋ ³				
75-3			m j o ʔ ³²				
97-3			a ŋ ³¹				
112-3			tsʰ u ³²				
122-3			m j o ʔ ³²				
127-3			kʰ a e ⁴				
132-3			d l o ʔ ³²				
133-3			n j au ⁵				
135-3			n au ⁵				
142-3			d z au e ³¹				
143-3			l ɔ ʔ ³				
149-3			ʔ ə ⁵³				
152-3			n e ³				
157-3			b ɔ ³				
183-3			ʔ o ³				
184-3			n ə k k ⁵²				
185-3			tsʰ a m ³				
189-3			m j o ʔ ³²				
192-3			n ə ³				
195-3			j ɔ ³				
200-3			au m ⁵				
216-3			g ɛ ŋ ³²				
218-3			l a ʔ ³				
225-3			s ə ŋ ⁵				
235-3			kʰ j ei ⁵				
244-3			s o ɔ ³				
253-3			m j e ⁵¹				
270-3			m j ɔ ʔ ⁵²				
278-3			m j a ŋ ³¹				
279-3			l ɔ ³				
285-3			kʰ j ɛ ŋ ⁵¹				
308-3			pʰ o e ⁴				
322-3			m j e ³				
325-3			kʰ au ⁵				
337-3			m l a ŋ ³¹				
341-3			d z ɔ ³²				
347-3			ʃ w o ʔ ⁵³				
362-3			j au ⁵⁴				
391-3			j o ʔ ³¹				
394-3			m o ʔ ³				
397-3			dʒ e ⁵				
443-3			m j o ʔ ³²				
460-3			s e ʔ ⁵³				
463-3			l au ⁵				
464-3			tsʰ a ŋ ⁵				
473-3			s a m ⁵³				
476-3			kʰ j o k ³²				
481-3			tsʰ u ³²				
494-3			g ɔ ⁴				
496-3			g j o ŋ ³¹				
516-3			j ɔ ³²				
522-3			n ɔ̰ ʔ ³				
523-3			pʰ j au ³¹				
524-3			n o ³				
540-3			b ɔ ³				
3-3			b a ɛ ⁵				
6-3			g e ⁵¹				
7-3			d u n ⁵¹				
20-3			n a t ³				
39-3			m e ⁵³				
51-3			n l au ⁵				
64-3			kʰ au ŋ ³¹				
65-3			kʰ o ³²				
66-3			d z u ³				
71-3			tsʰ u ³²				
72-3			b o ³				
76-3			j u ³²				
77-3			m j au ʔ ⁵				
78-3			m au ³¹				
82-3			kʰ a ŋ ³¹				
87-3			l ɔ ʔ ³				
93-3			l a m ³				
94-3			n j ɛ̰ ⁵				
100-3			ts o ŋ ³¹				
116-3			l o ⁵¹				
119-3			j a m ³¹				
124-3			j au ³²				
136-3			m æ̰ ɔ ³¹				
137-3			kʰ j au ⁵				
139-3			m e ⁵¹				
144-3			s j au ⁵²				
145-3			tʰ a ŋ ³				
146-3			m au ⁵				
150-3			kʰ j ɔ ʔ ³²				
154-3			n j u ³¹				
165-3			kʰ j o ŋ ³¹				
166-3			g j ɔ ⁵¹				
169-3			g j a ŋ ³				
170-3			b j ɔ ⁵¹				
171-3			l o ŋ ³¹				
174-3			l a m ³				
181-3			m j ɔ ʔ ³²				
193-3			b a ³²				
205-3			n ə e ʔ ⁵²				
