COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	õ ɾ ɜ d o ŋ						
514-1	m i k						
464-1	n̪ ɑ						
1020-1	n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ x ɑ						
205-1	p r̪ ɜ x p ɑ						
1089-1	l ɜ q tθ ɪ l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɑ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	n̪ i ŋ						
269-1	r̪ ɜ q						
1512-1	z̪ tɕ i n̪						
555-1	ʈ ɜ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ gʲ o						
601-1	ɕ i ŋ						
320-1	t̪ʰ ɜ x m ɑ						
1106-1	b u						
693-1	z̪ ɜ q o ɾ ɑ						
221-1	s̪ t̪ ɜ ɾ e						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l gʲ o t̪						
1273-1	n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕ u						
1175-1	ɾ ȵ̊ ɛ m tθ o						
383-1	p s̪ i l						
820-1	l̪ o k						
1636-1	ʑ r̪ u ŋ						
1331-1	õ ɾ q s̪ ɑ						
1097-1	l ɜ m						
1223-1	t̪ʰ ɜ ŋ ɑ						
592-1	m e						
1290-1	t̪ u t̪ p ɑ						
669-1	z̪ s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ĩ n̪ d o q						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	õ l u						
365-1	s̪ ȵ̊ ɛ r̪ m ɑ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	tθʰ o ŋ						
1448-1	p ɑ x ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ i l						
610-1	m ɑ						
350-1	ts̪ ɜ ŋ o						
871-1	o ŋ m ɑ						
734-1	ɾ ʑ ɑ						
431-1	kʰ i						
1298-1	ɜ ɾ b u l						
929-1	ts̪ ɜ ŋ k i						
1315-1	t̪ ɜ x s̪ k ɜ n̪						
964-1	m ĩ n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ ɾ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m ɪ k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ ȵ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ ɣ ɑ					
205-2		p l ɜ q p ɜ					
1089-2		l ɜ q d i l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		ʑ ɜ q					
1512-2		l̪ tɕ i n̪					
555-2		t̪ ɜ k p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
