COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n d z a									
1285-1	n w a a									
1303-1	n g ɔ m a									
2197-1	s i a l a									
2828-1	ʃ i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	z ŋʰ ɛ									
1789-1	k a l a a ŋ g a									
3207-1	k ɛ l a									
3519-1	t ɛ m a									
3686-1	i i m k a									
4249-1	k u m i									
4451-1	z i s i									
448-1	t ɛ á a b ʊ									
630-1	k ɛ ɛ l a									
814-1	k ɔ á ŋ dʒ ɛ									
1216-1	g a g i z a									
1228-1	k w ɛ a									
1418-1	s i m á z i a									
1475-1	k i a									
2026-1	t w i a									
2775-1	k u á ŋ dʒ a									
3397-1	k ɛ l a									
3826-1	s ɔ k a									
4003-1	n i i z a									
4040-1	g ɛ n i									
4373-1	l ɛ n i									
4384-1	i ŋʰ ɛ									
84-1	s u g ɛ l ʊ									
116-1	ʃ i k a									
181-1	g ɔ ɔ n z ɔ									
419-1	l ɔ g a									
587-1	ɔ i n k ɔ									
660-1	l ɔ l a									
848-1	t a l a									
1083-1	l i l a									
1122-1	ʃ i n a									
1159-1	n a									
1350-1	l w ɛ a									
1374-1	n i a a n a									
1396-1	ʃ ɔ β a									
1430-1	i i s ɔ									
1666-1	k a ʊ n ɔ									
1767-1	k ɛ k ɔ									
1906-1	i ŋ g i l a									
2177-1	n g a h i									
2286-1	ŋʰ ŋʰ									
2317-1	β ɛ ɛ a									
2419-1	s ɛ k a									
2750-1	ʊ ɛ s i									
3018-1	s i l a									
3275-1	g a ɛ n a									
3441-1	s a á n g a									
3464-1	ʃ ɔ n a									
3639-1	dʒ ɛ t ɛ m ŋ a a									
3885-1	s ɛ m ɔ									
3981-1	i i m a b a									
4192-1	s i á m z a									
4260-1	s w ɛ a									
4350-1	l ɛ i l z ɔ									
43-1	n ɔ ɔ t a									
93-1	t ɔ n ɔ									
200-1	k i i									
374-1	t a a l d a a									
459-1	l u m a									
508-1	p ɛ ɛ ɛ									
528-1	k ɛ l i									
575-1	t a i									
871-1	k ɛ n a									
1137-1	β ɛ g a									
1339-1	p w l a									
1585-1	ɔ a l a									
1712-1	k u l ɔ									
1872-1	w i i									
2088-1	k i s a									
2166-1	l u i ŋ dʒ a									
2334-1	k i z ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i i n z i									
2738-1	β ɛ ɛ l a									
2872-1	k a s i									
2893-1	l a w ɛ ʊ									
2997-1	k a i n s a									
3075-1	k ɔ ɔ ɛ b a									
3675-1	l a á a l ʊ									
4028-1	t l ɛ									
4137-1	m ʊ l a									
4238-1	i a s m z i									
4316-1	t a t a									
4429-1	i a s a									
4440-1	k i l i									
4485-1	s ɔ									
4574-1	k a a a l a									
4688-1	n i a l ʊ									
143-1	u i									
240-1	ʊ i g a									
388-1	l ŋ i ʊ m a									
401-1	k a									
599-1	dʒ a i m dʒ i									
649-1	l ɛ ɛ k a									
755-1	k u l a									
836-1	s u i ŋ dʒ i									
969-1	ɔ s a									
994-1	l ɔ ɔ m b a									
1006-1	s ɔ ɔ ŋ g a									
1032-1	l ɔ l ɔ l a									
1043-1	z a l a									
1110-1	t ɛ m a									
1263-1	t a h a									
1273-1	l ɛ ɛ k a									
1329-1	i t a a l a									
1362-1	i i									
1606-1	ɔ i t ɔ									
1617-1	z ʊ k a									
1629-1	s i i a									
1744-1	i k i a									
1895-1	i a									
1917-1	ʃ ʊ m a									
1969-1	n a á n ʊ									
1989-1	s a g a									
2037-1	n k a t a									
2128-1	s a i ŋ dʒ a									
2186-1	g a n a									
2483-1	k a l i									
2592-1	ʊ ɔ l a									
2615-1	p ɛ a									
2700-1	g a á n d a									
2784-1	g ʊ l a									
2797-1	l ɔ m ɔ									
2884-1	a p j l a									
2904-1	dʒ ɛ a n d a a									
2972-1	s ɛ ɛ									
3030-1	l i p a									
3148-1	i t a									
3160-1	ʊ u l a									
3261-1	p ʊ k a									
3364-1	ʃ ɔ t a									
2689-2		ɲ á m a								
893-2		a a k ŋ d a								
1303-2		d tʃ o n a								
2197-2		s tʃ ŋ l a								
2828-2		s á n a								
3572-2		s o n i								
1095-2		l á m a								
1789-2		d j l a a ŋ g a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		l oː ŋ d a								
4249-2		b u m i								
4451-2		v i n i								
448-2		m u b g n i								
630-2		d e l e								
814-2		w o e m b e								
1216-2		d a v n d a								
1228-2		l l a								
1418-2		s i k a n l a								
1475-2		g l a								
2026-2		t á e								
3826-2		w o g a								
4003-2		n oː o k a								
4373-2		dʒ i m i								
4384-2		i m o								
84-2		s e b u l u								
116-2		s i g a								
419-2		l á g a								
587-2		o b ŋ g o								
660-2		l á l a								
848-2		b a l a								
1122-2		v u n a								
1159-2		l tʃ								
1350-2		l l l a								
1374-2		n d a n a								
1906-2		iː n g i l a								
2419-2		s e g a								
2750-2		e e s i								
3441-2		s e e n g a								
3464-2		v á n a								
3639-2		t j t l m n l a								
3981-2		w a o n d a								
4192-2		w i e m d a								
4350-2		l e k l d o								
278-2		p tʃ								
3971-2		d á m a								
55-2		ɲ a m a								
43-2		w oː g m u								
93-2		g o n o								
459-2		l u m a								
1137-2		b i g u								
1585-2		v á l a								
1872-2		p tʃ a								
2166-2		u u m b a								
2872-2		dʒ u s i								
2997-2		d a a n s a								
3075-2		s u l u k o								
3675-2		l l e ŋ l e								
4137-2		v á l a								
4238-2		s d k m s o								
4316-2		t a t u								
4574-2		n l a a l a								
3067-2		n t u								
3531-2		l a k ŋ d a								
1033-2		s j a a a ŋ t a								
3185-2		s i e g a								
794-2		n e e a g a								
143-2		v u u								
240-2		w g g a								
388-2		l a u m a								
599-2		t a a m b i								
969-2		v a								
994-2		g i a a g a								
1606-2		o t o								
1629-2		g á i								
1895-2		d a								
2592-2		l l a								
2884-2		tʃ p l a								
3148-2		i t a								
3261-2		dʒ e t e								
2689-3			p á ɲ a							
893-3			a l a a							
1285-3			l w k							
1303-3			l p á n a							
2197-3			dʒ p a l a							
2828-3			p á ɲ a							
3572-3			s o ɲ i							
1095-3			l e ɲ a							
1755-3			dʒ ɲ u							
1789-3			l n g a							
3207-3			p á l a							
3519-3			tʰ u ɲ a							
3686-3			k ìì l x a							
4249-3			x u ɲ i							
4451-3			i n i							
448-3			p o k a l a							
630-3			dʒ á á l a							
1216-3			k a a							
1228-3			tʰ l á a							
1418-3			dʒ i l k a a							
1475-3			k l a							
3397-3			β o l a							
4003-3			a x a							
4040-3			k e n i							
4373-3			l á l i							
4384-3			i ɲ á							
181-3			r o n g o							
419-3			o k a							
587-3			ìì u l x o							
660-3			ìì l a							
1083-3			l i l a							
1350-3			l l k a							
1374-3			a a n a							
1396-3			s o dʒ u							
1666-3			r a β l o							
1767-3			tʰ o x o							
1906-3			m k i l a							
2177-3			m k a b							
2286-3			l a							
2317-3			β u β a							
2750-3			á k s i							
3275-3			dʒ a a n a							
3464-3			o n a							
3639-3			k ŋ g a							
3981-3			l m n a							
4192-3			p ìì k n d a							
4260-3			s j a a							
4350-3			l i á l a o							
278-3			s a							
745-3			x o x o							
3971-3			x o l a							
93-3			k o ɲ e							
200-3			β i a							
374-3			k a k l j a							
508-3			x e s u							
528-3			β i l i							
1137-3			s e x u							
1585-3			a l a							
1712-3			s u l o							
2088-3			e n e							
2334-3			s e k e							
2393-3			m e n a							
2665-3			ìì m k i							
2738-3			β e j l a							
3675-3			l j á a l a							
4137-3			u l a							
4440-3			b i l i							
4574-3			p l a l a							
4688-3			u u u a							
2798-3			l l a							
3067-3			m k e							
3531-3			á k l a d a							
3767-3			l i							
4632-3			x e n i							
401-3			s a							
649-3			l e j x a							
755-3			tʰ i l a							
1032-3			k o β o l a							
1043-3			tʰ a l a							
1273-3			l o j x a							
1362-3			k e u							
1895-3			s a							
2615-3			x a a							
2784-3			tʰ a l a							
2904-3			k ìì k a a							
2689-4				t i r a						
893-4				l r n dʒ s a						
1285-4				b i w g						
3572-4				t o ɲ a						
1755-4				b ɛ a						
1789-4				t e g ŋ ŋ g a						
3686-4				p o ŋ g a						
4451-4				p i p a						
1216-4				l ɔ n dʒ dʒ a						
4003-4				p o n s a						
419-4				k ɔ g a						
1122-4				k ɔ g a						
1430-4				k dʒ d a						
1666-4				t o ŋ ɲ a						
1767-4				s ɔ r a						
55-4				s ɔ r a						
94-4				b i g a						
2717-4				t g n ŋ g a						
1339-4				t p p g						
4632-4				s ɔ r a						
2784-4				k ɔ e a						
3160-4				s ɔ r a						
2689-5					n a n a					
893-5					a n d d a					
1285-5					l w					
1303-5					p b ŋ n					
2197-5					s b a l					
2828-5					k á n a					
3572-5					k á n i					
1095-5					l i n a					
3207-5					f u l a					
3519-5					t u m a					
3686-5					t n d a					
4249-5					k u n i					
448-5					l u b d l					
630-5					β á l e					
814-5					n u n g a					
1228-5					p j g					
1418-5					s i n g k j					
2026-5					t w					
2775-5					t u n g a					
3397-5					β á l					
3826-5					tʃ u k					
4040-5					e n					
4373-5					l á n i					
