COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n a ⁵⁵								
495-1	m̥ u ³⁵								
838-1	w ʐ ə k ⁵⁵								
438-1	ȵ a p ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³⁵								
394-1	m̥ tʰ a ³¹								
221-1	l i p ⁵⁵								
202-1	tsʰ a ³¹								
935-1	i ³¹								
93-1	ts a ³¹								
7-1	tʰ a m ³¹								
664-1	ʑ ə m ⁵⁵								
246-1	k ʐ a p ⁵⁵								
547-1	w ʐ ə p ⁵⁵								
555-1	l i m ⁵⁵								
464-1	tsʰ au ³¹								
119-1	w ts ə ŋ ⁵⁵								
835-1	w ʐ a p ⁵⁵								
79-1	m̥ ʐ a ³¹								
693-1	m̥ u ⁵⁵								
477-1	m ʐ a p ⁵⁵								
891-1	m̥ ə n ³⁵								
528-1	ʐ i ⁵⁵								
797-1	k ʐ ə p ⁵⁵								
493-1	m̥ i ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	k au ʔ ⁵⁵								
452-1	ȵ ə p ⁵⁵								
580-1	w ʐ au p ⁵⁵								
833-1	m̥ a ⁵⁵								
390-1	m tʰ a ŋ ³¹								
696-1	m̥ ʐ ə ⁵⁵								
86-1	k ə ŋ ⁵⁵								
384-1	l a m ³⁵								
61-1	k a m ⁵⁵								
536-1	k ʐ a k ⁵⁵								
731-1	s a ³¹								
779-1	a ⁵⁵								
589-1	k a m ⁵⁵								
658-1	ʑ a m ⁵⁵								
456-1	ȵ a m ³¹								
183-1	k ʐ i ³¹								
785-1	k a ³¹								
714-1	k u ⁵⁵								
331-1	l ɔ ³¹								
930-1	l a p ⁵⁵								
161-1	k ʐ a ŋ ⁵⁵								
814-1	k ʐ a ŋ ³¹								
179-1	k ʐ w a k ⁵⁵								
194-1	k ʐ a k ⁵⁵								
727-1	ʂ a m ⁵⁵								
260-1	k ȵ a p ⁵⁵								
144-1	k ʐ a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	k a ʔ ⁵⁵								
506-1	p i ʔ ⁵⁵								
29-1	p i ʔ ⁵⁵								
316-1	k ʐ a k ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m̥ ɔ ³⁵								
312-1	k w ɔ ³¹								
