COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a i n a i a									
1285-1	n w a i									
1303-1	m a ɔ m a									
2197-1	z a a l a									
2828-1	z i n a									
3572-1	i ɔ n i									
1095-1	l i m a									
1755-1	i n ɛ									
1789-1	k a l i a ŋ g a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	a i m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	a ʊ a a n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ ɛ m b ɛ									
1216-1	g a β a i a									
1228-1	b w a i									
1418-1	z i m a z a a									
1475-1	g w a									
2026-1	t w i i									
2775-1	β ʊ á m b a									
3397-1	k ɔ l a									
3826-1	ɔ k a									
4003-1	i i i β a									
4040-1	a ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	a a k ʊ l u									
116-1	i i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ i a									
587-1	ɔ a ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	i i a									
1159-1	n a									
1350-1	l j a a									
1374-1	n i a a n ɛ									
1396-1	d ɔ β ʊ									
1430-1	i i s ɔ									
1666-1	t a n ɔ									
1767-1	g ɔ i ɔ									
1906-1	i ŋ g i l a									
2177-1	n g a i i									
2286-1	l a									
2317-1	β ʊ l a									
2419-1	s ɛ k a									
2750-1	ɛ ʊ z i									
3018-1	k i l a									
3275-1	k a i n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	d ɛ t ɛ m a l a									
3885-1	s u m ɔ									
3981-1	i ɔ m a a a									
4192-1	β i a m z a									
4260-1	z w a i									
4350-1	l ɛ ɛ l a ɔ									
43-1	l i ɔ m ʊ									
93-1	k ɔ n ɔ									
200-1	β i i									
374-1	ɔ a a l a a a									
459-1	l u m a									
508-1	p ɔ a ʊ									
528-1	β i l i									
575-1	t a i									
871-1	ɔ ɔ m a									
1137-1	ʊ ʊ g ʊ									
1339-1	z i i i									
1585-1	a a l a									
1712-1	k ɔ l ɔ									
1872-1	p a i									
2088-1	β i s a									
2166-1	g ʊ á m b a									
2334-1	β i k ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ g i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ i i									
2893-1	i k ʊ l									
2997-1	k a i i z a									
3075-1	k ʊ l ʊ b a									
3675-1	l j ɛ a l ɛ									
4028-1	ɛ w ɛ									
4137-1	m a l a									
4238-1	i i s ɔ z i									
4316-1	t a t ʊ									
4429-1	i a z a									
4440-1	β i l i									
4485-1	s ʊ									
4574-1	β m a a l a									
4688-1	a a ɔ w ɛ									
143-1	β u l									
240-1	ɔ ʊ g a									
388-1	a i a ʊ m a									
401-1	β a									
2689-2		n a m a								
893-2		a a n d a a								
1303-2		s l o m a								
2197-2		s v a l a								
2828-2		w i n a								
3572-2		s o n a								
1095-2		l o m a								
1789-2		v a l a a ŋ g a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		v i m a a								
4249-2		t u m a								
4451-2		v i s a								
448-2		ɲ u a a a a								
630-2		v a e l a								
814-2		s o o m b a								
1216-2		g a v a g a								
1228-2		p w a a								
1418-2		s o m a a a a								
1475-2		k w a								
2026-2		t w a a								
3826-2		s o k a								
4003-2		v i o v a								
4373-2		l o m a								
4384-2		o l a								
84-2		w u g u l a								
116-2		v i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l o l a								
848-2		w a l a								
1122-2		w i v a								
1159-2		v a								
1350-2		l j a a								
1374-2		n d a a n a								
1906-2		i n g a l a								
2419-2		s e k a								
2750-2		l u s i								
3441-2		s a o ŋ g a								
3464-2		w o n a								
3639-2		t o a a a a a a								
3981-2		a a a a a a								
4192-2		v i o m b a								
4350-2		l o o l o o								
278-2		v a								
3971-2		v u n a								
55-2		t u m a								
43-2		w a a a a								
93-2		k o n o								
459-2		w u m a								
1137-2		t u g u								
1585-2		v i l a								
1872-2		p a a								
2166-2		s u u m b a								
2872-2		s o s a								
2997-2		a a a s a								
3075-2		w a l u l a								
3675-2		l a v i l a								
4137-2		v i l a								
4238-2		w s o o a								
4316-2		t u t u								
4574-2		a a a l a								
3067-2		n t a								
3531-2		a a n d a a								
1033-2		s o a a o o l a								
3185-2		s i o a a								
794-2		w a p a k a								
143-2		w u u								
240-2		g a								
388-2		l e a u m a								
2689-3			l a l a							
893-3			a a n a l a							
1285-3			n l a a							
1303-3			s k o l a							
2197-3			s i a l a							
2828-3			s i n a							
3572-3			s o n i							
1095-3			l i l a							
1755-3			a i i							
1789-3			k a l a a ŋ g a							
3207-3			f u l a							
3519-3			tʰ u l a							
3686-3			tʰ u m b a							
4249-3			k u l i							
4451-3			b i s i							
448-3			l o a s i							
630-3			β e a l a							
1216-3			k o a n a							
1228-3			b o a a							
1418-3			s i l a a a a							
1475-3			k i a							
3397-3			β i l a							
4003-3			k i n n a							
4040-3			k e n i							
4373-3			l i l i							
4384-3			i l o							
181-3			k o o i l o							
419-3			l o k u							
587-3			o a n g o							
660-3			l o l a							
1083-3			l i l a							
1350-3			l j							
1374-3			n d a n a							
1396-3			l o f u							
1666-3			tʰ a a l o							
1767-3			tʰ u r a							
1906-3			i n k i l a							
2177-3			i k i a a							
2286-3			l a							
2317-3			f u β a							
2750-3			e k s i							
3275-3			x a a n a							
3464-3			l o n a							
3639-3			o r u m a l a							
3981-3			i a x a l a							
4192-3			f u m b a							
4260-3			s i a a							
4350-3			l e a l o o							
278-3			p i							
745-3			x i x o							
3971-3			x u l a							
93-3			k o n o							
200-3			β i							
374-3			f a a l a a							
508-3			β o f u							
528-3			β i l a							
1137-3			s i k a							
1585-3			a l a							
1712-3			f u l o							
2088-3			b i s a							
2334-3			k i k o							
2393-3			m e n a							
2665-3			i u n k i							
2738-3			β e e l a							
3675-3			l o l a							
4137-3			s i l a							
4440-3			β i l i							
4574-3			a a a l a							
4688-3			i f i a							
2798-3			i β a							
3067-3			n d u							
3531-3			a a n u l a							
3767-3			l i							
4632-3			x a s i							
401-3			g a							
2689-4				ts o a a						
893-4				ts p n m a a						
1285-4				ts o a a						
3572-4				ts o ɲ i						
1755-4				ts a a						
1789-4				k u l a a ŋ g a						
3686-4				t o m a a						
4451-4				b a r a						
1216-4				k e n e a a						
4003-4				ts a dʒ a a						
419-4				l u g a						
1122-4				b e m a						
1430-4				i n i i						
1666-4				ts o l r i						
1767-4				k ɔ r i						
55-4				t ɔ a a						
94-4				ts o a						
2717-4				k k o w g a						
1339-4				t i i i						
4632-4				k o r i						
2689-5					s u m a					
893-5					i n d k a					
1285-5					l i a					
1303-5					ŋ k u m					
2197-5					s k i l a					
2828-5					ʃ i n a					
3572-5					s o n i					
1095-5					l i m a					
3207-5					f u l a					
3519-5					t u m					
3686-5					ʃ i m a a					
4249-5					k u l i					
448-5					l u k l a					
630-5					β e l a					
814-5					s o l m p e					
1228-5					p j					
1418-5					ʃ i l a a a a					
2026-5					t i i					
2775-5					f u m p a					
3397-5					k u l a					
3826-5					s i k a					
4040-5					s u l i					
4373-5					l i l					
4384-5					i l o					
84-5					t u k u l u					
116-5					f i k a					
587-5					o n g a					
848-5					k u l a					
1159-5					m a					
1350-5					l j a					
1396-5					s u f u					
1430-5					i p s i					
1767-5					k i l a					
2286-5					l a					
2317-5					f u p a					
2419-5					s e k a					
2750-5					e u ʃ i					
3018-5					ʃ i l a					
3275-5					t a n a					
3441-5					s e ŋ g a					
3885-5					t u m					
4192-5					f i a d a					
4260-5					s u					
4350-5					l e e l g o					
278-5					β a					
745-5					t a k					
3971-5					k u m					
55-5					n i m a					
94-5					k i n o					
2717-5					k k o n g u					
4139-5					m i n					
200-5					β i					
374-5					t a l a					
508-5					β a f u					
528-5					β i l					
575-5					t a					
1137-5					ʃ i k a					
1339-5					t i i i					
1872-5					p a					
2537-5					l i m					
2738-5					β e l					
2872-5					s u l i					
2893-5					t i k u k					
3675-5					l j e l e					
4028-5					t w					
4238-5					i i s o ʃ i					
4429-5					s á s a					
4485-5					s u					
2798-5					n i					
3531-5					a t u k a					
3767-5					l a					
4632-5					k u l i					
1033-5					k o n k o l a					
3185-5					f i i k a					
1303-6						s k i				
1755-6						i ɔ ɔ				
448-6						s ɔ ŋ ɔ ŋ ɔ				
1475-6						k u i				
3397-6						k u l ŋ				
2286-6						s ɔ				
278-6						s u				
2717-6						l k ɔ				
4137-6						s i i i				
3767-6						l u				
1033-6						k u n l k u l				
2689-7							o m a			
893-7							a n k a			
1285-7							f w a a			
1303-7							g o m a			
2197-7							z a a			
2828-7							i n a			
3572-7							z o i			
1095-7							i m a			
1755-7							n e			
1789-7							k u a a ŋ k a			
3519-7							t u m a			
3686-7							i m b a			
4249-7							k u m i			
4451-7							v i s i			
814-7							z o m b e			
1216-7							k o v a v a			
1475-7							k w a			
2026-7							t w e			
2775-7							v u m b a			
3826-7							z o k a			
4003-7							s i v a			
4040-7							e ɲ i			
84-7							ʃ u u			
116-7							z i k a			
181-7							ɣ u ŋ g a			
419-7							k o k a			
587-7							o ŋ k o			
660-7							o a			
848-7							k o a			
1122-7							v u v a			
1159-7							z a			
1374-7							s á n e			
1396-7							z u v u			
1430-7							i o s a			
1906-7							i g i a			
2177-7							g a n a			
2419-7							z e a			
3018-7							z i a			
3275-7							k a n a			
3441-7							z e ŋ k a			
3464-7							v o n a			
3639-7							d t u m a a			
3885-7							u m a			
4192-7							v i m b a			
745-7							u k a			
3971-7							k a m a			
55-7							u m a			
2717-7							dʒ e ŋ g a			
4139-7							e n a			
93-7							k o n o			
459-7							u m a			
575-7							t a			
1712-7							v u o			
2088-7							v i a			
2166-7							tʃ u m b a			
2334-7							z i ɣ a			
2393-7							m a ɲ a			
2537-7							r u m o			
2665-7							i b i			
2997-7							d a z a			
4028-7							v w e			
4316-7							t i t u			
4429-7							z a a			
4688-7							i k w e			
3067-7							ɲ u			
3185-7							v i i k a			
794-7							v á v a k a			
143-7							v u			
388-7							a u u m a			
2689-8								n a m a		
1285-8								n w a a		
1303-8								ŋ k o m a		
2197-8								ʝ u a r a		
2828-8								k o n a		
3572-8								k u n a		
1755-8								v w a		
1789-8								k u r u ŋ g a		
3207-8								k u r a		
3519-8								t u k a		
3686-8								t i m a a		
4249-8								k u a		
4451-8								v i a		
814-8								r o m b a		
1228-8								r u a a		
2026-8								t u i a		
2775-8								r u m b a		
3826-8								r u k a		
4040-8								k u n a		
181-8								k u ŋ g o		
660-8								r e r a		
848-8								k o r a		
1083-8								k á r a		
1159-8								n a		
1350-8								r u a		
1396-8								ʝ ô v a		
1666-8								t a n a		
2177-8								ŋ g u a a		
2317-8								k u r a		
4260-8								ʝ u i a		
745-8								t u k o		
3971-8								k ô r a		
94-8								k ô k a		
2717-8								ŋ t a ŋ g a		
4139-8								m ô n a		
43-8								d i a		
575-8								t a a		
871-8								w a n a		
1339-8								t w i a		
1585-8								v á r a		
1872-8								p a a		
2893-8								d u k o a		
4028-8								ʝ w a		
4316-8								t o t a		
4440-8								v á r a		
4485-8								n u		
4688-8								ʝ m w i		
2798-8								n ɛ a		
794-8								t e n e k a		
2689-9									s a n a	
893-9									s n a g a	
1285-9									n ʊ a a	
1303-9									s g o l a	
2197-9									s g a l a	
2828-9									g i n a	
3572-9									s o n a	
1095-9									l i m a	
1789-9									k a a a g a	
3207-9									g ʊ l a	
4249-9									k ʊ m a	
4451-9									b i g a	
630-9									b e l a	
814-9									s u m b e	
1228-9									b o a a	
1418-9									s i m a k a a	
1475-9									k w a	
2026-9									s e a	
2775-9									b u m b a	
3397-9									k o l a	
3826-9									s o g a	
4003-9									s i i b a	
4040-9									g e n a	
4373-9									s i l a	
4384-9									i n a	
116-9									s i g a	
181-9									g ʊ a g a	
1083-9									l i l a	
1374-9									n a n a	
1430-9									i s s a	
1666-9									s ʊ i n a	
1767-9									g o l a	
1906-9									g a l a	
2177-9									g a r a	
2419-9									s g a	
2750-9									z a	
3018-9									s i l a	
3441-9									s e ŋ g a	
3885-9									s i m a	
3981-9									o a a g a	
4260-9									s o a a	
4350-9									l l l o o	
278-9									b a	
745-9									s a g a	
55-9									s ʊ m a	
94-9									s o n a	
4139-9									m o n a	
200-9									b i a	
528-9									b i l a	
871-9									g o n a	
2088-9									b i g a	
2166-9									s u m b a	
2334-9									b i g a	
2393-9									a n a	
2537-9									s i m a	
2665-9									i g a	
2738-9									b e e l a	
2872-9									k o l a	
2997-9									s a a b a	
3075-9									g o l o b a	
4238-9									s a s a	
4429-9									s á s a	
4440-9									b i l a	
4485-9									s ʊ	
4574-9									k w a a l a	
2798-9									n e a	
3067-9									n d a	
3767-9									l o	
4632-9									k i l i	
1033-9									k o l a k o l a	
3185-9									b i g a	
240-9									o g a	
401-9									g a	
2689-10										a a a
893-10										a a a
1285-10										n̩ a a a
2197-10										χ ɔ l a
2828-10										l i n a
1095-10										l ɔ m a
1755-10										a a a
3207-10										χ i l a
3519-10										χ ʊ m a
448-10										a a χ a l a
630-10										i i l a
1216-10										χ a b a a
1418-10										i l a a a
2775-10										ʊ b a n a
3397-10										b ɔ l a
4373-10										l i l a
4384-10										i l a
84-10										l ʊ b ʊ l a
1083-10										a ɔ l a
1122-10										χ a a a
2286-10										l a
2317-10										χ ʊ l a
3018-10										b i l a
3275-10										l l l l a
3464-10										b á l a
3639-10										pʰ i r a m á n a
3885-10										l i m a
3981-10										i a ɔ n a
94-10										ɔ a
4139-10										ɔ n a
43-10										χ i a a
374-10										l l i l a l ʊ̀
459-10										l o m a
508-10										l ʊ l a
871-10										ɔ n a
1712-10										χ ʊ l a
2893-10										l i χ ʊ
3075-10										χ ɔ l ɔ l a
3531-10										l r l a
794-10										χ á b a a
