COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n au ³¹								
838-1	n a ⁵⁵								
438-1	ʐ a ⁵⁵								
334-1	l o ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	m a ³¹								
221-1	a p ⁵⁵								
202-1	k au ³¹								
935-1	ɔ ³¹								
93-1	tʰ ɔ ³¹								
7-1	p a n ³¹								
664-1	o ŋ ⁵⁵								
246-1	k ʐ a ʔ ⁵⁵								
547-1	ʐ i ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	p ə ³¹								
835-1	n a p ⁵⁵								
79-1	t w a ³¹								
693-1	n au ⁵⁵								
477-1	n a ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	k ʐ o ʔ ⁵⁵								
493-1	n ə ʔ ³¹								
217-1	a p ⁵⁵								
896-1	l u ⁵⁵								
452-1	ʐ u ʔ ⁵⁵								
580-1	ʐ u ⁵⁵								
833-1	n ɔ ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	n a ⁵⁵								
86-1	t ə ⁵⁵								
384-1	m a n ³¹								
61-1	t a m ⁵⁵								
536-1	pʰ ʐ a ⁵⁵								
731-1	s i ³¹								
779-1	ɔ ⁵⁵								
589-1	t a ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k ʐ a ³¹								
785-1	k ɔ ³¹								
714-1	u ⁵⁵								
331-1	l ɔ ³¹								
930-1	l̥ a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	x ʐ a ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	p ʐ o ʔ ⁵⁵								
727-1	ʂ a m ⁵⁵								
260-1	ʐ a p ⁵⁵								
144-1	k tɕ a m ⁵⁵								
53-1	p a m ⁵⁵								
59-1	t a ⁵⁵								
506-1	pʰ ə ⁵⁵								
29-1	p i ⁵⁵								
316-1	tʰ w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m ɔ ⁵⁵								
312-1	k w o ³¹								
490-1	n ʐ a ³⁵								
436-1	ȵ a ³¹								
927-1	n̥ a n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	ʑ a m ⁵⁵								
873-1	l ə ŋ ⁵⁵								
877-1	ʂ a ³¹								
344-1	l a m ⁵⁵								
666-1	n ɔ ³¹								
595-1	tʰ w a ŋ ⁵⁵								
660-1	a m ⁵⁵								
642-1	t ə ŋ ³¹								
257-1	ʐ a m ⁵⁵								
167-1	k ʐ a ³¹								
880-1	t a p ⁵⁵								
484-1	n w a ŋ ⁵⁵								
574-1	ʐ au m ³¹								
718-1	pʰ ʂ a ⁵⁵								
811-1	x au ³¹								
458-1	t ə ŋ ³¹								
884-1	tʰ ə ³¹								
205-1	k u ʔ ⁵⁵								
