COGID	Albanian	English	French	German	Latin
560-1	j e				
438-1	r u r				
1222-1	e r				
353-1	r e t				
201-1	d				
20-1	r				
503-1					
957-1	ʃ				
728-1	d				
244-1	n m				
289-1	ʃ				
911-1	r ʃ e				
724-1	d r				
145-1	d j				
992-1					
1181-1	j e				
741-1	d t				
1150-1	ə r ʃ r r				
585-1	t				
814-1	ə r t e r				
560-2		s r i			
438-2		u r			
1222-2		s r i			
353-2		f r ɑ t			
201-2		s a n			
20-2		w i			
503-2		f r i			
957-2		t i			
728-2		l au n			
244-2		n ɑ			
289-2		n ɑ t			
911-2		w i			
724-2		t r i			
145-2		s w i			
992-2		w i			
706-2		e r			
106-2		f ɛ ð ə r			
741-2		t t i			
421-2		b l o			
227-2		f w ɑ t			
920-2		h ɛ r t			
1083-2		h ɑ r			
1066-2		a f			
1125-2		ɛ n			
1197-2		m au n ə r			
473-2		n ɑ r t			
284-2		n a			
661-2		au n			
701-2		r ɛ n			
315-2		r i n			
1169-2		s a l			
1150-2		s r ə			
982-2		a s i t			
987-2		a n i r			
1055-2		s ə t			
1130-2		s i			
433-2		s ɑ n			
625-2		n au n			
1186-2		m a n			
560-3			v j ɑ̃		
438-3			f r		
1222-3			a v a		
353-3			r r ɛ		
201-3			f ɑ̃		
20-3			k a r		
503-3			p u n		
957-3			v ɑ̃		
728-3			v ɛ		
244-3			n y		
289-3			n w a		
911-3			r ɛ a		
724-3			d r w		
145-3			d u		
992-3					
1181-3			s ʃ ɑ̃		
706-3			a		
106-3			p u r		
741-3			v a		
421-3			f v u		
227-3			k u		
920-3			k ɔ e		
1083-3			k u r		
1066-3			a		
1125-3			g n		
1197-3			m ɛ t r		
473-3			n u		
284-3			f ɛ		
661-3			v y n		
701-3			r u		
315-3			r		
1169-3			k u		
1150-3			r v ɛ r a		
982-3			ɛ r		
987-3			p u a		
1055-3			k d w a r		
1130-3			k u z		
433-3			k u l		
585-3			d		
625-3			v ɑ̃		
1186-3			v u		
814-3			v ɛ r		
560-4				k i i m	
438-4					
1222-4				b i	
353-4				f	
201-4				f i t	
20-4				f a l	
503-4				f e l	
957-4				m i	
728-4				l i n	
244-4				n i m n	
289-4				n t	
911-4				i	
724-4				r	
145-4				ʃ	
992-4					
1181-4				e e t	
706-4				e n	
106-4				f au d	
421-4				f l z	
227-4				f	
920-4				h a r d	
1083-4				h a l n	
1066-4				f	
1125-4				g e n	
1197-4				a eː d	
473-4				n	
284-4				n	
661-4				v e n	
701-4				r a	
315-4				e n	
1169-4				h a l	
1150-4				ʃ k a r t	
982-4				v e s	
987-4				f n	
1055-4				h	
1130-4				h e g	
433-4				z i n	
585-4				t	
625-4				t e n	
1186-4				i	
814-4				k r	
560-5					w e n e
438-5					a
1222-5					a k o
353-5					p r e t o
201-5					p e n k e
20-5					k a d e t
503-5					p l aː
957-5					t e n
728-5					l a i o
244-5					n oː m u n
289-5					n oː n
911-5					e s k i
724-5					t e o
145-5					d e
992-5					k e
1181-5					k k a n o o
706-5					o r i i o
106-5					p e nː a
741-5					p r o m o
421-5					f l aː
227-5					p e
920-5					k o r m i n
1083-5					k o l i
1066-5					e d e
1125-5					k e n
1197-5					m e n e
473-5					n u w aː l
284-5					n e n u
661-5					t e n u
701-5					l u i
315-5					r d i i t o
1169-5					s aː l e
982-5					a s o e
987-5					a n aː
1055-5					k u t eː l i i
1130-5					s e m e
433-5					s e l aː
585-5					t o
625-5					w e n i i
1186-5					d e n
814-5					w e r i aː t
