COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³⁴						
4-1	l u ³						
18-1	n j ɛ n ³						
19-1	n ei ³¹						
44-1	l u ʔ ³²						
50-1	g u ŋ ³						
62-1	s ai k ⁵⁴						
70-1	b a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɔ ³						
122-1	n j u k ³²						
127-1	kʰ w i ³						
132-1	w u ʔ ³¹						
133-1	n au ³						
135-1	n au ³¹						
142-1	d z w i ³¹						
143-1	ŋ ɔ̰ ʔ ³¹						
149-1	ʔ u ³¹						
152-1	ŋ a ³						
157-1	b u ⁵						
183-1	ʔ u ³						
184-1	n u ʔ ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ⁴³						
192-1	n ɔ̰ ³¹						
195-1	n ɔ ³						
200-1	d ei ³						
216-1	s ai n ³						
218-1	l ɔ ʔ ³²						
225-1	s ai ŋ ⁵						
235-1	kʰ j ei ³						
244-1	s i ³						
253-1	m ei ³						
270-1	m i ³						
278-1	n j a̰ ŋ ³						
279-1	w i ³⁴						
285-1	d j ɛ̰ n ³						
308-1	d ɛ ⁵						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	n j a̰ ŋ ³						
341-1	d z ɔ ³						
347-1	ʃ o ʔ ⁵³						
362-1	j i ³						
391-1	j ɛ p ⁵³						
394-1	m ɔ ʔ ⁴³						
397-1	tʃʰ ei ⁵						
443-1	n j ɛ p ⁵³						
460-1	s a t ⁵³						
463-1	d w i ³						
464-1	ʔ u ŋ ⁵						
473-1	s a m ³						
476-1	kʰ j u k ³						
481-1	tsʰ ɛ ³						
494-1	g j ɛ ³						
496-1	j ai ŋ ³						
516-1	a ³						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		m i ²³					
19-2		n i ³					
44-2		l a ⁵²					
50-2		m o ŋ ²³					
62-2		ʃ au ⁵²					
70-2		p a ²³					
75-2		m j a ʔ ⁵²					
97-2		l o ŋ ²³					
112-2		ts a ⁵²					
122-2		m j a k ⁵²					
127-2		kʰ i ⁵²					
132-2		w a ʔ ⁵²					
133-2		n a ⁵²					
135-2		n au ²³					
142-2		w i ³					
143-2		n a ʔ ⁵²					
149-2		ʔ u ⁵²					
152-2		ŋ a ⁵²					
157-2		p a ⁵²					
183-2		ʔ u					
184-2		n au ⁵² ⁵²					
185-2		x a ³					
189-2		m j a ʔ ²³					
192-2		n a ⁵²					
195-2		n a ⁵²					
200-2		i ³					
216-2		ts au ŋ ²³					
218-2		l a ʔ ⁵²					
225-2		ts au ŋ ²³					
235-2		kʰ j i ³					
244-2		s ɛ ⁵²					
253-2		m j i ⁵²					
270-2		m i ²³					
278-2		m i ŋ ²³					
279-2		w a ⁵²					
285-2		p j a ³					
308-2		j i ³					
322-2		m i ⁵²					
325-2		kʰ au ⁵²					
337-2		m j o ³					
341-2		ts a ⁵²					
347-2		s au ⁵²					
362-2		j ɛ ³					
391-2		j a ⁵²					
394-2		m a ʔ ⁵²					
397-2		tʃʰ ə ²³					
443-2		n j ɛ ʔ ⁵²					
460-2		ts ɛ ʔ ⁵²					
463-2		w au ŋ ³					
464-2		ʔ a ŋ ⁵²					
473-2		ts a m ⁵²					
476-2		kʰ j a ⁵²					
481-2		ts a ³					
494-2		k ḭ ⁵²					
496-2		a ŋ ²³					
516-2		w i ³					
1-3			m au ³				
4-3			l a ⁴				
18-3			m j e ŋ ³²				
19-3			n e ŋ ³²				
44-3			l o ʔ ³²				
50-3			n e ŋ ⁴				
62-3			s ə k ⁵³				
70-3			b e n ⁴				
75-3			m j ɔ̰ ʔ ³				
97-3			tʃʰ a ŋ ⁵				
112-3			tsʰ u ⁴				
122-3			m j o k ³²				
127-3			kʰ ɔ ⁴				
132-3			w ɔ ʔ ³				
133-3			n u ŋ ³				
135-3			n au ŋ ³				
142-3			d z ɨ ⁵³				
143-3			ŋ ɔ̃ ʔ ³				
149-3			ʔ u ⁵				
152-3			ŋ ɔ̃ ³¹				
157-3			b ɔ ³				
183-3			w a ⁴				
184-3			n o k ʔ ⁵³				
185-3			tsʰ æ m ³²				
189-3			m j ɔ ʔ ³²				
192-3			n ɔ̃ ³¹				
195-3			n ɔ̃ ³				
200-3			ə ŋ ⁵				
216-3			s ə ŋ ³²				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁴				
235-3			kʰ j e ³²				
244-3			s i ⁵				
253-3			m e ³¹				
270-3			m ḛ ³²				
278-3			m j e ŋ ⁵¹				
279-3			w ɔ ³				
285-3			j ɛ m ⁵¹				
308-3			b j ɔ ⁴				
322-3			m e ³				
325-3			kʰ au ³				
337-3			m j a ŋ ⁵²				
341-3			d z ɔ ⁴				
347-3			ʃ o k ⁵³				
362-3			j e ⁵¹				
391-3			j ɛ k ⁵³				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁴³				
443-3			m j ɛ p ⁵³				
460-3			s ai t ⁵³				
463-3			ḛ ʔ ⁵¹				
464-3			w o ŋ ⁵				
473-3			s ɛ m ⁵³				
476-3			kʰ j o k ³²				
481-3			tsʰ u ⁴³				
494-3			g e ⁴				
496-3			j e ŋ ⁴				
516-3			w e ʔ				
1-4				m o k ⁴³			
4-4				l e ²			
18-4				m j a n ³			
19-4				n ḭ ʔ ⁵⁴			
44-4				l au k ³			
50-4				ɣ a ŋ ³¹			
62-4				s a k ⁵			
70-4				b j ɪ n ⁴			
75-4				m o̰ ʔ ⁵⁴			
