COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	k n e x + tɬ i								
8-1	w eː j								
16-1	e s + tɬ i								
24-1	i s t i tɬ								
32-1	m i k								
51-1	o n								
52-1	w a k + tɬ i								
53-1	n a k a								
54-1	tɬ aː l + l								
55-1	k w a								
60-1	i x								
1-2		n u tʃ i							
2-2		n e							
8-2		w e							
16-2		e s + t i							
24-2		i s t i							
32-2		m i i							
51-2		u n i							
52-2		w a k + t i							
53-2		n a k a s							
54-2		t a h l i							
55-2		k w a							
60-2		i h							
1-3			m o t i						
2-3			n e x t i						
8-3			w eː						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i						
52-3			w aː k + t i						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			i x + t						
1-4				m o tʃ i					
2-4				n e x					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t i					
32-4				m i k i					
51-4				o n i					
52-4				w a k + k o					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x					
1-5					m o t i				
2-5					n e x + t i				
8-5					w e				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n i				
52-5					a g + t i				
53-5					n a g a s				
54-5					t aː l i				
55-5					b a				
60-5					i x				
1-6						n u tʃ i			
2-6						n e x + t			
8-6						w e			
16-6						e s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n i			
52-6						w a k + k i			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						i x t			
1-7							n o t		
2-7							n e + t		
8-7							w e		
16-7							e n + t		
24-7							i t		
32-7							m e k i		
51-7							n		
52-7							w a k t		
53-7							n e k e		
54-7							t a		
55-7							k w a		
60-7									
1-8								n o tʃ ɨ	
2-8								n ɨ + tɬ ɨ	
8-8								w eː	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								o ɨ	
52-8								w a k + k ɨ	
53-8								n a k a	
54-8								tɬ aː l + l	
55-8								k w a	
60-8								ɨ x + t	
1-9									m o tʃ iː
2-9									n e + tɬ iː
8-9									b e
16-9									e pː + tɬ iː
24-9									i pː t iː
32-9									m iː k iː
51-9									o n + iː
52-9									b a k + k iː
53-9									n a k a
54-9									tɬ ø l iː
55-9									k w a
60-9									i x
