COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l ɔ ⁵						
18-1	n j a̰ ŋ ³						
19-1	n j ɛ ⁵						
44-1	l u k ³						
50-1	ʃ a ŋ ³						
62-1	s ai ⁵⁴						
70-1	b a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ³¹						
127-1	kʰ j i ³						
132-1	j ɔ ʔ ³¹						
133-1	n au ³						
135-1	n au ³						
142-1	d z i ³¹						
143-1	ŋ ɔ ʔ ³¹						
149-1	ʔ u ³						
152-1	ŋ ɔ ³						
157-1	b ɔ ⁵						
183-1	ʔ u ⁵						
184-1	n ṵ t ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n ɔ ³						
195-1	n ɔ ³						
200-1	a n ³						
216-1	s a ŋ ⁵						
218-1	l ɔ ʔ ³¹						
225-1	s a ŋ ³						
235-1	kʰ j ɛ ³						
244-1	s i ³						
253-1	n i ³						
270-1	m i ³						
278-1	n j a̰ ŋ ³						
279-1	ɔ ³						
285-1	j a m ³						
308-1	d i ⁵						
322-1	m i ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d z ɔ ³						
347-1	ʃ j u t ⁵⁴						
362-1	j i ³						
391-1	j u p ³¹						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ p ⁵⁴						
460-1	s ɔ t ⁵³						
463-1	i ³						
464-1	ʔ u ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k ³						
481-1	tsʰ a ³						
494-1	g i ³						
496-1	n j a ŋ ³						
516-1	w ɔ ³						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		m a̰ ³					
19-2		n i ³					
44-2		l a ⁵²					
50-2		a̰ ³					
62-2		s a ⁵²					
70-2		p a̰ ²³					
75-2		m j a ʔ ⁵²					
97-2		a ŋ ³					
112-2		ts a ⁵²					
122-2		m j a ʔ ⁵²					
127-2		k i ⁵²					
132-2		a ʔ ⁵²					
133-2		n a ³					
135-2		n au ⁵²					
142-2		t i ⁵²					
143-2		n a ʔ ⁵²					
149-2		a ⁵²					
152-2		n a ⁵²					
157-2		p a ⁵²					
183-2		ʔ a ⁵²					
184-2		n a ⁵²					
185-2		ts a ³					
189-2		m j a ʔ ⁵²					
192-2		n a ⁵²					
195-2		n a ⁵²					
200-2		a ⁵²					
216-2		s a̰ ²³					
218-2		l a ʔ ⁵²					
225-2		s a ²³					
235-2		kʰ i ³					
244-2		s i ⁵²					
253-2		m i ³					
270-2		m i ³					
278-2		m a̰ ³					
279-2		a ⁵²					
285-2		j a̰ ³					
308-2		p i ⁵²					
322-2		m i ⁵²					
325-2		k au ⁵²					
337-2		m j a ³					
341-2		a ⁵²					
347-2		s a ʔ ⁵²					
362-2		i ³					
391-2		j a ⁵²					
394-2		m a ʔ ⁵²					
397-2		t ə ³					
443-2		n j a ⁵²					
460-2		s a ⁵²					
463-2		i ³					
464-2		ʔ a ³					
473-2		s a m ⁵²					
476-2		kʰ j a ʔ ⁵²					
481-2		ʔ a ³					
494-2		k i ⁵²					
496-2		a ŋ ³					
516-2		w a ⁵²					
1-3			m au ³				
4-3			l ɔ ³				
18-3			m j e ŋ ⁴				
19-3			n j e ³				
44-3			l o ʔ ³				
50-3			j au ŋ ³				
62-3			s ə ʔ ⁵³				
70-3			b a ŋ ³				
75-3			m j ɔ ʔ ³				
97-3			tʃʰ a ŋ ⁴				
112-3			tsʰ ɔ ⁴				
122-3			m j o ʔ ⁵³				
127-3			kʰ e ³				
132-3			ɔ ʔ ³				
133-3			n au ³				
135-3			n au ³				
142-3			d e ³				
143-3			ŋ ɔ ʔ ³				
149-3			o ³				
152-3			n ³				
157-3			b ɔ ³				
183-3			ʔ u ³				
184-3			n o ⁵³				
185-3			tsʰ a m ³				
189-3			m j ɔ ʔ ³				
192-3			n ɔ ³				
195-3			n ɔ ³				
200-3			e ³				
216-3			s j e ŋ ⁴				
218-3			l ɔ ʔ ³				
225-3			s a ŋ ⁴				
235-3			kʰ j e ³				
244-3			s e ³				
253-3			m j e ³				
270-3			m j e ³				
278-3			m j o ŋ ³¹				
279-3			ɔ ³				
285-3			j ɛ m ³				
308-3			b j e ⁴				
322-3			m j e ³				
325-3			kʰ au ³				
337-3			m j a ŋ ³				
341-3			d ɔ ³				
347-3			ʃ o ʔ ⁵³				
362-3			j e ³				
391-3			j o ʔ ⁵³				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁵³				
443-3			m j ɛ p ⁵³				
460-3			s a ʔ ⁵³				
463-3			e ³				
464-3			ʔ o ŋ ⁴				
473-3			s ɛ m ³				
476-3			kʰ j o ʔ ⁵³				
481-3			tsʰ a ³¹				
494-3			g ɔ ³				
496-3			j o ŋ ³				
516-3			w ɔ ³				
1-4				m o k ⁵⁴			
4-4				l o ³			
18-4				m j ɪ n ³			
19-4				n i ʔ ⁵⁴			
44-4				l au ʔ ³			
50-4				ʃ a ŋ ³			
62-4				s a k ⁵			
70-4				b ɪ n ³			
75-4				m j ɔ ʔ ³			
97-4				tʃʰ a ³²			
112-4				tsʰ o ³²			
122-4				m j æu ʔ ³			
127-4				kʰ i ³¹			
132-4				o ʔ ⁵⁴			
133-4				n o ʔ ³			
135-4				n o k ⁵⁴			
142-4				d i ³¹			
143-4				ŋ o ʔ ⁵⁴			
149-4				ʔ au ²			
152-4				n o ³			
157-4				b o ³²			
183-4				ʔ au ³			
184-4				n a̰ ʔ ⁵⁴			
185-4				tsʰ e ³			
