COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x ɿ ⁵⁵								
452-1	t ɯ ³¹								
4342-1	t ɯ ³¹								
4344-1	tɕʰ ɯ ⁴²								
5487-1	t ɯ ³¹								
1401-1	pʰ ɔ ⁴⁴								
6496-1	tɕʰ ɯ ³¹								
1064-1	ɲ a ⁵⁵								
1065-1	tɕʰ ɿ ⁴²								
6617-1	t ɔ ²¹								
4367-1	t a ⁴²								
4378-1	ɕ u ⁵⁵								
4379-1	ɲ i ⁵⁵								
3984-1	ʂ ɿ ³³								
5086-1	tɕʰ ɔ ³³								
3333-1	ʂ ɿ ⁴²								
2226-1	x ɔ ³⁵								
2373-1	kʰ ɔ ³³								
2363-1	s ɔ ⁴²								
672-1	tɕʰ ɿ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1	ʈʂ ɿ ⁴²								
2617-1	ɕ ɿ ³³								
2066-1	ɕ ɿ ³³								
2094-1	ɕ ɿ ³³								
2096-1	k ɛ ⁴²								
798-1	p ɔ ⁴²								
6668-1	ɕ u ³³								
4028-1	t ɛ ⁴⁴								
6555-1	k w a ⁴²								
2281-1	k u ⁴⁴								
701-1	k w a ⁴²								
628-1	m ɿ a ⁴²								
3096-1	tɕʰ ɿ ⁴²								
3021-1	ʈʂ ɔ ²¹								
2708-1	ɕ ɿ ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɿ ³³								
6469-1	s ɿ ⁴²								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	ɲ ɛ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	pʰ ɲ i ²¹								
5417-1	tɕʰ ɿ ⁴²								
1959-1	x ɔ ³¹								
1960-1	t ɛ ⁵⁵								
2899-1	x ɔ ²¹								
3651-1	tɕʰ ɿ ⁴²								
811-1	k u ²¹								
1633-1	m ɛ ²¹								
1775-1	k ɛ ²¹								
5801-1	k ɛ ⁴²								
4769-1	ɲ ɔ ²¹								
3720-1	k a ³⁵								
6446-1	m ɯ ³³								
1255-1	pʰ ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ⁴²								
242-1	tɕʰ ɿ ³⁵								
3739-1	k ɛ ²¹								
5984-1	ʈʂ ɔ ²¹								
838-1	s ɔ ³⁵								
839-1	t ɔ ²¹								
3149-1	j i ⁵⁵								
2829-1	ʈʂ ɔ ²¹								
4602-1	tɕ i ⁴²								
5225-1	ɲ ɔ ⁵⁵								
3933-1	m ɛ ⁴²								
5763-1	ʈʂ ɔ ⁴²								
2134-1	ɕ ɿ ⁵⁵								
5724-1	t ɯ ³⁵								
5704-1	ʈʂ ɔ ⁴²								
5705-1	kʰ ɛ ⁵⁵								
5037-1	tɕʰ i ⁴²								
5038-1	t a ³⁵								
4332-1	tɕʰ ɿ ⁵⁵								
5447-1	tɕʰ ɛ ⁵⁵								
3702-1	s ɿ ³¹								
1549-1	s ɿ ⁴²								
2394-1	k ɛ ³³								
1-1	ʂ ɛ ⁴²								
2947-1	t ɯ ²¹								
4653-1	k ɛ ⁴²								
4989-1	k ɛ ⁴²								
3749-1	j ɔ ⁴⁴								
3452-1	tɕʰ ɛ ⁵⁵								
598-1	ɲ a ⁴⁴								
638-1	pʰ ɯ ⁵⁵								
2819-1	p ɔ ⁴⁴								
4477-1	kʰ w a ⁴²								
4487-1	tɕʰ ɿ ⁴²								
4666-1	tɕ i ⁴²								
5661-1	t a ⁴²								
4923-1	tɕʰ ɯ ⁴²								
4913-1	k ɯ ²¹								
1143-1	m ɛ ⁴⁴								
4864-1	ɕ ɿ ³⁵								
3184-1	s ɿ ³³								
4591-1	tɕʰ u ⁴⁴								
1431-1	ʂ ɿ ⁴⁴								
3323-1	k ɛ ⁵⁵								
6709-1	tɕʰ ɯ ⁴⁴								
903-1	m ɛ ⁴²								
5098-1	k ɯ ²¹								
5994-1	k a ³⁵								
6971-1	m ɿ a ⁴²								
763-1	tɕʰ ɯ ³⁵								
691-1	x ɛ a ⁴²								
1083-1	t ɔ ⁴²								
1421-1	k ɛ ⁴²								
6699-1	t ɯ ⁴²								
2628-1	s ɔ ⁵⁵								
1696-1	x ɔ ³¹								
6179-1	k ɛ ⁵⁵								
6180-1	tɕʰ ɿ ⁵⁵								
6658-1	ʂ ɿ ³³								
1231-1	ɕ ɛ ³¹								
4265-1	k ɯ ⁵⁵								
2787-1	ʈʂ ɔ ³¹								
3247-1	tɕʰ ɿ ⁵⁵								
252-1	t a ⁴²								
6004-1	k a ³¹								
4728-1	ɕ a ⁵⁵								
3843-1	kʰ ɯ a ⁴²								
4965-1	tɕʰ a ³¹								
5641-1	t a ³¹								
3280-1	s ɔ ³¹								
1390-1	kʰ ɔ ⁴⁴								
2156-1	kʰ ɯ a ⁴²								
3433-1	ɕ i ³¹								
552-1	ɕ i ³¹								
4845-1	tɕʰ i ⁴⁴								
4846-1	t ɯ ⁴⁴								
2292-1	m ɯ ³¹								
6635-1	ɲ j ɔ ⁴⁴								
3994-1	t ɯ ⁴⁴								
3031-1	tɕʰ ɿ ⁴²								
6078-1	tɕʰ i ³³								
1644-1	t ɯ ⁵⁵								
2435-1	ɲ i ⁴⁴								
1676-1	ŋ ɔ a ⁴²								
6281-1	k ɛ ⁵⁵								
5915-1	tɕʰ ɿ ⁵⁵								
1560-1	ɕ i ³³								
575-1	t ɔ ⁴²								
