COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n i tʃ i i								
2-1	oː a n i + tɬ i								
8-1	w a a								
16-1	i + tɬ i								
24-1	i s t i tɬ								
32-1	m i k i								
51-1	j a n								
52-1	a a + t i								
53-1	n a k a + i								
54-1	tɬ a a + l i								
55-1	k w a +								
60-1	i s + t o l a t								
83-1	t a + tɬ								
87-1	a tɬ a n i								
92-1	m i k a								
103-1	m a i n								
106-1	tɬ i tɬ i								
138-1	n a a + tɬ								
139-1	s a k + t i + i								
142-1	m i tɬ i								
145-1	m i + t a a								
176-1	t a a + tɬ								
179-1	n a k a + tɬ								
180-1	m i + tɬ i								
186-1	i tʃ + i								
190-1	a a k a + i n								
194-1	s i oː								
220-1	a s i								
231-1	i ʔ tɬ a								
240-1	k o tɬ i								
283-1	t a + tɬ								
293-1	i n + oː n								
314-1	k w a a + i tɬ								
315-1	a m i								
322-1	t iː a a + i i								
323-1	tɬ a n								
9-1	t i t o + tɬ								
17-1	i w i + tɬ								
22-1	i aː + i k i n								
30-1	w i k								
88-1	i tʃ i								
158-1	s a j a a i n								
159-1	a tɬ i + tɬ								
177-1	s i j a k								
184-1	t iː k a i + w								
187-1	a a k w i + tɬ								
227-1	a + l i								
235-1	s a + w a l i + t i n								
249-1	tɬ i k + tɬ i								
251-1	+ k i n a								
289-1	k w iː a l + t i n								
294-1	t i + a								
296-1	n a n a + i								
313-1	tɬ a n + + i k								
316-1	n i + n i l i								
318-1	t o t n i t i								
320-1	a + tɬ								
324-1	i s t a k i								
326-1	a k i								
1-2		j o t a							
2-2		t + o + a o n t							
8-2		w a n n n							
16-2		ts u n + t i							
24-2		u s t i t							
32-2		j u t i							
51-2		h ts o n o + l							
52-2		w a k + t o n							
53-2		j a a							
54-2		t a h u							
55-2		k w a							
60-2		o n t o							
83-2		t a n + t n							
87-2		s a t a n + u							
92-2		j a a							
103-2		j o n n							
106-2		k a t e							
138-2		j o n t i							
139-2		s o n + t a o							
142-2		j a t e							
145-2		j u + t a t a							
176-2		t a + a + t							
179-2		j e a + t							
180-2		j o i + t i							
186-2		t a n i u							
190-2		j e k a + t l							
194-2		s e							
220-2		u n + t a n							
231-2		eː h t a							
240-2		k u t i							
283-2		ts n + t a t							
293-2		h uː n i l							
314-2		b w a o o							
315-2		u n a							
322-2		t a n e o							
323-2		t o n							
9-2		t u a + t							
17-2		o h w a + t							
22-2		t a t a							
88-2		j h i							
158-2		s a + a a k							
159-2		e t eː n i							
177-2		s u a							
184-2		t o k a i							
187-2		j u n k w a							
227-2		i h a a o							
235-2		s a + t a a a							
249-2		h a k + t i							
289-2		k w a t a o o							
294-2		t a h a							
296-2		ts o n a a n							
313-2		t a n							
316-2		s e u a i							
318-2		t o t o n a							
324-2		t a s t o							
326-2		o h t u							
1-3			j eː t eː						
2-3			w aː a i l i						
8-3			j eː eː						
16-3			j e s t i						
24-3			i s t eː						
32-3			j i t i						
51-3			o a i						
52-3			j eː k + t i ʔ						
53-3			j e k o l						
54-3			t eː o aː						
55-3			k w eː						
60-3			e x + t o a o a o						
83-3			t eː						
87-3			t e t eː l i						
92-3			j eː o						
103-3			j eː						
106-3			t eː t o						
138-3			j e l aː						
139-3			j e k + + t i a						
142-3			j eː t o						
145-3			j e + t eː eː						
176-3			t eː a ʔ						
179-3			j eː k eː + ʔ						
180-3			j eː s + t i						
186-3			t e						
190-3			j eː k o						
194-3			s eː						
220-3			eː j + i						
231-3			i t a						
240-3			t eː t eː						
283-3			t eː						
293-3			t eː n						
314-3			k w eː a o						
315-3			eː j eː						
322-3			t e n a a eː l						
323-3			t eː						
9-3			t e eː + ʔ						
17-3			eː j i						
22-3			t e w a						
30-3			o o ʔ						
88-3			i t i						
158-3			j e k w a a ʔ						
159-3			e t eː l						
177-3			j i n eː						
184-3			t e a						
187-3			j eː j k w aː + ʔ						
227-3			k j a l aː n						
235-3			j e + t a l i n a						
249-3			t eː k + t i						
251-3			k a o t a l a						
289-3			k e i t a i l						
294-3			t e n aː						
313-3			t a n						
316-3			j e n + a a l i						
318-3			k t a t o n i ʔ						
320-3			o						
324-3			i s a ʔ						
326-3			i j						
1-4				m o tʃ i					
2-4				o n e n + tɬ i					
8-4				n a o i					
16-4				e n + tɬ i					
24-4				i h t e					
32-4				m i k a					
51-4				o n + o					
52-4				a a x + tɬ o					
53-4				n a k a i					
54-4				tɬ i a i					
55-4				k w a					
60-4				i n + t o l o l					
83-4				tɬ i + ts n i n + tɬ					
87-4				i tɬ a o i					
92-4				m a k a					
103-4				m a n					
106-4				k a k a					
138-4				n a i w o					
139-4				m i k n + t i e					
142-4				m a t a					
145-4				s o + t e o					
176-4				tɬ a i a tɬ					
179-4				n a k a tɬ					
180-4				m e i + tɬ i					
186-4				tʃ e tʃ + i i					
190-4				j a k a + tɬ i					
194-4				s a					
220-4				o + + i					
231-4				i h tɬ a					
240-4				k o a					
283-4				i i + t e tɬ					
293-4				i n + i n					
314-4				k w a w i tɬ					
315-4				a n a					
322-4				t e o a					
323-4				tɬ i					
9-4				t i t o tɬ					
17-4				i w i + tɬ					
30-4				m i					
88-4				i tʃ i					
158-4				s e o a k					
177-4				s e j a k					
184-4				t i k a					
187-4				i a n k w a + tɬ					
227-4				i o i i					
235-4				s o + tɬ e l i e					
249-4				t o k + tɬ i					
251-4				m o i e a					
289-4				k w i t a tʃ i e					
294-4				t e a					
296-4				n o n a i i + i n tɬ					
313-4				tɬ a n + o					
316-4				n e + n e l i					
318-4				n + t o o n					
320-4				a n + tɬ					
324-4				i s t a k					
326-4				a k					
1-5					e e eː				
2-5					t b a n eː x a				
8-5					e eː eː i				
16-5					t e x + t i				
24-5					i s i t				
32-5					m e i				
51-5					e n i l				
52-5					eː e x + t o				
53-5					n e g e n				
54-5					t eː eː i				
55-5					b e eː				
60-5					eː n x				
83-5					t eː t i				
87-5					e h eː n i				
92-5					i e a				
103-5					oː eː n i				
106-5					e i				
138-5					oː eː x				
139-5					e e x + i a				
142-5					oː e t i				
145-5					o + eː eː				
176-5					t eː eː t				
179-5					n e eː + t				
180-5					oː eː + t i				
186-5					t eː x				
190-5					eː e x i				
194-5					s eː t				
220-5					o eː				
231-5					e h t a				
240-5					t e t i				
283-5					t oː eː				
293-5					h eː n i				
314-5					b e e e t				
315-5					eː oː eː				
322-5					t e a eː n				
323-5					t eː				
9-5					t e eː + t				
17-5					eː h i + t				
22-5					t eː t a e				
30-5					h eː i t				
88-5					i i + t				
158-5					e e a a i				
159-5					e t eː m a t				
177-5					i m o k				
184-5					t e a				
187-5					a a n i + t				
227-5					o i i				
235-5					a o + a a eː a				
249-5					t o k + t i				
251-5					o g a a				
289-5					b e e a w a a				
294-5					t e m i				
296-5					n e n eː t a a				
313-5					t oː n t i				
316-5					m e n o a i				
318-5					t o o n a				
320-5					eː t i				
324-5					i s t o				
326-5					oː t				
1-6						j i l i			
2-6						t eː e n i l t i			
8-6						i eː			
16-6						eː s + t i			
24-6						i s t i t			
32-6						m i h i			
51-6						e n + i			
52-6						i eː l + u			
53-6						n eː l a l t			
54-6						t e l i			
55-6						eː a			
60-6						i n + t a n a n a			
83-6						t eː t			
87-6						t eː l a n			
92-6						j i a			
103-6						m i i			
106-6						t eː i			
138-6						n e l t u			
139-6						m i n + t a a			
142-6						m i t			
145-6						j e + e k a			
176-6						t eː a + t			
179-6						j eː k a + t			
180-6						m i n + t i			
186-6						t eː n			
190-6						j eː l a			
194-6						s i			
220-6						u + t i			
231-6						i h t i			
240-6						p eː i			
283-6						t a			
293-6						i n i			
314-6						eː a n i t			
315-6						i eː i			
322-6						t e n a i a n			
323-6						t eː			
9-6						t eː l u + t			
17-6						i w i + t			
22-6						t eː n w i			
30-6						eː i			
88-6						j i t			
158-6						j eː j e k			
159-6						a t a n t			
177-6						j i a k			
184-6						t eː l a			
187-6						j eː e k w i			
227-6						n e a i			
235-6						j e + t a a a a			
249-6						t eː k + t i			
251-6						n a k a a			
289-6						eː a a n a l			
294-6						t e l t u			
296-6						j uː n a tʃ i l			
313-6						t a n + t			
316-6						j e l + j e i			
318-6						eː + t a u n e k			
320-6						a t			
324-6						eː s t e k			
1-7									
2-7									
8-7									
16-7									
24-7									
32-7									
51-7									
52-7									
53-7									
54-7									
55-7									
60-7									
83-7									
87-7									
92-7									
103-7									
106-7									
138-7									
139-7									
142-7									
145-7									
176-7									
179-7									
180-7									
