COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə																		
63-1	ʔ a r i																		
107-1	kʼ a m ə u a																		
112-1	d ə m ə r a																		
331-1	ə ə u																		
377-1	kʼ kʼ ə kʼ u i																		
381-1	ʔ ɨ a																		
417-1	r a																		
451-1	s ə r ɨ t																		
454-1	ʔ a zː ə u r																		
484-1	s ɨ a r t																		
535-1	ʔ a r aː r o																		
543-1	s ə																		
593-1	kʼ a m u																		
640-1	m a o																		
1-1	d ə r ə r a																		
65-1	kʼ a r																		
212-1	kʼ a r																		
244-1	ʔ a r u t																		
248-1	ə kʼ u a i																		
293-1	s ə r ə																		
373-1	kʼ kʼ u r u o																		
408-1	kʼ a u r a																		
414-1	kʼ a r ə r a																		
601-1	m ə r																		
642-1	m ə ə a																		
60-1	n ə tʼː ə sː ə																		
115-1	ə a r a																		
209-1	s ə r a																		
242-1	ʔ a ə r																		
415-1	s ə r a																		
450-1	m ə r a																		
490-1	tʼ ə kʼ ə a																		
638-1	s a r e																		
645-1	kʼ a ə																		
160-1	kʼ ə rː ə a																		
208-1	ʔ ɨ zː kʼ ə u a																		
214-1	kʼ a r ə																		
378-1	ʔ a r kʼ a t																		
379-1	ə ə ə t ə r																		
409-1	kʼ a u r																		
598-1	kʼ u t																		
646-1	ʔ a u																		
210-1	w ə ə i r a																		
215-1	ʔ ə zː ə a t																		
285-1	l ə t a t																		
332-1	kʼ a kʼ r																		
380-1	ʔ a r ə																		
412-1	s ə r i																		
64-1	d ə r ə																		
67-1	a a kʼ r																		
251-1	w ə n ə																		
294-1	ʔ a ə ə ə kʼ ə a																		
597-1	ʔ ə zː i t ə r a																		
7-1	kʼ a zː a																		
158-1	kʼ ə ə u r																		
372-1	kʼ ə n ə ə ə																		
374-1	kʼ ə kʼ ə r a																		
375-1	s ə																		
411-1	ʔ ə ə a																		
541-1	kʼ ə i																		
6-1	e e e r e																		
113-1	b ə r a																		
330-1	g ə ə																		
448-1	ʔ ə t ə n ə ə ə ə t																		
449-1	ʔ a ə																		
491-1	d ə zː g a t																		
596-1	ə b																		
4-1	kʼ a t																		
8-1	kʼ a ə t a																		
106-1	m ə s i																		
290-1	ʔ ə kʼ ə r u																		
489-1	kʼ r r																		
602-1	m ə ə																		
2-1	ʔ ʔ ə ə u																		
3-1	g ɨ r a																		
61-2		x ə e																	
63-2		x ə j e e																	
107-2		tʃ ɨ m ə e e																	
112-2		tʃ ə m e e e																	
331-2		x ə kʼ u																	
377-2		x x ə kʼ e e e																	
381-2		x ɨ h ə																	
417-2		ɨ u																	
451-2		x ə j e																	
454-2		x ə u r																	
484-2		tʃ ə e ə																	
535-2		x ə sː ə r																	
543-2		x ə ə e																	
593-2		x ɨ m u																	
640-2		ə ɨ ə ə																	
1-2		x ə m ə e e																	
65-2		x ɨ kʼ																	
163-2		x ə kʼ e																	
212-2		x ɨ e																	
244-2		x ɨ r ə																	
248-2		ɨ u e e																	
293-2		m ə rː e																	
373-2		kʼ tʃ u e e e																	
408-2		x ə ɨ e e																	
414-2		x ɨ kʼ e e e																	
642-2		x ɨ e e																	
60-2		x e tʼː e e e																	
115-2		x ə e a																	
209-2		x ɨ e u																	
242-2		x ɨ ə e																	
415-2		tʃ ɨ sː e																	
450-2		x e e																	
490-2		x ə kʼ e																	
645-2		x e e																	
160-2		tʃʼ e rː ə kʼ																	
208-2		x ɨ n kʼ u r e																	
378-2		x ɨ e ə e d																	
379-2		x ə d e a																	
409-2		x ə ə r e																	
598-2		x ə ə ə																	
646-2		x ə j ɨ ə																	
210-2		x e e e e e																	
215-2		x e e e																	
285-2		ɨ e d e d																	
380-2		x e j ɨ z																	
412-2		e ə m e e																	
496-2		x ɨ e e e b e d																	
64-2		ʔ e b e																	
251-2		x e j ɨ a																	
294-2		x ɨ e e d r																	
597-2		x ɨ e e d e e e																	
7-2		x e e e																	
158-2		x ə m a a																	
296-2		x e ə e e d e																	
375-2		s ə																	
541-2		kʼ ə d ə																	
113-2		d ɨ r e																	
252-2		x ə m e ə																	
330-2		d ə e																	
449-2		x a ɨ e																	
491-2		ʔ ɨ e kʼ ə																	
545-2		x ə m e																	
596-2		x ə β ə																	
4-2		x ə r ɨ e																	
106-2		m e sː e																	
254-2		kʼ ɨ m e d																	
290-2		x ə ə m e																	
602-2		m ɨ sː																	
2-2		ʔ ɨ e a r																	
3-2		x ɨ n t e																	
61-3			d ə m																
63-3			ʔ u t ɨ ə																
107-3			g u m e u a																
112-3			d u n e r u																
331-3			n ɨ kʼ w u a																
377-3			kʼ u kʼ u u ə																
381-3			ʔ u																
417-3			u u n																
451-3			n ə h u t																
454-3			ʔ ə u u																
484-3			n ɨ t ə u																
535-3			ʔ u n ɨ u																
543-3			ə u u t																
593-3			ʔ u ə u r																
640-3			ə w u n ə																
1-3			d ə p ə r ə m																
65-3			t u																
