COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t									
56-1	i m a									
96-1	a a t									
99-1	a r i k a									
114-1	t o k									
115-1	u									
133-1	t i p a n									
144-1	a t a w a									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a t a									
2-1	w o m									
65-1	i w									
74-1	p a n a									
106-1	t i n i									
128-1	p o k									
147-1	t i k									
231-1	p a n a w o									
232-1	p i p i o									
239-1	n a m a k a n									
266-1	i i m									
51-1	i w i ʔ									
97-1	m a p o m									
109-1	u p i i k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k i r i k									
163-1	i p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m a k i									
142-1	p a t a m a									
145-1	k a a t a t									
148-1	t a w a n									
162-1	i i n									
166-1	i m i									
179-1	t a									
201-1	p i									
21-1	a a t a n									
24-1	p o k o r a n									
52-2		t i t e								
56-2		i m e								
96-2		a r a s								
99-2		a r i k e n								
114-2		t o k i s i								
115-2		i r i s i								
133-2		t i p r a s i								
144-2		a r a r a s i								
150-2		k a								
234-2		i k e n								
236-2		p i k e n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i								
106-2		t e k e s i								
119-2		i j i t i s i								
128-2		t o k i s i								
147-2		t i m i s i								
231-2		p a n a w i								
232-2		i p i j a								
239-2		m a m a k a								
266-2		i t i m								
51-2		i w e								
55-2		i a m								
97-2		a o m a								
121-2		k a p i j a i s i								
163-2		i p e n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a								
112-2		t r a j i s i								
116-2		t o a k a s i								
125-2		k a t i m a s i								
135-2		k i i								
139-2		m a i s								
142-2		o p i r a m a s i								
148-2		t r a w r i n i								
162-2		i j i								
166-2		i m i								
179-2		t a								
52-3			t i a a							
56-3			tʃ i m a							
96-3			t a t a t a							
99-3			a t i a a a							
114-3			t u k a tʃ e							
115-3			a t u m a tʃ i							
133-3			tʃ i k a m a tʃ e							
144-3			t a t a m a tʃ e							
150-3			k a a							
234-3			a k a m							
236-3			t a k a							
241-3			t a k i k i							
249-3			i m a							
1-3			p a m a							
2-3			a i m a							
65-3			a w a i							
93-3			t u k a m i tʃ o							
95-3			a k i k a i							
106-3			t u m a m i tʃ i							
119-3			m a t i tʃ i							
128-3			t u k a tʃ e							
147-3			t u m a tʃ o							
231-3			p a m a t o							
232-3			p i p i a a							
239-3			m a m a k a a							
266-3			p a i t i m							
3-3			t a m i k a a							
4-3			p a m a							
55-3			i k i i a m							
109-3			u p i k a tʃ i							
121-3			k a k a k a a a a							
149-3			tʃ e k a							
160-3			k i m i							
207-3			m i							
112-3			t a i t i a t i tʃ i							
125-3			k a k i m a tʃ e							
134-3			tʃ i p a tʃ e							
135-3			t i k a a m a tʃ e							
139-3			t a k a m a m i tʃ e							
52-4				t i t						
56-4				u m						
96-4				a a t						
99-4				a r i						
114-4				t o k						
115-4				u						
133-4				t i p a n						
144-4				a w a w a						
150-4				k a w						
234-4				k o m						
236-4				p i k n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				u m						
65-4				i w						
74-4				p a n a						
93-4				t a p a						
95-4				w i						
106-4				t u n						
119-4				i t						
128-4				p o k						
147-4				t i m						
231-4				p a n a w o						
232-4				i p i						
239-4				n a m a k a n						
266-4				i t i m						
3-4				a k						
4-4				w a						
51-4				i w i						
97-4				m a p m a						
109-4				u p e k						
121-4				k a p a a						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t o w a						
66-4				k a r a k a w						
116-4				t u a k						
134-4				n i p a t						
135-4				k i						
139-4				k i m o n						
142-4				p a t a m a						
145-4				k a a t a t						
148-4				t a a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				k a w a t a n						
24-4				w a k a a n						
52-5					t i t a					
56-5					i m e					
96-5					a r a s i					
99-5					a r i j e n					
