COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m a b e			
222-1	a b o b o n e			
208-1	a b u r b u d e			
962-1	a g o r e e			
203-1	a g u d i l e			
138-1	m s i l e			
504-1	m o s e e			
662-1	ɓ u d e			
478-1	a g o d e			
409-1	a r e			
410-1	k u n d e			
256-1	ɓ a l e			
622-1	n d e			
546-1	n d e			
547-1	s a t a e			
847-1	n a n d i g e			
95-1	b a d e			
105-1	b a a n e			
510-1	b o s e			
951-1	m b a m a r e			
1116-1	m b a m e			
149-1	ɓ u s e			
376-1	ɓ a l e			
815-1	k o r e e			
453-1	m a n e			
67-1	m a s e			
47-1	d o k o l e			
869-1	m o l e			
57-1	k a g e			
303-1	k a s i e			
443-1	k a r e			
884-1	k a n d e			
166-1	k u n d e			
918-1	a b a r e			
831-1	m o s e			
616-1	b a e			
84-1	h o s e l e			
346-1	h o o l e			
601-1	s i g e			
177-1	k a a e			
341-1	k o l e			
1066-1	m a n s a ŋ e			
318-1	m d e s e			
241-1	m a ɲ s o			
556-1	m a n d u ŋ e			
191-1	ɓ a m b i l			
458-1	a s ʔ i s e			
1-1	m a n d i r e			
751-1	r o			
864-1	a ŋ o n e e			
154-1	a a m a n s e			
278-1	a m i l e ʔ e			
766-1	s o r e			
251-1	a g a r e			
582-1	o o n e			
6-1	a l e			
1106-1	n k o			
473-1	m a n e			
1111-1	m a l e			
957-1	m a r e			
41-1	b i e			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i ʔ o		
138-2		a ʃ i l e		
504-2		ɗ o ʃ e n a		
662-2		b u d n a		
478-2		a g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n a n d i g i		
95-2		b ɛ ɗ i		
105-2		b i n e n i		
510-2		b o ʃ a		
951-2		m b m a r e		
1116-2		m b u m a		
149-2		b u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a a		
453-2		ɗ u n e		
67-2		ɗ a ʃ e		
47-2		d o k o o n a		
869-2		ɗ u l a		
57-2		k aː g u		
303-2		g ʔ a s ʔ i a		
443-2		g ɛ r e		
884-2		g u n d o		
166-2		g u n d i		
918-2		a b a r e		
831-2		h a n ʃ i		
616-2		b i e		
84-2		h o ʃ a l a		
346-2		h o h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f e n s i n i		
318-2		a f e ʃ i		
241-2		m a n e ʃ o		
556-2		h a n d u n u		
191-2		b i m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n g i r e		
751-2		r o		
864-2		a n o n e n i		
154-2		a n m a n s i		
278-2		a m i l o ʔ i		
766-2		ʃ o r a		
251-2		a g u r u		
582-2		u o n e		
6-2		a l i		
1106-2		n g o		
473-2		m i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
468-3			θ a b a	
222-3			a b a b ɔ n a	
208-3			a b u r b u d u	
962-3			a g ɔ r ʔ a	
203-3			a g u d i	
138-3			a ʃ i l a	
504-3			ɗ ɔ ʃ ɛ f a	
662-3			b u d a	
478-3			a g ɔ d a	
409-3			a r a	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			m ɛ n d a g i	
95-3			b ɛ d i	
105-3			b i n i	
510-3			b ɔ ʃ a	
951-3			m b a m a r a	
1116-3			m b a m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ a l i	
815-3			k ɔ r a f a	
453-3			ɗ u n a	
67-3			ɗ a ʃ a	
47-3			d ɔ k ʔ ɔ θ a	
869-3			ɗ u l a	
57-3			k aː g u	
303-3			k ʔ a s ʔ i a	
443-3			g a r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r a	
831-3			h a ʃ a	
616-3			b ʔ a	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h a l u	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s ʔ i ŋ a	
318-3			a f a s i	
241-3			m a ʃ ʃ o	
556-3			h a n d u ŋ u	
191-3			p ʔ a m b ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n d i r	
751-3			r ɔ	
864-3			a ŋ ɔ n ʔ i	
154-3			a a m a n s i	
278-3			a m i l u ʔ a	
766-3			ʃ ɔ r a	
251-3			a g u r u	
582-3			a ʔ ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			m i n a	
1111-3			h a l u	
957-3			m a r a	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i e
138-4				ʃ i l e
504-4				ɗ o ʃ i y a
662-4				ɓ u d y a
478-4				a g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				n e n d i g i
95-4				b ə ɗ i
105-4				b i l e n i
510-4				b o ʃ a
951-4				m b ɛ m a r e
1116-4				m b ɪ m a
149-4				ɓ ʔ u s ʔ i
376-4				ɓ a l i
815-4				g o r i y a
453-4				ɗ u n e
67-4				ɗ aː ʃ e
47-4				ɗ o k k ʔ o l a
869-4				ɗ o l a
57-4				g aː g u
303-4				g ʔ a s ʔ i a
443-4				g ɛ r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h a n ʃ e
616-4				b i e
84-4				h o ʃ ɛ l e
346-4				h o h u l u
601-4				s i g i
177-4				k ʔ a f a ʔ
341-4				k ʔ o l a
1066-4				f e n s ʔ i n a
318-4				f aː ʃ i
241-4				m a ʃ o
556-4				h a n d u ɲ u
191-4				ɓ ə m b i l
458-4				a s ʔ i s ʔ i
1-4				h a n d i r e
751-4				r o
864-4				a n o n y i
154-4				a l m a n ʃ i
278-4				a m i l u ʔ a
766-4				ʃ o r a
251-4				a g u r u
582-4				o ʔ o n e
6-4				a l i
1106-4				n g o
473-4				m i n e
1111-4				h a l u
957-4				m a r e
41-4				b e n
