COGID	Albanian	English	French	German	Latin
560-1	e n				
438-1	e r e				
1222-1	e				
353-1	p e				
201-1	e n				
20-1	e				
503-1	p e n				
957-1	e				
728-1	e n				
244-1	n e m				
289-1	n e				
911-1	r e e				
724-1	t r				
145-1	e				
992-1					
1181-1	e n				
741-1	p e				
1150-1	e				
585-1	t				
814-1	ə r e				
560-2		k p m			
438-2		ɪ r			
1222-2		l o			
353-2		f p ɪ s			
201-2		f au n p			
20-2		f ɪ ə r			
503-2		f p l			
957-2		m ɪ			
728-2		l a ŋ t			
244-2		n ɪ n			
289-2		p o f t			
911-2		w au r s l			
724-2		θ r n o			
145-2		r w o m			
992-2		w o			
706-2		e g			
106-2		f ɪ d ə r			
741-2		h r			
421-2		b l o k			
227-2		f p o t			
920-2		h ə r			
1083-2		h ɪ r			
1066-2		au r			
1125-2		m l o			
1197-2		p au d ə r			
473-2		n ɪ n			
284-2		n au s			
661-2		m ai			
701-2		r ɪ d			
315-2		r au t n θ			
1169-2		ʃ o l			
1150-2		h j ə r			
982-2		a s ɪ			
987-2		s n o n			
1055-2		s d ə r			
1130-2		s e s			
433-2		s i n k			
625-2		m au ŋ k			
1186-2		m ɪ			
560-3			v j ɛ		
438-3			d r u		
1222-3			ɔ v u		
353-3			p j s		
201-3			k ɑ̃ r w		
20-3			k a e j		
503-3			p l		
957-3			d u		
728-3			l ɔ w		
244-3			ʃ ɔ		
289-3			n j w t		
911-3			r s w		
724-3			ʃ r w a		
145-3			d j u a		
992-3			k u		
1181-3			e j w		
706-3			ɔ		
106-3			p a t a r		
741-3			p j ɛ		
421-3			f l v		
227-3			p ɛ		
920-3			k ɔ r a		
1083-3			k ɔ r		
1066-3			e		
1125-3			k ɑ̃		
1197-3			m t a r		
473-3			n ɔ i		
284-3			n s		
661-3			d ɑ̃		
701-3			r u r		
315-3			r ɔ t		
1169-3			s a l		
1150-3			d j a r		
982-3			d ɛ		
987-3			ɑ̃		
1055-3			s a a		
1130-3			s		
433-3			s ɔ l a v		
585-3			d u		
625-3			l ɑ̃		
1186-3			t ɑ̃ t		
814-3			v ɛ r a		
560-4				eː n	
438-4				eː r ə	
1222-4				aː g	
353-4				f eː z	
201-4				f eː n l	
20-4				f e r	
503-4				f a l	
957-4				i n	
728-4				l eː n	
244-4				n eː m	
289-4				n e t	
911-4				r i x t	
724-4				d r ə	
145-4				t iː	
992-4				h eː	
1181-4				a n a	
706-4				e	
106-4				f e d ə r	
421-4				f l eː ə r	
227-4				f ai s	
920-4				h i r t ə ə	
1083-4				h eː r n	
1066-4				ə	
1125-4				n ə	
1197-4				m e d ə r	
473-4				n eː ə	
284-4				n eː z	
661-4				v eː n	
701-4				r e t	
315-4				r e n t	
1169-4				z a l t	
1150-4				ʃ i r t ə ə	
982-4				z e s	
987-4				ʃ n iː	
1055-4				z x t f eː r ə	
1130-4				z e l	
433-4				z eː n ə	
585-4					
625-4				t eː n	
1186-4				t eː n d	
814-4				a	
560-5					w e i o
438-5					o r e e
1222-5					a u o f
353-5					p k a s i o
201-5					s i n k o
20-5					k a t u e r
503-5					p l e n o
957-5					d e n
728-5					l o n k r
244-5					n o m e n
289-5					n iː d
911-5					a l s iː n
724-5					t r eː
145-5					d u au a
992-5					k iː
1181-5					k k e n t o
706-5					o u i o
106-5					p e t u r
741-5					p au d o
421-5					f l o i r
227-5					p e
920-5					k o r u i n
1083-5					k o r n eː
1066-5					e aː
1125-5					e n u
1197-5					m a t u r
473-5					n u w e l
284-5					n a d a
661-5					a e n a
701-5					r u l o
315-5					o l u n d o
1169-5					s i l
982-5					a s iː o
987-5					s n a
1055-5					s a t k eː l a n
1130-5					s u s aː
433-5					s o l e
585-5					t u
625-5					l e n k o
1186-5					d e n
814-5					w i r t e r
