COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ								
2-1	e k w a + n e x + tɬ i								
8-1	w eː i j								
16-1	e s + tɬ i								
24-1	s t i + n								
32-1	m i k								
51-1	w o n i								
52-1	w aː e + k i								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l + l i								
55-1	k w a								
60-1	iː x + e l l l								
1-2		n u tʃ i							
2-2		a + n e x							
8-2		w e j							
16-2		x e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		i u n + i							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		k w a							
60-2		i x + t l l							
1-3			m o tʃ i						
2-3			k + n e x						
8-3			w e ʔ j ʔ						
16-3			e s + t i						
24-3			i s t i						
32-3			m i ʔ i						
51-3			o n + i						
52-3			w aː k t o						
53-3			n a k a s						
54-3			t aː h l i						
55-3			k w a ʔ						
60-3			iː x + t o oː oː						
1-4				n o tʃ i n					
2-4				n e x i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n					
52-4				w a k + k o n					
53-4				n a k e s j a					
54-4				tɬ a l i					
55-4				k w o					
60-4				i x + t e l o l o					
1-5					o tʃ i				
2-5					n n eː x				
8-5					w e j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g				
51-5					h i n + i				
52-5					w aː + + t o b				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː x				
1-6						n u t i			
2-6						k a + n e x + t i			
8-6						w e j			
16-6						aː e s + i			
24-6						i s t t			
32-6						m i k i			
51-6						i u n + i			
52-6						w aː k + t u			
53-6						n a k a s t			
54-6						t aː l i			
55-6						k w a			
60-6						i x + t u l u l u			
1-7							e i		
2-7							e x n e + t		
8-7							w e i		
16-7							e + t i		
24-7							i t e		
32-7							m i k i		
51-7							e i		
52-7							w e k t i		
53-7							n e k e		
54-7							t e l		
55-7							k w e		
60-7							i + + n		
1-8								m o tʃ ɨ	
2-8								n ɨ x + tɬ ɨ	
8-8								w eː + h	
16-8								ɨ s tɬ ɨ	
24-8								i s t a + tɬ	
32-8								m ɨ k	
51-8								o n	
52-8								aː k + k ɨ	
53-8								n a k a s + tɬ	
54-8								tɬ aː l + l	
55-8								k +	
60-8								x + t a o o a a	
1-9									m o tʃ iː j
2-9									o + n e x tɬ a
8-9									w e tɬ tɬ j
16-9									e s + tɬ iː
24-9									i s t iː
32-9									m i k iː
51-9									tɬ o n + iː i
52-9									w ø + r iː
53-9									n a k a s tɬ
54-9									tɬ ø l
55-9									k w a t
60-9									i x + t e l o l o a
