COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɔ a m a									
893-1	a a g i l a									
1285-1	ɔ ɔ a a									
1303-1	ɔ g ɔ m a									
2197-1	s k a l a									
2828-1	s i l a									
3572-1	s ɔ a a									
1095-1	l i m a									
1755-1	ɔ ɔ ɛ									
1789-1	k a l a a ŋ a a									
3207-1	k u l a									
3519-1	t ɔ m a									
3686-1	ɔ i m a a									
4249-1	k u m a									
4451-1	ɔ i s a									
448-1	l ʊ a a l a									
630-1	k a a l a									
814-1	k ɔ ɔ m b a									
1216-1	g a g i l a									
1228-1	ɔ w a a									
1418-1	s i m a a l a									
1475-1	k i a									
2026-1	t ɔ i a									
2775-1	ɔ u ɔ m b a									
3397-1	k ɔ l a									
3826-1	ɔ ɔ k a									
4003-1	s i i a a									
4040-1	g ɔ l a									
4373-1	l i m a									
4384-1	i i ɔ									
84-1	s a k ʊ l a									
116-1	g i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ɔ a ɔ									
660-1	l ɔ l a									
848-1	ɔ ɔ l a									
1083-1	l i l a									
1122-1	g i l a									
1159-1	ɔ a									
1350-1	l j a a									
1374-1	s i a a l a									
1396-1	s ɔ l a									
1430-1	i i s a									
1666-1	k a a a ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ɔ g i l a									
2177-1	ɔ g a t a									
2286-1	l a									
2317-1	ɔ ɔ l a									
2419-1	s i k a									
2750-1	a a a a									
3018-1	s i l a									
3275-1	g a a l a									
3441-1	s a a ŋ g a									
3464-1	g ɔ l a									
3639-1	t ɛ t ɛ m i l a									
3885-1	s u m a									
3981-1	i ʊ m a l a									
4192-1	s i a m l a									
4260-1	s w a a									
4350-1	l a ɔ l l ɔ									
43-1	ɔ ɔ ɔ t a									
93-1	g ɔ l ɔ									
200-1	k i a									
374-1	a k a l l l a									
459-1	l ʊ m a									
508-1	p ɔ l a									
528-1	k i l a									
575-1	t a a									
871-1	ɔ ɔ i a									
1137-1	a ʊ a a									
1339-1	ɔ ɔ i a									
1585-1	a a l a									
1712-1	k ʊ l ɔ									
1872-1	p ɔ a									
2088-1	g i s a									
2166-1	s u g m b a									
2334-1	s i g ɔ									
2393-1	m a l a									
2537-1	l ɔ m a									
2665-1	i a ŋ g a									
2738-1	k a a l a									
2872-1	k ɔ s a									
2893-1	ɔ ɔ ɔ ʊ a									
2997-1	g a g i s a									
3075-1	k u l u l a									
3675-1	l a a a l a									
4028-1	ɔ ɔ a									
4137-1	m a l a									
4238-1	i a s a l a									
