COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j a ³¹						
4-1	l a ³						
18-1	n j a ŋ ³						
19-1	n j ɛ ³¹						
44-1	l u k ³¹						
50-1	a ŋ ³						
62-1	s ai k ³¹						
70-1	b a n ³						
75-1	n j ɔ k ³¹						
97-1	j a ŋ ³						
112-1	tsʰ u ³						
122-1	n j u k ³¹						
127-1	kʰ j ɔ ³						
132-1	j a ʔ ³¹						
133-1	n j a ³¹						
135-1	n a ³¹						
142-1	d j i ⁵						
143-1	j ɔ ʔ ³¹						
149-1	j a ³¹						
152-1	n a ³¹						
157-1	b ɔ ³						
183-1	j a ³						
184-1	n u ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ k ³¹						
192-1	n a ³¹						
195-1	n a ³						
200-1	j a ŋ ³¹						
216-1	s j a ŋ ³						
218-1	l ɔ ³¹						
225-1	s a ŋ ³						
235-1	kʰ j ɛ ³¹						
244-1	s j ɔ ⁵						
253-1	m j ɔ ³						
270-1	m j ɛ ³¹						
278-1	n j a ŋ ³						
279-1	j ɔ ³						
285-1	j a m ³						
308-1	b ɔ ³¹						
322-1	m j ɔ ⁵						
325-1	kʰ j a ³¹						
337-1	n j a ŋ ³¹						
341-1	d j ɔ ⁵						
347-1	n j u k ³¹						
362-1	j ɛ ³¹						
391-1	j u p ³¹						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ a ³¹						
443-1	n j ɛ p ³¹						
460-1	s a t ³¹						
463-1	j a ³¹						
464-1	ʔ a ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k ³¹						
481-1	tsʰ a ³¹						
494-1	g j ɔ ³						
496-1	j a ŋ ³						
516-1	j ɔ ³						
522-1	n ɔ ³¹						
523-1	b j ɛ ³¹						
524-1	n a ³						
540-1	kʰ u ³						
3-1	b j ɛ ³¹						
6-1	g j ɔ ⁵						
7-1	d a ³						
20-1	n a p ³¹						
51-1	ŋ a ⁵						
64-1	g j a ŋ ³¹						
65-1	kʰ j u k ³¹						
66-1	d j u ⁵						
71-1	s a ³						
72-1	ʔ a ³						
76-1	j ɔ ³						
77-1	m j ɛ k ³						
78-1	m ɔ ³¹						
82-1	b j a ŋ ³						
87-1	j ɔ ³¹						
93-1	l a m ³						
94-1	n j ɛ ŋ ³¹						
100-1	s j a ŋ ³						
116-1	l ɔ ³						
119-1	j a m ³¹						
124-1	b j a ³						
136-1	l j i ⁵						
137-1	kʰ j i ³						
144-1	s a t ³¹						
145-1	d a ŋ ³						
146-1	m j au ⁵						
150-1	j ɔ ʔ ³¹						
154-1	m j ɔ ⁵						
165-1	kʰ j a m ³						
166-1	b j ɔ ³¹						
169-1	g j a ŋ ³						
170-1	b j ɔ ³¹						
171-1	j a ŋ ³						
174-1	l a m ³¹						
181-1	n j ɔ k ³¹						
193-1	b u ³						
205-1	n j ʔ ³¹						
206-1	m j a ³¹						
212-1	j ɔ ³¹						
214-1	l a m ³						
217-1	j a ³						
224-1	n j a ⁵						
228-1	b a ³¹						
238-1	j a ⁵						
241-1	s ɔ ³						
246-1	g j ɔ ³						
256-1	j a ³¹						
257-1	b u ³¹						
272-1	m u ³						
273-1	j a ³¹						
274-1	m a ŋ ³						
286-1	kʰ j a m ³						
289-1	kʰ a ŋ ³						
294-1	j a ³						
301-1	j a ³¹						
306-1	kʰ j ɔ p ³¹						
307-1	n a p ³¹						
321-1	tʰ a ŋ ³						
331-1	m j ɔ ⁵						
332-1	l a m ³						
335-1	g j ɔ ⁵						
336-1	n j a m ³						
340-1	ŋ au ³¹						
342-1	m j ɔ ³¹						
