COGID	1	10	2	3	4	5	6	7	8	9
2689-1	t a m a									
893-1	a p ɛ ɛ a									
1285-1	t t a ɛ									
1303-1	ŋ g ɔ m a									
2197-1	t ŋ a l a									
2828-1	b i t a									
3572-1	s ɔ p i.i									
1095-1	l i m a									
1755-1	ɛ t ɛ									
1789-1	b l a ŋ g a									
3207-1	b u l a									
3519-1	t ʊ m a									
3686-1	n i.i ɔ.ɔ m p a									
4249-1	b ʊ m i.i									
4451-1	β i s i									
448-1	d ʊ d a.ɲ a.ɲ ʊ									
630-1	k n n l n									
814-1	l ɔ n m t n									
1216-1	g a β ɛ ɛ a									
1228-1	b b a									
1418-1	k i m a.ɲ n n a									
1475-1	g g a									
2026-1	t t n									
2775-1	k u ɔ.ɔ t a									
3397-1	k ɔ l ɔ									
3826-1	l ɔ b a									
4003-1	ŋ i ŋ β a									
4040-1	g ŋ t i.i									
4373-1	l n m i									
4384-1	i k ɔ									
84-1	s ʊ k ʊ l ʊ									
116-1	b i p a									
181-1	g ɔ.ɔ ŋ ŋ g ɔ.ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ a.ɲ g ɔ									
660-1	l ɔ.ɔ l a									
848-1	p ɔ.ɔ l a									
1083-1	l i l a									
1122-1	β i g a									
1159-1	l a									
1350-1	p d a									
1374-1	g ŋ ŋ a g ɛ									
1396-1	t ɔ l ʊ									
1430-1	i n p ɔ									
1666-1	b n n b ɔ.ɔ									
1767-1	t ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	t g ŋ ŋ i.i									
2286-1	l a									
2317-1	t ʊ t a									
2419-1	s a.ɲ p a									
2750-1	n n z.a ʊ									
3018-1	k i l a									
3275-1	k ɛ ɛ t a									
3441-1	s n n a.ɲ g a									
3464-1	b ɔ g a									
3639-1	g ɛ g ɛ m ɛ g a									
3885-1	t u k ɔ									
3981-1	ʊ ŋ m ɛ ŋ a									
4192-1	p i ɛ ɔ d a									
4260-1	t t a									
4350-1	l n n l ɔ									
43-1	b i ʊ b ʊ									
93-1	g ɔ g ɔ									
200-1	k i.i									
374-1	ɛ a l t a									
459-1	l ʊ m a									
508-1	p ɔ k ʊ									
528-1	k i.i l i.i									
575-1	l a									
871-1	b ŋ b a									
1137-1	g ʊ p ʊ									
1339-1	p p i.i n									
1585-1	a ɔ.ɔ l a									
1712-1	g u l ɔ									
1872-1	p a									
2088-1	β i s a									
2166-1	ŋ u ŋ m g a									
2334-1	t i g ɔ									
2393-1	m ŋ g a									
2537-1	l ɔ k ɔ									
2665-1	i ŋ ŋ g i									
2738-1	k n n l n									
2872-1	p ɔ s i									
2893-1	t i.i t ɛ ʊ									
2997-1	g ŋ ŋ ŋ s a									
3075-1	g u l u k ŋ									
3675-1	l p a.ɲ a.ɲ l a.ɲ									
4028-1	l l n									
4137-1	m ʊ l a									
4238-1	ɔ s ɔ s i									
4316-1	l ɔ.ɔ l ʊ									
4429-1	n a s a									
4440-1	k i.i l i.i									
4485-1	l i.i									
4574-1	b b ŋ ŋ l a									
4688-1	ɛ ɛ g ɛ									
143-1	β ʊ									
240-1	ɔ ŋ g a									
388-1	g ɛ g ʊ m a									
401-1	t a									
599-1	g ɛ ɛ m g i									
649-1	p n n t ɔ									
755-1	g ŋ l a									
836-1	g u m t i									
969-1	ɛ s a									
994-1	b ɔ.ɔ l ɔ.ɔ b a									
1006-1	b ŋ ŋ l ŋ									
1032-1	k ɛ l ɛ l a									
1043-1	l ɔ.ɔ l a									
1110-1	l ɛ ɔ ɔ									
1263-1	l ɛ ɛ ɔ									
1273-1	p ɔ ɔ t ɔ									
1329-1	i.i p a ɛ ɔ									
