COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	ɾ e b e			
222-1	e b e b e ɾ o			
208-1	e b u e b u ɗ u			
962-1	e ɾ o e ɾ o			
203-1	e ɾ u ɗ i o			
138-1	o ʃ i l e			
504-1	ɾ e ʃ o o e			
662-1	ɾ o ɗ e			
478-1	o ɾ e ɾ e			
409-1	e ɾ e			
410-1	ɾ u n ɗ i			
256-1	ɾ o e l e			
622-1	n ɗ u			
546-1	n ɗ u			
547-1	ʃ e ɾ e o			
847-1	ɾ e n ɗ e ɾ e			
95-1	b e ɾ i			
105-1	b e n o o i			
510-1	b o ʃ e			
951-1	m b o m e ɾ e			
1116-1	m b o m o			
149-1	ɾ o o e ʔ i			
376-1	ɾ o o l i			
815-1	ɾ o ɾ o o e			
453-1	ɾ o ɾ e			
67-1	ɾ e ʃ e			
47-1	ɾ o ɾ o o ɾ e			
869-1	ɾ e ɾ e			
57-1	ɾ e ɾ u			
303-1	ɾ e e ʔ i e			
443-1	ɾ o ɾ e			
884-1	ɾ o n ɗ e			
166-1	ɾ u n ɗ i			
918-1	e b e ɾ e			
831-1	ɾ e ɲ ʃ e			
616-1	g o e			
84-1	ɾ o ʃ e l e			
346-1	ɾ o ɓ u l u			
601-1	ɾ i ɾ i			
177-1	ɾ ʔ e ɾ e o			
341-1	ɾ ʔ o l e			
1066-1	ɾ e n ɾ o e ɾ e			
318-1	ɾ e ʃ e			
241-1	m e ɲ ʃ o			
556-1	ɾ e n ɗ u ɾ u			
191-1	ɾ o e o ɾ o e l			
458-1	e e ʔ i e ʔ i			
1-1	ɾ e ŋ ɾ i e			
751-1	ɾ o			
864-1	e ɾ o n e			
154-1	e m e n ɾ i			
278-1	e m i l o ʔ i			
766-1	ʃ e ɾ e			
251-1	e ɾ o ɾ u			
582-1	o ʔ o e			
6-1	e l i			
1106-1	ɾ g o			
473-1	ɾ e n e			
1111-1	ɾ e l u			
957-1	m o ɾ e			
41-1	b e o			
24-1	n			
25-1	n n e			
879-1	a b a n b d			
837-1	m e ɾ i			
233-1	b ɪ b e o o			
938-1	g u l a			
369-1	a n e			
946-1	ɾ o e ɾ o			
889-1	g l e			
820-1	e ɾ o ɾ e ɲ			
438-1	n ɾ e n e			
283-1	m a n n e n e			
52-1	ɗ o o o			
842-1	n o g o ʃ a			
110-1	mʷ ɾ e ɾ e ɾ i			
165-1	m a			
1007-1	e e ɾ o l e			
1088-1	ɓ eː s eː l o			
1087-1	e e ɾ o l e			
702-1	eː l e			
536-1	k d e			
694-1	n ɾ e			
468-2		l a b a		
222-2		aː b o b oː ʔ i		
208-2		a b u r b u u		
962-2		a g o r l a		
203-2		a g u i ʔ ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ f a		
662-2		mː e		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n i		
256-2		mː aː l e		
622-2		n u		
546-2		n u		
547-2		ʃ ɛ f a		
847-2		n ɛ n i g i		
95-2		b e ɗ i		
105-2		b i n ɲ i		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		mː u s ʔ i		
376-2		mː a l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ e ʃ e		
47-2		u k ʔ ʔ l a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ a s ʔ i a		
443-2		g u r a		
884-2		g n i		
166-2		g u n i		
918-2		a b a r e		
831-2		h e ʃ e		
616-2		b oː e		
84-2		h o ʃ a l a		
346-2		h oː h u l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s e ŋ a		
318-2		f e ʃ i		
241-2		m e ʃ e o		
556-2		h a n u ŋ u		
191-2		ɓ i u ɓ i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a ʔ m a n i		
278-2		m i l u ʔ i		
766-2		ʃ oː r a		
251-2		a g r u		
582-2		u ʔ u oː e		
6-2		a l i		
1106-2		ŋ g o		
473-2		ɲ i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s		
25-2		a r e		
879-2		a b a r a b ɛ d		
566-2		aː t a ɲ t a r a s		
742-2		a g u		
1044-2		ʃ i m b i l u		
13-2		a l h a m i s		
720-2		aː s ɛ l a		
837-2		m e ʃ i		
233-2		mː mː i o		
938-2		mː u l e a ʔ e		
369-2		a r e		
946-2		ŋ.a.n a e g o		
889-2		mː u l e		
820-2		a ʃ o r e n		
405-2		b a d a		
134-2		ɓ ʔ a ɗ i ʔ e		
1078-2		m u h i		
429-2		b o ŋ o ʃ		
187-2		b u s k ʔ e		
438-2		n g i n e		
385-2		m o k ʔ o ʃ		
283-2		m a n s ʔ a r e		
390-2		aː b a i e		
783-2		m u r l a		
842-2		ɗ o r o ʃ e		
110-2		g ʔ i g ɛ r i		
650-2		k ʔ o ʃ		
91-2		g e l a s i		
668-2		w ɛ a		
777-2		i d aː l i a		
728-2		s i ʃ i		
165-2		m a		
1007-2		e e g o l e		
1087-2		e e g o l e		
894-2		oː s ʔ u		
536-2		k ʔ u d e		
694-2		n g ə		
468-3			d a b a	
222-3			a b a b a n i	
208-3			a b u r b u d u	
962-3			a g ɔ r a a	
203-3			a g u d i ʔ	
138-3			a ʃ i l e	
504-3			ɗ ɔː ʃ eː f a	
662-3			ɓ ʊː d a	
478-3			ə g ɔː ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			ɓ a l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ iː f a ʔ	
847-3			ɲ iː n d i g i	
95-3			b iː ɗ i	
105-3			b iː n i	
510-3			b ɔ ʃ a	
951-3			m b iː m a r e	
1116-3			m b iː m a	
149-3			ɓ u s ʔ i	
376-3			ɓ eː l i	
815-3			k ɔ r a a a	
453-3			ɗ u n e	
67-3			ɗ a ʃ e	
47-3			d ɔ k ɔ d a	
