COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	ɛ a															
241-1	ʔ ɛ ɛ															
2163-1	p ɛ n															
2181-1	n ɛ ɛ															
2060-1	ʔ ɛ ɛ															
410-1	p ɛ															
1841-1	ɛ u															
2017-1	ɛ ɛ															
1004-1	a															
614-1	ɛ ɛ ɛ															
686-1	ɛ ɛ ɛ															
88-1	ɛ ɛ p															
872-1	n ɛ ŋ															
1891-1	p a															
68-1	ɛ ɛ ɛ															
631-1	ɛ ɛ n															
594-1	g a															
1759-1	ɛ a ɛ															
805-1	g ɛ ɛ															
756-1	ɛ ɛ ɛ															
1201-1	ɛ u p															
2042-1	p ɨ															
1968-1	p a ʔ															
2000-1	a ŋ															
17-1	ɛ ɛ															
4-1	ɛ ɛ															
788-1	p ɛ															
1219-1	ɛ ɛ ɛ															
141-1	ʔ a ŋ															
541-1	ɛ r j a ŋ															
1687-1	ɛ ɛ n															
123-1	a ɛ															
1652-1	ɛ ɛ															
576-1	ŋ ɛ															
1738-1	p ɛ ɛ															
442-1	ɛ ɛ ɛ															
368-1	j a ŋ															
1778-1	p ɛ ɛ															
957-1	n ɛ p															
1704-1	ʔ ɛ ɛ															
304-1	j p ɛ															
1796-1	ɨ ŋ															
720-1	ɛ ɛ ɛ															
287-1	ɛ ɛ p															
321-1	g ɛ ɛ															
206-1	p ɛ p															
1950-1	ʔ ɛ															
665-1	ɛ n															
703-1	n ɛ p															
1290-1	ɛ ɛ															
1391-1	ɛ p ɛ															
269-1	g p ɛ															
855-1	p n															
2078-1	ɛ ɛ															
2213-1	ɛ ɛ															
1858-1	ɛ a															
1151-1	g j p n															
737-1	p ɛ s															
340-1	s ɛ															
1111-1	ɛ ɛ															
485-1	ŋ ɨ															
1356-1	ɛ ɛ ɛ															
1093-1	ɛ ɛ p															
1063-1	p ɛ ɛ															
648-1	ɛ ɛ															
223-1	g ɛ n															
1248-1	ɛ															
1509-1	ɛ ɛ n															
504-1	ɛ ɛ															
2130-1	ɛ ɛ															
1-1	ʔ ɛ															
386-1	ɨ ɛ ɛ															
1411-1	p u															
1027-1	g ɨ ʔ															
1459-1	g ɛ ɨ															
1323-1	ɛ															
1538-1	r j a u															
975-1	ɛ a ɛ															
940-1	ŋ ɛ ɛ															
1476-1	ʔ ɨ ɛ															
1923-1	n ɨ n															
105-1	ɨ ɨ k															
1431-1	k ɛ															
1814-1	m u															
1183-1	n ɨ n															
1430-1	k ɛ															
1721-1	ɨ ɔ k															
1617-1	k ɲ ʔ															
1564-1	ɛ ɛ ʔ															
2111-1	ɨ ɨ ɨ															
1563-1	ɛ a															
1597-1	s ɔ ŋ															
1859-2		əː ɔ														
175-2		əː a														
241-2		ʔ a ʔ														
2163-2		əː a o														
2181-2		n ɔ m														
2060-2		ʔ ɔːi̯ m														
410-2		ɔ ʔ														
1841-2		m a														
2017-2		h əː														
1004-2		a a														
614-2		d o h														
686-2		b l əː														
88-2		əː ɔ o														
872-2		n əː əː														
1891-2		əː a														
68-2		a əː m														
631-2		b o o														
594-2		əː a														
1759-2		h ɔ ɔːi̯														
805-2		əː ɔːi̯ ɔːi̯														
756-2		h kʰ ɨ														
1201-2		m p b ʔ														
2042-2		ʔ a														
1968-2		əː a ʔ														
2000-2		o a əː														
17-2		d a ɨ														
4-2		a əː m														
788-2		b b														
1219-2		o əː m														
141-2		ʔ a əː														
541-2		b ɔːi̯ əː ɔ əː														
1687-2		h a o														
123-2		a a m														
1652-2		d ɔːi̯ ɔ														
576-2		əː kʰ ʔ														
1738-2		b a əː														
442-2		h əː m														
368-2		əː ɔːi̯ ɔ əː														
1778-2		b ɔ ɨ														
957-2		n ɔ ʔ														
1704-2		ʔ əː ʔ														
304-2		əː ɔ m														
1796-2		d ɔ əː														
720-2		əː o h														
287-2		əː ɔ ɔ əː														
321-2		ɔːi̯ ɔ ɔ														
206-2		əː o o														
1950-2		ʔ p a														
665-2		a a o n														
703-2		n o o														
1290-2		m o														
1391-2		əː ɔ ʔ														
269-2		əː ɔ ʔ														
855-2		d a n														
2078-2		a kʰ														
2213-2		m b														
1111-2		a b														
485-2		b a														
1356-2		m əː h														
1093-2		kʰ ɨ ɨ														
1063-2		a ɔːi̯ m														
648-2		o o kʰ														
223-2		əː əː n														
1248-2		ɔːi̯ ɔːi̯														
1509-2		əː əː a														
504-2		o o h														
