COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	ɔ ʔ ⁵⁵								
438-1	ɔ ʔ ⁵⁵								
334-1	l.w ɔ ʔ ⁵⁵								
360-1	l.w i ³¹								
394-1	³¹								
221-1	i p ⁵⁵								
202-1	k au ³¹								
935-1	u ³¹								
93-1	ɔ ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	k ɔ ʔ ⁵⁵								
547-1	ʐ ə k ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	ə ⁵⁵								
835-1	n.w a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a p ⁵⁵								
891-1	tʰ ai ŋ ³⁵								
528-1	o ⁵⁵								
797-1	k u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	u t ⁵⁵								
452-1	m u ʔ ⁵⁵								
580-1	ʐ au t ⁵⁵								
833-1	n.w a ⁵⁵								
390-1	m a ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	a ʔ ⁵⁵								
731-1	ʂ i ³¹								
779-1	ɔ ⁵⁵								
589-1	a ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k w i ³¹								
785-1	x ɔ ³¹								
714-1	ʐ u ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n au ⁵⁵							
838-2		j i k ²¹							
438-2		m j o ʔ ⁵⁵							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j u̱ ²¹							
221-2		j i t ⁵⁵							
202-2		k ui ²¹							
935-2		u ²¹							
93-2		ts u ²¹							
7-2		p a n ²¹							
664-2		v u ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j i m ⁵¹							
464-2		m au ²¹							
119-2		v i ŋ ⁵⁵							
835-2		n a p ⁵⁵							
79-2		t o ²¹							
693-2		ŋ au ⁵¹							
477-2		ŋ j i ⁵⁵							
891-2		t i ŋ ⁵⁵							
528-2		v u ²¹							
797-2		k j u̱i ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ⁵¹							
896-2		tʃʰ u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s u t ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ tʃʰ ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		a m ⁵¹							
536-2		tʃʰ o ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		ă ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		v o m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k i̱ ⁵¹							
785-2		kʰ o ²¹							
714-2		u̱ t ⁵¹							
331-2		l o ²¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			j a kʰ ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l i ³¹						
394-3			ɿ ³¹						
221-3			j i p ³¹						
202-3			k u ³¹						
935-3			ɔ̱ ³¹						
93-3			n a ³¹						
7-3			p ɛ̃ n ³¹						
664-3			v ɛ̃ ⁵⁵						
246-3			k ɛ̃ ʔ ⁵⁵						
547-3			s a k ⁵⁵						
555-3			j i̱ m ⁵⁵						
464-3			m u ³¹						
119-3			j a ⁵⁵						
835-3			n ɛ̃ ʔ ⁵⁵						
79-3			t ɔ ³¹						
693-3			ŋ u ⁵⁵						
477-3			n ɔ ʔ ³¹						
891-3			t a̱ ŋ ³⁵						
528-3			ɣ ɔ ⁵⁵						
797-3			k j au ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j ɛ ʔ ³¹						
896-3			t a t ⁵⁵						
452-3			m j au ʔ ³¹						
580-3			s a ʔ ⁵⁵						
833-3			n a̱ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ n ⁵⁵						
86-3			t au ŋ ⁵⁵						
384-3			m ɔ̃ ³⁵						
61-3			t ɔ̃ ⁵⁵						
536-3			a ʔ ⁵⁵						
779-3			a ⁵⁵						
589-3			tʰ au ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			m j ɔ̃ ³¹						
183-3			k t ³¹						
785-3			kʰ a ³⁵						
331-3			l a ³⁵						
665-4				ŋ ɔː ³¹					
495-4				n aːu ⁵⁵					
838-4				j əː ³¹					
438-4				m l ɔ ʔ ³¹					
334-4				l ɔː ʔ ³¹					
360-4				l ei ³³					
394-4				m j i ⁵⁵					
221-4				j ei p ³¹					
202-4				k aːu ³³					
935-4				uː ³³					
93-4				s ɔ ³¹					
7-4				p a n ³³					
664-4				w aː ŋ ³¹					
246-4				k j a ʔ ³¹					
547-4				s əː k ⁵⁵					
555-4				j u̱ː m ³¹					
464-4				m a̱ːu ⁵⁵					
119-4				j ə ŋ ⁵⁵					
835-4				n aː p ⁵⁵					
79-4				t ɔ ³³					
693-4				ŋ a̱ːu ³¹					
477-4				ŋ j ɛ̱ ʔ ⁵⁵					
891-4				t ə̱ː ŋ ⁵³					
528-4				j ɔ ³¹					
797-4				k j uː k ⁵⁵					
493-4				n əː k ³¹					
