COGID	Albanian	English	French	German	Latin
560-1					
438-1					
1222-1	u				
353-1	u i j				
201-1	j				
20-1	ʃ u				
503-1	ł u				
957-1					
728-1	l u n u				
244-1	m				
289-1	u j j				
911-1	r.v				
724-1	ʃ r.v				
145-1	u				
992-1					
1181-1	k				
741-1	d j				
1150-1	ʃ ʃ				
585-1	ʃ e				
814-1	e r.v				
916-1	t				
1079-1	a				
630-1	n				
343-1	t				
560-2		v k m			
438-2		i r			
1222-2		ɑ			
353-2		p ɪ s			
201-2		f i n p			
20-2		p i j r			
503-2		p l -.o			
957-2		j ɪ n			
728-2		l ɑ			
244-2		n i m n			
289-2		n ɑ i t			
911-2		w ɛ r s l			
724-2		θ r ɑ			
145-2		s w ɑ			
992-2		w i			
706-2		ɪ			
106-2		i d r			
741-2					
421-2		v l m			
227-2		s			
920-2		ɛ r n			
1083-2		r n			
1066-2		ɪ			
1125-2		n i			
1197-2		m ɛ d r			
473-2		n i v			
284-2		n i s			
661-2		o n			
701-2		r i			
315-2		r ɛ n θ			
1169-2		s o l			
1150-2		j k ɛ r j j			
982-2		s			
987-2		s n i			
1055-2		s d ɛ r n			
1130-2		s i s			
433-2		s n			
625-2		s ɛ g			
1186-2		s i n			
416-2		j w			
1233-2		w ɪ n θ			
884-2		w ɛ r m			
1016-2					
952-2					
78-2		b l i s			
514-2		b r ɛ n j			
116-2		ɛ s			
188-2		f ɛ r n			
745-2		f ɪ θ r			
1100-2		f r j ɛ ɪ d			
47-2					
111-2					
1061-2		t			
24-2		n ɪ ɪ d			
232-2		n ə n			
671-2		j r j ɛ ɪ t			
560-3			v g i u		
438-3			u r		
1222-3			v ɔ		
353-3			p a u		
201-3			ʒ i		
20-3			p u r		
503-3			p u l		
957-3					
728-3			l g		
244-3			n u m		
289-3			n t		
911-3			r i		
724-3			t r.w		
145-3			d u		
992-3			ɔ		
1181-3			s.j a		
706-3			k		
106-3			p o t u r		
741-3			p u u		
421-3			f l u i r		
227-3			p i		
920-3			k ɔ r		
1083-3			k r		
1066-3					
1125-3			ʒ n a		
1197-3			m u t u r		
473-3			n ɔ -.z		
284-3			n e k		
661-3			i i		
701-3			r u u		
315-3			r ɔ		
1169-3			k		
1150-3			g p t r		
982-3			k		
987-3			ʒ n -.z		
1055-3			ʒ t u u		
1130-3			k u		
433-3			k u		
585-3			t y		
625-3			l i		
1186-3			i		
814-3			v t r		
416-3			ʒ ɔ		
1233-3			v		
884-3			v i r u		
916-3					
1016-3			n i m u l		
952-3					
514-3			p u		
1079-3			ɛ u		
1100-3			p r u		
47-3			k k ɔ m i		
111-3			l		
1061-3			m ɔ u		
1155-3					
343-3			v d t r		
671-3			r		
560-4				k k ə	
438-4				y r	
1222-4					
353-4				f ts	
201-4				f f	
20-4				k f r	
503-4				f l	
957-4				n	
728-4				l	
244-4				n m	
289-4				n s	
911-4				r	
724-4				d r	
145-4				k	
992-4				k	
1181-4				f	
706-4				iː.g	
106-4				f a ə r	
421-4				f l ə r	
227-4				f	
920-4				f r	
1083-4				f r n	
1066-4				f iː.g	
1125-4				f n eː	
1197-4				f ə ə r	
473-4				n iː.r f	
284-4				n eː	
661-4				ə n	
701-4				l aː	
315-4				l n	
1169-4				ʃ a l	
1150-4				ʃ k a r s	
982-4				ʃ i s	
987-4				n a	
1055-4				t r	
1130-4				ʃ ə k	
433-4				ʃ ə n	
585-4				t	
625-4				l ə a	
1186-4				t iː.r	
814-4				k l	
416-4				v	
1233-4				v eː n	
884-4				v ə r	
78-4				b l eː	
514-4				f ə r a n a	
116-4				eː s	
188-4				f r	
745-4				f aː d ə r	
1100-4				f r iː.r -.b	
630-4				m m	
1155-4				f au l l	
24-4				n a s	
232-4				n n	
671-4				a r a ai s	
560-5					w p eː n.i
438-5					o r eː
1222-5					eː
353-5					p eː s k
201-5					p eː a s
20-5					p eː t r
503-5					p l k
957-5					eː n.u.i a
728-5					l eː
244-5					n eː m k n
289-5					n e a
911-5					a k r eː s k eː
724-5					t r eː
145-5					a
992-5					p eː
1181-5					k eː n
706-5					o i i
106-5					p e t e r
741-5					p o k
421-5					f l.u o r
227-5					p aː
920-5					k o r i a
1083-5					k e r n.u.i
1066-5					o e a
1125-5					b a n u
1197-5					m e t e r
473-5					n u m.i.n i l.a
284-5					n e e i
661-5					e n.u.i
701-5					r u o
315-5					r e n.u.i d.o
1169-5					s e l.a
982-5					a s e
987-5					s n e o
1055-5					s t o eː l.a a
1130-5					s e e
433-5					s e l i
585-5					t uː
625-5					t e o i
1186-5					e e
814-5					w e r eː
416-5					w eː
1233-5					w e n.u.i
884-5					w e r e
916-5					
1016-5					a e m a e
952-5					a
78-5					p p u i
1079-5					w o i
116-5					u
188-5					p u u n
745-5					p u t u u
47-5					uː m e
111-5					l a e
1061-5					m e t a
630-5					aː n
1155-5					k u e e
24-5					n.u.i u i t.i
232-5					n.u.i u n
343-5					w
