COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ²¹									
216-1	ʂ w a ⁴⁴									
236-1	ts o ŋ ³³									
267-1	tɕ e n ³¹									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts o ⁴⁴									
400-1	x o ³¹									
452-1	k ə˞ ⁴⁴									
463-1	x a ⁴⁴									
512-1	u ³¹									
534-1	ts ou ⁴⁴									
556-1	x u ³³									
568-1	x ɯ ⁴⁴									
588-1	ʂ w a ⁴⁴									
599-1	pʰ ɯ ¹³									
656-1	k u ²¹									
678-1	k o ²¹									
689-1	m ə˞ ³¹									
700-1	m e ³¹									
775-1	p j e n ³¹									
786-1	k i ³⁵									
820-1	ts o ŋ ³¹									
839-1	ə ²¹									
863-1	x ŋ u ³³									
896-1	k ə̃˞ ŋ ¹³									
929-1	x ɯ ³¹									
1015-1	ʂ o ³⁵									
1035-1	ts o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ɕʰ i ³³									
1195-1	ɕʰ i ³³									
1241-1	m e ²¹									
1252-1	x o ŋ ²¹									
1294-1	k a ŋ ³⁵									
1326-1	ts ŋ u ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ³¹									
1451-1	s i ³³									
1473-1	t w e ³³									
1507-1	x i ¹³									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	ɕʰ e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ɕʰ i ⁴⁴									
1731-1	ʂ o ŋ ¹³									
1762-1	ʂ a ŋ ³¹									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	x i ³¹									
1816-1	s ɯ ŋ ³³									
1862-1	ts i ³⁵									
1885-1	x ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p ɯ ³³									
1969-1	ɕʰ e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k a ŋ ³⁵									
2051-1	ts o ŋ ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p x ⁴⁴									
2245-1	tɕ u ⁴²									
2269-1	m e ³³									
2280-1	ʂ u ³¹									
