COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	ʃ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ t̪ i l a							
125-1	b i j a ŋ ɾ a							
162-1	l a i s i							
171-1	o m ʃ a							
219-1	t a ŋ p u							
247-1	ʃ a ŋ l u ŋ							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	g a m bʱ i							
406-1	kʰ a m u							
426-1	m ʃ k p a							
473-1	pʰ i n a ŋ							
499-1	z.o.k a m ʃ n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i ʃ a m							
608-1	b a n ʃ o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ ʃ u r							
672-1	t o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	ʃ a r i ŋ b u							
717-1	ʃ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a ʃ a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	ă a ɾ o ŋ							
998-1	pʰ a i							
1022-1	ă a ʃ u r							
1031-1	b i n a ŋ kʰ u k a							
1069-1	tʃ o ʃ a ŋ a							
1079-1	ʃ a a ʃ a							
1098-1	j a ŋ pʰ u							
1117-1	tʃ u n							
1141-1	r i n b u							
1189-1	m a n							
1198-1	n u							
1208-1	z.o.k a l a							
1217-1	l a n i r							
1253-1	a m a							
1271-1	n o ʃ a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b i i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a k u							
1388-1	m a n m a							
1397-1	ʃ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a r							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a ʃ a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u ʃ ɾ a ŋ m a							
1529-1	t̪ a l u							
1538-1	s u l u							
1557-1	tʃ o i ʃ u m							
1618-1	i ɲ tʃʰ a							
1663-1	z.o.k u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m							
1742-1	m u g i							
1751-1	b u ʃ i l a							
1778-1	z.o.k a							
1787-1	t̪ u r p u							
1823-1	l e m							
1832-1	k a r m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p ʃ a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ s o p l a							
1950-1	z.o.k u							
1968-1	t o ŋ t r a							
1978-1	k u t p a							
1987-1	s a m							
2015-1	ŋ a m k a							
