COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o ts e +								
2-1	k o + n eː ts + tɬ i								
8-1	w e j								
16-1	e s + tɬ i								
24-1	s t e +								
32-1	m e k i								
51-1	o n +								
52-1	w aː k + tɬ i								
53-1	n a k a s +								
54-1	tɬ aː l +								
55-1	k w a +								
60-1	i ts + t l o o								
83-1	tɬ e + tɬ								
87-1	ts a tɬ aː n i								
92-1	m a k a								
103-1	m a								
106-1	k a k i								
138-1	n e ʔ w aː + tɬ								
139-1	m e k + t i a +								
142-1	m a t i								
145-1	m o + t e k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e ts + tɬ								
190-1	j a k aː + tɬ + tɬ								
194-1	s e								
220-1	o ʔ + tɬ i								
231-1	i t a								
240-1	k o ts i								
283-1	t e + t								
293-1	i n +								
314-1	k w a w + + tɬ								
315-1	oː m e								
322-1	t e ʔ w a + +								
1-2		n u p i							
2-2		+ n e p + t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i b i							
51-2		u n + i							
52-2		w aː k + t u k							
53-2		n a b a s							
54-2		t aː h l i							
55-2		b w aː							
60-2		iː p r e l l							
83-2		t i + t							
87-2		p a t aː n i							
92-2		m a b a							
103-2		m a							
106-2		b a b i							
138-2		n e h e							
139-2		m i k + t i - h							
142-2		m a t i							
145-2		m u + t e b a							
176-2		t aː b a + t							
179-2		n a b a + t							
180-2		m eː p + t i							
186-2		b e p							
190-2		j a b e + t							
194-2		s e							
220-2		u h + t i							
231-2		i t a							
240-2		b u p i							
283-2		t e + t							
293-2		i n +							
314-2		b w a w i + t							
315-2		uː m e							
322-2		t e h w e h							
1-3			m o ts i						
2-3			ʔ ʔ + n eː ts + i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː + ʔ ʔ						
53-3			n a k a s						
54-3			t aː h l i						
55-3			k w a						
60-3			iː ts + t o l o l o						
83-3			t i + t						
87-3			ts a t aː n i						
92-3			m a k a						
103-3			m aː ʔ						
106-3			k a k i						
138-3			n e h						
139-3			m i + t i a						
142-3			m a t i						
145-3			m o + t eː k a						
176-3			ʔ aː k a ʔ + t						
179-3			n a k a + t						
180-3			m eː ʔ + t i						
186-3			k eː ts						
190-3			j a k a + t						
194-3			s eː						
220-3			o h + t i						
231-3			i t a						
240-3			k o ts i						
283-3			t e + t						
293-3			h iː n						
314-3			k w a w i + t						
315-3			oː m e						
322-3			t e h m e h						
1-4				m o ts i					
2-4				n e ts + tɬ i					
8-4				w e i					
16-4				e ts + tɬ i					
24-4				i ts t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + k o k i					
53-4				n a k a ts					
54-4				tɬ a l					
55-4				k w a					
60-4				i ts + t e l o l					
83-4				tɬ i + tɬ					
87-4				ts a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				tɬ a ts e + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e ts + tɬ					
190-4				j e k a + tɬ					
194-4				ts e					
220-4				o h + tɬ i					
231-4				t a					
240-4				k o ts i					
283-4				t e + tɬ					
293-4				i n					
314-4				k w a w i + tɬ					
315-4				o m e					
322-4				t e h w a					
1-5					n o x i				
2-5					k n e x + t i				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n + a				
52-5					aː k + t oː k				
53-5					n a k a s				
54-5					t aː h l i				
55-5					b aː				
60-5					i x				
83-5					t eː + t				
87-5					p a t aː n i				
92-5					m a g a				
103-5					m a				
106-5					k a g i				
138-5					n e h a				
139-5					m i k + t i				
142-5					m a t i				
145-5					m o + t eː k a				
176-5					t aː k a t				
179-5					n a k a + t				
180-5					m eː x + t i				
186-5					k e x				
190-5					x a k t				
194-5					s eː				
220-5					o h + t i				
231-5					i t a				
240-5					k o x i				
283-5					t e + t				
293-5					iː n				
314-5					k aː i + t				
315-5					oː m e				
322-5					t e h m e h				
1-6						n u ts i			
2-6						k a n e ts + t			
8-6						w e j			
16-6						e s + t i			
24-6						i s t			
32-6						m i k			
51-6						u n + i			
52-6						w aː k +			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː ts + t e l l			
83-6						t i + t			
87-6						ts a t aː n			
92-6						m a k a			
103-6						m aː			
106-6						k a k i			
138-6						n a h			
139-6						m i k + t i a			
142-6						m a t			
145-6						m u + t eː k a			
176-6						aː k a +			
179-6						n a k a + t			
180-6						m eː p + t i			
186-6						k e ts			
190-6						j a k + t			
194-6						s eː			
220-6						u h + t i			
231-6						i t a			
240-6						k u ts i			
283-6						t e + t			
293-6						i n			
314-6						k w a w i + t			
315-6						uː m e			
322-6						t e h w a			
1-7							n o k		
2-7							n e k +		
8-7							w e k		
16-7							+ t		
24-7							i t		
32-7							m k i		
51-7							o n + i		
52-7							w a k + m		
53-7							n e k e		
54-7							t a l		
55-7							k w e		
60-7							i k l o l o		
83-7							t + t		
87-7							k e t a n i		
92-7							m e k e		
103-7							m a		
106-7							k e k i		
138-7							n e k e		
139-7							m k + t e		
142-7							m e t o		
145-7							m o + t e k e		
176-7							t a k e + t		
179-7							n e k e + t		
180-7							m k ts + t		
186-7							k k +		
190-7							k e k e + t		
194-7							e		
220-7							o k + t		
231-7							t e		
240-7							k o k i		
283-7							t + t		
293-7							x i n		
314-7							k w e k i + t		
315-7							k m		
322-7							t k e n		
1-8								o ts ɨ	
2-8								a n e h ts tɬ	
8-8								w ɨ j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ t	
32-8								m ɨ k	
51-8								o n + i	
52-8								w k + oː	
53-8								n a k a s +	
54-8								tɬ aː l l	
55-8								k w aː	
60-8								i ts t l o l o p	
83-8								tɬ i + tɬ	
87-8								ts a tɬ aː n	
92-8								m a k a	
103-8								m aː j	
106-8								k a k	
138-8								n ə a	
139-8								m ɨ k + t ɨ	
142-8								m a t	
145-8								m o + t eː k a	
176-8								t aː k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
186-8								k ɨ ts + tɬ	
190-8								j a k tɬ	
194-8								s eː	
220-8								o + tɬ ɨ	
231-8								ɨ t t a	
240-8								k o ts	
283-8								t ɨ + tɬ	
293-8								i n	
314-8								k a w + tɬ	
315-8								oː m ɨ	
322-8								t ɨ a w m	
1-9									m o tʃ iː
2-9									n e ts + tɬ iː
8-9									b e iː
16-9									e ts + tɬ iː
24-9									iː ts t iː + tɬ
32-9									m iː k iː
51-9									o n + iː
52-9									b ø k + k iː
53-9									n a k a ts tɬ
54-9									tɬ ø l iː
55-9									k w a
60-9									i ts + t e l o l
83-9									tɬ e + tɬ
87-9									ts a tɬ ø n iː
92-9									m a k a
103-9									m ø
106-9									k a k iː
138-9									n a h a
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t e k a
176-9									tɬ ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
186-9									k e tʃ tɬ
190-9									j a k a + tɬ
194-9									ts e
220-9									o h + tɬ iː
231-9									iː t a
240-9									k o tʃ iː
283-9									t e + tɬ
293-9									iː n +
314-9									k a b iː + tɬ
315-9									u m e
322-9									t e h b a n
