COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼː ə m																		
107-1	g m zː l a																		
112-1	d aː b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ lː o																		
381-1	ʔ a dː																		
417-1	r u tʼː																		
451-1	s ə b t																		
454-1	ʔ a tʼː ə r																		
484-1	s ɨ tʼː s t																		
535-1	ʔ a sː ə r																		
543-1	sː sː t																		
593-1	f a m u s																		
640-1	m a																		
1-1	d ə zː ə r ə																		
65-1	tʼː u t																		
212-1	ʔ tʼː n																		
244-1	ʔ a r b a t																		
248-1	m u lː																		
293-1	zː ə r ə zː																		
373-1	kʼ ə m a lː																		
408-1	b r a																		
414-1	u b kʼ zː zː a																		
601-1	r ə b																		
642-1	n ə tʼː a s																		
60-1	n ə tʼː ə s ə																		
115-1	l a m																		
209-1	s zː ə t																		
242-1	ʔ a zː ɨ s t																		
415-1	zː ɨ lː a b																		
450-1	zː ə r																		
490-1	tʼː ə zː a																		
638-1	s ɨ r ɲː e																		
645-1	kʼ a l																		
160-1	dː ə r ə kʼ																		
208-1	ʔ ə n kʼ u kʼ																		
214-1	ʔ a b																		
378-1	ʔ a rː g ə t																		
379-1	ə zː f ə f																		
409-1	ʔ a t ə r ə																		
598-1	tʼː lː b t																		
646-1	ʔ a rː ə																		
210-1	dː ə zː o n																		
215-1	tʼ a zː b ə t																		
285-1	ɨ tʼ a zː																		
332-1	g ə r																		
380-1	ʔ a zː a zː																		
412-1	s a a n																		
64-1	d a tʼː o																		
67-1	ə r																		
251-1	zː ə kʼ ə																		
294-1	m ə kʼ																		
597-1	ə t ə ə zː a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	t ə n t ə r																		
374-1	b ə j kʼ zː b																		
375-1	s ə b																		
411-1	ə t r ə a s																		
541-1	kʼ ə tʃʼ i n																		
6-1	ə r zː a a																		
113-1	b u ɲː																		
330-1	kʼ ə l d																		
448-1	kʼ ə d a ə n b ə																		
449-1	tʃʼ a ə																		
491-1	dː ə n g ə t																		
596-1	n ə g ə																		
4-1	dʒː b d ə																		
8-1	kʼ ə b ə j																		
106-1	m ə tʃʼ a																		
290-1	h a rː ə n ə																		
489-1	d ə r d r																		
602-1	m ɨ n																		
2-1	sː u f u																		
3-1	tʃʼ ɨ rː a																		
61-2		dː ə m																	
63-2		x a tʼː ɨ m																	
107-2		kʼ e m ə.h.e l																	
112-2		dː aː β ə n a																	
331-2		n ɨ kʼ tʃ u tʃ																	
377-2		b e kʼ sː e																	
381-2		x a dː																	
417-2		r u tʼː																	
451-2		tʃ ə b tʼː																	
454-2		x a tʃ ɨ r																	
484-2		tʃ ɨ dː ɨ kʼ d																	
535-2		x a tʼː ɨ r																	
543-2		sː kʼ sː d																	
593-2		x a m u tʃ																	
640-2		m aː																	
1-2		dː ə b ə sː ə																	
65-2		dː kʼ b																	
163-2		kʼ ə tʃ e																	
212-2		x ə.h.e n																	
244-2		x a r a																	
248-2		m u sː																	
293-2		dː ə r ə tʃ																	
373-2		kʼ ɨ m a sː																	
408-2		β tʃ r																	
414-2		dː u b kʼ dː a																	
642-2		n ɨ tʼː a tʃ																	
60-2		n ə tʼː ə tʼː ə																	
115-2		x l a m																	
209-2		s ɨ m ɨ d																	
242-2		x a dː ɨ tʃ d																	
415-2		dː ɨ sː a β																	
450-2		tʼː ə r																	
490-2		tʼː e b e																	
645-2		kʼ a sː																	
160-2		dː ə r ə kʼ																	
208-2		ʔ ɨ n kʼ tʃ u																	
378-2		x a kʼ kʼ ə d																	
379-2		e e tʃ dː ə																	
409-2		tʼː tʃ t ə r																	
598-2		u tʃ tʃ ə.h.e tʼː																	
646-2		ʔ n ə																	
210-2		dː ɨ dː o kʼ e																	
215-2		x dː ə.h.e β e d																	
285-2		m ɨ tʼ a dː																	
380-2		x e kʼ kʼ																	
412-2		s e e e n																	
496-2		ə.h.e e ə.h.e ə m β ə d																	
64-2		tʼː a kʼ kʼ																	
251-2		dː ə.h.e kʼ																	
294-2		m u kʼ																	
597-2		x tʃ n e ə tʼː ə z e																	
7-2		ʔ a l tʃ a																	
158-2		kʼ ə m e s																	
296-2		ə.h.e e ə.h.e ə.h.e e																	
375-2		s ə b																	
541-2		kʼ ə sː ɨ n																	
113-2		b u sː																	
252-2		r ə fː ə ə																	
330-2		kʼ ə sː dː																	
449-2		x a ə																	
