COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u ŋ ŋ															
1089-1	nː a ŋ															
1319-1	nː ŋ ŋ o															
1398-1	s u p u b ŋ u															
1557-1	i r o															
1626-1	w a g a															
1840-1	t iː ŋ u															
2247-1	g o ŋ															
4677-1	k u r o ŋ ŋ															
5162-1	m i ŋ s ɛ															
5406-1	t ŋ nː d iː															
359-1	g a r u															
1577-1	i r o															
2196-1	nː a s a															
2230-1	s iː															
2533-1	b a r ŋ															
3605-1	k a ŋ ŋ a															
3866-1	ŋ o s u															
4553-1	t a ŋ g ŋ															
4822-1	k u m b o															
5254-1	d u r a															
503-1	tʃ i s a j															
1356-1	m a j ŋ															
1881-1	nː ŋ m ŋ															
3218-1	b u ŋ ŋ s u															
3372-1	nː a m a															
3718-1	ŋ a r a															
4135-1	b a r̃ iː ŋ															
4694-1	g u s ŋ ŋ u															
807-1	k o m ŋ iː															
2320-1	k a p ɛ															
2476-1	k ŋ ŋ ŋ															
3719-1	m															
4081-1	d a m b ŋ i															
4313-1	n ɛ ŋ ŋ															
4460-1	s u j̃ ŋ															
5810-1	p i r u															
93-1	d ɔ															
260-1	b i ŋ t e															
385-1	z ɛ.j m b ɛ.j															
890-1	ŋ a m.i.n ŋ iː r u															
1336-1	s e g e															
1703-1	b ŋ ŋ															
1769-1	b ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ g ɛ															
4591-1	b o r															
5301-1	p ɛ r u															
5605-1	t i tʃ a j															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ ŋ ŋ															
1788-1	s iː															
2044-1	s i m.i.n b e															
2713-1	s o m.i.n ɛ d ɛ r ɛ															
3219-1	z uː s uː															
3425-1	j w															
4184-1	s ɛ j ŋ															
4629-1	n u tʃ ŋ u															
4759-1	n iː j e															
4904-1	n u tʃ ŋ a															
4960-1	dʒ i n w z o															
4980-1	t uː															
5059-1	g u tʃ o															
5339-1	z a g a															
5549-1	t a w ŋ a															
5905-1	t i r̃ u															
5922-1	b i r a															
5938-1	ŋ a s u nː a															
1-1	p ɛ															
483-1	g e s u															
629-1	s uː ŋ ŋ															
667-1	ɛ w ɛ															
1254-1	z s uː r uː															
1415-1	b ŋ ɛ															
1542-1	n u															
