COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	sː a									
35-1	i θ u s i									
36-1	u θ a ts i									
48-1	n a g a s a r i									
60-1	θ u r									
63-1	s a r a i									
64-1	x u									
67-1	h a									
68-1	n ɨ									
71-1	ts									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n e									
95-1	m i m i									
98-1	h a n a									
99-1	k u d i									
-102-1	s i θ a									
103-1	ts ɨ m ɨ									
110-1	θ ɨ									
116-1	r n ɨ									
120-1	n u m u r i									
132-1	k i w u r i									
139-1	x u r u s ɨ r i									
140-1	ʔ iː d ɴ u									
156-1	θ a d u w									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m d ɨ									
173-1	ʔ s i									
180-1	k u m u									
185-1	h i									
186-1	m u eː r u r i									
187-1	m i d i									
190-1	ʔ a x a s a r i									
193-1	k d r u									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a s a r i a									
221-1	n a									
239-1	ʔ i ts ɨ									
252-1	m u sː ɨ									
253-1	d a sː i									
254-1	ʔ i ts ɨ ts ɨ									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m ɨ									
276-1	ʔ a r a u r i									
281-1	m u s i									
304-1	ts ɨ ts									
305-1	ts iː sː i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n a									
342-1	d u k i									
346-1	k u r a s a r i									
347-1	k i ts u r i									
348-1	h i r u s a r i									
351-1	θ d s a r i									
361-1	ʔ r i u s a									
379-1	k u s a ɴ a									
394-1	h i d a i									
395-1	n i sː i									
400-1	h i r a r u r i									
412-1	s a x ɨ r u r i									
413-1	s ts k u ts s u r i									
414-1	h u r u r i									
422-1	h u x ɨ r ɨ r u									
423-1	x a ɴ g a eː r u									
430-1	h a w u r i									
435-1	h u r u r i									
446-1	s i θ r i a									
447-1	ʔ r i a									
458-1	θ u s i									
56-1	i θ u									
62-1	ʔ i n									
70-1	θ a n ɨ									
96-1	m ɨ									
101-1	h a									
114-1	x u b i									
119-1	k i m u									
134-1	s i a g u a r i									
138-1	s i n u r i i									
146-1	ʔ a d u r u									
161-1	sː u r i									
182-1	x ɨ b u ɨ									
188-1	d a m a									
196-1	d u r u									
262-1	h i a									
300-1	h u s u									
313-1	sː ɨ									
350-1	s ɨ b a s a r i									
352-1	d i x a s a r i									
396-1	u r u s a r i a									
401-1	u s u r i									
420-1	u θ i r u r i									
424-1	ʔ u θ a u r i									
442-1	s i m ɨ r u r u									
455-1	ʔ i k θ r i									
15-1	ʔ a r eː									
49-1	u x n a g u									
130-1	i r i									
14-2		k o r e								
18-2		d a r e								
35-2		h t ts u								
36-2		h u t ui ts u								
48-2		n a sː a kʲ a i								
60-2		t o r i								
63-2		s i r a m								
64-2		k i								
67-2		h w a								
68-2		n e u								
71-2		ts i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u ts i								
-102-2		s i a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		sː o g u								
156-2		t a e u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i g u								
173-2		i s i								
180-2		k u m o								
185-2		h a								
186-2		m e r u								
187-2		m i ts i								
190-2		a k kʲ a i								
193-2		k sː kʲ r i								
194-2		s i r kʲ a								
195-2		k u r kʲ a								
216-2		m a r u kʲ a								
221-2		n a								
239-2		i ts u								
252-2		m i u								
253-2		sː u								
254-2		i ts u ts u								
266-2		k a sː e								
267-2		n a sː a r e r u								
268-2		u m i								
272-2		a m u								
276-2		a r a u								
281-2		m u s i								
304-2		ts u								
305-2		ts i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		a								
342-2		sː u k i								
346-2		k u r a kʲ a i								
347-2		k i r u								
348-2		h i r o kʲ a i								
351-2		t oː kʲ a								
361-2		o m o kʲ a								
379-2		k u s u g u								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i sː u r u								
412-2		s a k e r u								
413-2		ts u k i s i s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a sː a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u kʲ e								
458-2		t o s i								
56-2		h t o								
65-2		k a u								
70-2		t a n e								
75-2		k a u								
114-2		k u b u m i								
119-2		k i m o								
161-2		sː g								
171-2		k a a								
188-2		sː a m a								
196-2		g o r u								
262-2		h i r u m u								
300-2		u h e s o								
313-2		d e								
350-2		s e a kʲ a								
352-2		ts i k a kʲ a								
396-2		h u r u kʲ a								
401-2		o s u								
420-2		u o i u								
424-2		u t a u								
442-2		s i m u u u r u								
455-2		i k i t e u								
22-2		n a i								
24-2		m i a								
49-2		a d u								
78-2		a b u r a a								
89-2		k e								
14-3			k o e i							
18-3			d a r e							
35-3			h t ts u							
36-3			h t ts u							
48-3			n a g i							
60-3			t o i							
63-3			s m							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			g i							
76-3			h o n e i							
83-3			ts u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u g i							
-102-3			s i d a							
103-3			ts u m e i							
110-3			t e							
116-3			m n e							
120-3			n o m							
132-3			k i k							
139-3			k o o s u							
140-3			g o g							
156-3			t a g ui							
168-3			ts u k i							
169-3			h o ɕ i k i							
170-3			m i g u							
173-3			i ɕ i k i							
180-3			k u m o							
185-3			h							
186-3			m e							
187-3			m i g i							
190-3			a k i							
193-3			k g							
194-3			s i i							
195-3			k u i							
216-3			m a ui							
221-3			n a m							
239-3			i ts u							
252-3			m i g u							
253-3			g g u							
254-3			i ts u ts u							
266-3			k a g e							
267-3			n a g a e r							
268-3			u m i							
272-3			a m e i							
276-3			a a u							
281-3			m u ɕ i k i							
304-3			ts u i a							
305-3			g i							
308-3			h a n a							
309-3			k u ɕ i k a							
310-3			t o							
311-3			n i							
342-3			g k i							
346-3			k i							
347-3			k i r							
348-3			h i i							
351-3			t oː i							
361-3			o m							
379-3			k u s a g a							
394-3			h i d a r i							
395-3			m i g i							
400-3			h i g a							
412-3			ɕ i k a k e r							
413-3			ts u k k s							
414-3			h o r							
422-3			h u k							
423-3			k a ɴ i g a e r							
430-3			h a k u							
435-3			h u k							
446-3			ɕ i k t a							
447-3										
458-3			t o ɕ i k i							
56-3			h i t o							
62-3			ɴ u							
65-3			k a w a							
70-3			t a n e							
75-3			k a w a							
96-3			m i							
101-3			a							
114-3			k u i							
119-3			k i m							
134-3			s i g o							
138-3			s i n u i							
146-3			a tɕ u k u							
161-3			g g							
