COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n ə ə			
2054-1	d ɔ n d ə r			
1375-1	l ɪ + t ə ə ə			
760-1	w iː n d			
756-1	s n aː ə			
726-1	m ɔ t ə r			
1351-1	x r oː ə + v aː t ə r			
1353-1	x r oː n + m ɔ t ə r			
412-1	+ w + + ə + + v aː t ə r ə ə ə ə ə +			
406-1	+ w + + ə + + m ɔ t ə r ə ə ə ə ə +			
1005-1	s t eː p ə + v aː t ə r			
1012-1	s t eː p + m ɔ t ə r			
1016-1	w iː d + + ə r			
1069-1	ə +			
509-1	v ɔ l ə			
693-1	m + l ə + t + +			
2179-1	n ɛ s t			
1753-1	ə v ə s ə			
1131-1	w ɔ l f ə			
1198-1	b aː ə d t			
2032-1	h ɔ + n			
2241-1	n aː ə			
2244-1	l ə p ə ə			
610-1	k ə n iː			
945-1	h ɑ r t			
1534-1	l ɛ k ə			
384-1	z k.ə ə			
1650-1	n ə ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	z ə ə			
1385-1	z aː ə ə d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r ə d			
1970-1	v ɔ l ə			
1230-1	d r ə d ə ə ə			
2017-1	n ə j uː			
968-1	w ɑ l d			
1674-1	l ɑ n d			
1671-1	h œy + ə l			
829-1	k l iː f ə			
1025-1	w ɑ t ə r			
1027-1	z aː			
1832-1	r oː ə			
-1816-1	oː t + + n			
-335-1	l ɑ x uː n ə			
1043-1	s t r oː m			
423-1	s t ɛɪ n			
2049-1	m oː n t			
2062-1	s t ɔ + m			
2065-1	r aː + ə n + b oː + ə n			
1368-1	s ɑ d n			
1365-1	d d oː			
754-1	r aː + ə n			
768-1	w ɛ t ə r			
1211-1	v uː ə r			
106-1	m ɑ n			
-98-1	b aː b ɛɪ			
719-1	v aː t ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n ɛ v d			
409-1	s + + + n + p iː n ə l ɑ			
402-1	+ + + + ə + + d ɔ + t ə r ə iː ə ə l ɑ			
1014-1	s t eː p + d ɔ + t ə r			
1059-1	w iː +			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	ɔ k s ə			
2199-1	k ɑ + f			
2197-1	s aː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m uː r			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r uː ə			
810-1	d oː v.ə ə			
1755-1	j ɔ			
1758-1	m oː t			
1760-1	r			
1620-1	v iː n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː s			
1307-1	n iː s ə			
1305-1	v l oː			
711-1	w ɛ s p ə			
1442-1	v l ɑ + ə			
62-1	m ʉ k ə			
-73-1	m ɔ s k iː t			
1810-1	h oː d			
1805-1	v l eː s			
1813-1	h aː ə r			
1811-1	b l uː d			
690-1	r iː ə			
2177-1	h ɑu.w + d			
246-1	oː + ə n + b r oː ə			
249-1	oː + ə n + l iː d			
1506-1	n aː s r r ə n + + + +			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ ə			
1196-1	ɑ k			
2174-1	s ɔ l d ə r			
575-1	ɑ k + p			
603-1	ɛ l ə n + b oː + ə n			
601-1	h ɑ n d			
615-1	v iː ŋ r ə r			
901-1	k l oː ə			
608-1	v uː s			
596-1	t aː ə			
937-1	b r ɔ s t			
936-1	n aː b ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ b ə r			
1606-1	h ʉ p t ə			
472-1	s n iː p ə n			
1535-1	s w ɪ t ə n			
1546-1	s p ɔ k ə n			
1959-1	s l aː p ə n			
694-1	s n ɑ r + ə n			
1961-1	d r uː m ə n			
323-1	ə ə l aː v.ə ə n			
1885-1	x r aː v.ə			
2156-1	+ + + k ɑ l d + + +			
1903-1	w ɔ n d ə			
525-1	s w ɛ l ɔ ŋ			
276-1	l aː m +			
274-1	d ɑu.w f			
278-1	b l ɪ n d			
258-1	+ ə + d r ɔ ŋ k ə n			
256-1	n ɑ k iː d			
383-1	ɛ s ə n			
207-1	r ɛɪ p			
376-1	d r iː ŋ k ə n			
2009-1	oː v ə n			
2003-1	k ɛ t ə l			
2024-1	z ɑ n ə			
1321-1	k ɛɪ p			
1976-1	t ɑ ŋ + ə			
1243-1	m aː l t + t			
1265-1	p +			
1261-1	z iː v.ə ə n			
655-1	b r ɛ d			
650-1	d ɛɪ +			
1532-1	+ n aː d ə n			
-36-1	z ɔ p ə			
34-1	b oː n ə			
-1647-1	v ɛɪ x ə			
-1615-1	uː iː l			
125-1	v ɑ t			
1659-1	h oː n ə +			
1661-1	m iː l k			
1676-1	b ɔ t ə r			
480-1	+ ə + d r ɛ ŋ k			
1466-1	k l ɛɪ + ŋ			
2277-1	w ɔ l ə			
2271-1	v ɪ l t			
2293-1	l aː d ə r			
624-1	s p iː n ə n			
628-1	s p iː n d ə l			
626-1	w aː v.ə ə n			
633-1	n aː d ə l			
1185-1	r ɑ ə s.x uː k t ə r			
1179-1	h uː t			
2168-1	k ɑ m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b ɛ d			
-934-1	l ɑ m p ə			
916-1	t r oː k			
1726-1	v ɛ l d			
2108-1	z l uː + ə n			
1133-1	v ɔ r +			
2114-1	s p aː d ə n			
1272-1	r ɔ + ə n			
1979-1	x r aː s			
1989-1	h uː			
-2260-1	z l ɑ n t ə n			
70-1	b uː k ə			
-89-1	w ɛɪ n + + t + +			
-12-1	z ɛɪ p ə			
713-1	z ɑ p t			
747-1	n ɛ t ə l			
308-1	d uː n			
289-1	b ɪ n d ə n			
1930-1	b r ɑ k ə n			
1928-1	s p + l iː t ə n			
858-1	s t r ɛ k ə n			
1577-1	+ p + h ɑ + ə n			
908-1	w ɑ s ə n			
648-1	b oː r ə n			
1855-1	+ t + h uː l n			
657-1	h ɑ m ə r			
2058-1	n aː + ə l			
949-1	b l ɑ ə ə s m iː t			
1642-1	x ɔ l d			
1640-1	z iː l b ə r			
1633-1	ɛɪ z ə n			
1630-1	t iː n			
993-1	x l aː s			
-2121-1	r ɔ l ə n			
1692-1	v ɑ l ə n			
1694-1	d r iː p ə n			
1062-1	z ɛ ŋ k ə n			
476-1	s w iː m ə n			
1051-1	v l ɑ + ə n			
1075-1	b l aː p ə n			
135-1	s l ɛɪ d ə n			
-134-1	d ɑ n s ə n			
1839-1	+ t + x aː ə n ə ɑ ə			
1097-1	t p + + + + k ɔ m ə n ə b ɑ ə			
1777-1	v ɔ l + n			
1434-1	b r iː + ə n			
1417-1	l iː d ə n			
1424-1	r ɛɪ d ə n			
778-1	z aː t			
790-1	b r ʉ k ə			
1223-1	p ɑ d ə l			
1117-1	z aː + ə l			
1411-1	h aː v.ə ə n			
1407-1	h ɑ l d ə n			
1390-1	d iː ŋ			
2086-1	x ɛɪ v.ə ə n			
2082-1	k œy r + + + + + b n			
576-1	z uː k ə n			
579-1	v ɪ n d ə n			
581-1	p + + + l ɑ ə n			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l ɑ s			
1479-1	ɛɪ p n ə n			
847-1	h oː +			
659-1	b oː d ə n			
860-1	m iː d d ə			
213-1	r ɑ + t			
1286-1	v ɑ r n			
1293-1	w ɛ s t ə n			
474-1	d iː k			
467-1	d ʉ n			
1177-1	d iː p			
588-1	ɑ k			
584-1	h aː k ə n			
-1153-1	r ɔ n d			
700-1	t w ɛ l v.ə			
875-1	t oː z ə ɑ d			
1559-1	ɑ l ə			
1565-1	m aː r			
1968-1	h ɑ + f t ə			
-350-1	p aː ə r			
1478-1	b oː d ə			
1469-2		s æ n t		
2047-2		s ɔ n əʊ		
2054-2		d ɔ n r		
1375-2		l aɪ əʊ əʊ		
760-2		w aɪ n		
756-2		s n aɪ		
726-2		m aɪ d r		
1351-2		ɡ r aɪ f eɪ d r		
1353-2		ɡ r aɪ m aɪ d r		
412-2		s r əʊ ɡ aɪ v eɪ d r		
406-2		s r əʊ aɪ m aɪ d r		
1005-2		s d ɪ f eɪ d r		
1012-2		s d ɪ f m aɪ d r		
1016-2		w aɪ d eɪ		
1069-2		d aɪ		
509-2		v l		
693-2		m aɪ l əʊ s		
2179-2		n ɪ		
1753-2		əʊ v aɪ s d		
1131-2		w ɔ l f əʊ		
1198-2		b eɪ r		
2032-2		h ʌ r n		
2241-2		n ɪ s		
2244-2		l aɪ f əʊ		
610-2		k d n ɪ		
945-2		h æ r		
1534-2		l k		
384-2		s aɪ ɡ		
1650-2		n əʊ aɪ		
1663-2		s aɪ t		
2279-2		l aɪ n		
471-2		s eɪ w		
1385-2		s eɪ əʊ əʊ		
792-2		h əʊ		
1111-2		m æ		
197-2		s ɪ θ		
2020-2		l æ		
867-2		h ʌ n θ r		
1970-2		v ɔ l d		
1230-2		d r əʊ aɪ d əʊ əʊ		
2017-2		n ɪ d		
968-2		w r l t		
1674-2		l æ n t		
1671-2		h ɡ l		
829-2		k l aɪ f		
1025-2		w iː		
1027-2		s aɪ		
1832-2		r iː		
-1816-2		iː ɡ aɪ w eɪ n		
-335-2		l iː ɡ iː n		
1043-2		ɡ t r iː m		
423-2		ɡ t aɪ n		
2049-2		m iː n d		
2062-2		ɡ t iː m		
2065-2		r aɪ ɡ + b iː ɡ		
1368-2		ɡ ɡ iː d		
1365-2		d aɪ		
754-2		r aɪ ɡ		
768-2		w d		
1211-2		v		
106-2		m æ n		
-98-2		b aɪ b		
719-2		v eɪ d		
1341-2		s iː n		
-2027-2		t æ n t		
-2026-2		n f		
409-2		ɡ l l ɡ ʌ n + s iː n		
402-2		ɡ l l ɡ ʌ n + d ɔ t		
1014-2		ɡ t ɪ f + d ɔ t		
1059-2		w ɪ d		
120-2		ɡ t æ l		
2194-2		ɔ l		
2199-2		k æ l f		
