COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a ⁵						
18-1	m j ɛ ŋ ⁵						
19-1	n j i ⁵						
44-1	l o ʔ ³¹						
50-1	ʃ ai ŋ ³						
62-1	s ai k ⁵⁴						
70-1	d a n ⁵						
75-1	m j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ ɔ ⁵						
122-1	m j u k ³						
127-1	kʰ w i ³						
132-1	w ɔ ʔ ⁴						
133-1	n u ⁴¹						
135-1	n au ⁴³						
142-1	d z w i ³						
143-1	ŋ a ʔ ³¹						
149-1	ʔ u ⁵³						
152-1	ŋ ə ³						
157-1	d ɔ ⁵						
183-1	ʔ u ⁵						
184-1	n o ʔ ³¹						
185-1	tsʰ a m ³						
189-1	m j ɔ ʔ ⁵						
192-1	n ɔ ³						
195-1	n a ³						
200-1	k a n ³						
216-1	s ai ŋ ⁵						
218-1	l ɔ ʔ ³						
225-1	s ai ŋ ⁵						
235-1	kʰ j ei ³						
244-1	s i ³						
253-1	m i ³						
270-1	m ei ³						
278-1	m j ɛ ŋ ³¹						
279-1	w a ³						
285-1	ʔ j æ̰ m ³						
308-1	d d a̰.ḭ ³¹						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	m j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ j o ʔ ³¹						
362-1	j i ³¹						
391-1	j æ̰ p ³						
394-1	m ɔ ʔ ³						
397-1	tʃʰ ei ⁵						
443-1	n j ṵ.ə̰ p ⁵³						
460-1	s a t ⁵³						
463-1	i ³¹						
464-1	ʔ u ŋ ³						
473-1	s a m ⁴						
476-1	kʰ j u k ⁵³						
481-1	tsʰ ɛ ³						
494-1	g ɛ ³						
496-1	h j ai ŋ ³						
516-1	w ɛ ³						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		p i ⁵²					
19-2		n i ⁵²					
44-2		l a̰ː k ⁵²					
50-2		ɛ a ŋ ³					
62-2		s a ⁵²					
70-2		p a n ⁵²					
75-2		m j a ʔ ⁵²					
97-2		tʃʰ a ŋ ⁵²					
112-2		au a ⁵²					
122-2		m j a k ⁵²					
127-2		kʰ w i ⁵²					
132-2		w a ʔ ⁵²					
133-2		n au ⁵²					
135-2		n au ²³					
