COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	ts ɯ ³³								
5487-1	t ɯ ²¹								
1401-1	pʰ ɔ ⁵⁵								
6496-1	ts ɯ ³¹								
1064-1	l ɔ ⁴⁴								
1065-1	ts i ³³								
6617-1	t ɔ ²¹								
4367-1	t ɔ ⁵⁵								
4378-1	ɕ e ⁴⁴								
4379-1	l i ⁴⁴								
3984-1	s e ³³								
5086-1	ʈʂ ɤ ³³								
3333-1	s e ⁴⁴								
2226-1	x ɤ ³³								
2373-1	k ɔ ³³								
2363-1	s ɔ ³⁵								
672-1	ts i ⁵⁵								
673-1	k ɔ ³¹								
2690-1	p ɔ ²¹								
6337-1	p ɔ ³¹								
6319-1	ts e ⁴²								
2617-1	s ɯ ³³								
2066-1	s ɯ ³³								
2094-1	s ɯ ³³								
2096-1	k ɤ ⁴⁴								
798-1	p ɔ ³¹								
6668-1	ɕ ɯ ³³								
4028-1	t e ⁴⁴								
6555-1	k w a ⁴⁴								
2281-1	k ɔ ⁵⁵								
701-1	k w a ⁴⁴								
628-1	s w a ⁴⁴								
3096-1	ts ɯ ³³								
3021-1	ts ɔ ⁴²								
2708-1	ɕ i ⁵⁵								
3462-1	k ɔ ³⁵								
1932-1	s ɯ ³³								
6469-1	s ɯ ²¹								
4454-1	ɲ i ⁴⁴								
4455-1	kʲ ɔ ³⁵								
6926-1	ɲ ɔ ⁴⁴								
6927-1	ɲ i ⁴⁴								
3916-1	m ɔ ³³								
6822-1	t ɲ i ⁴⁴								
5417-1	ts ɯ ³³								
1959-1	x ɔ ⁵⁵								
1960-1	t ɤ ²¹								
2899-1	x ɔ ⁵⁵								
3651-1	ts ɯ ³³								
811-1	k ɤ ²¹								
1633-1	m ɛ ²¹								
1775-1	k ɔ ⁵⁵								
5801-1	k ɤ ²¹								
4769-1	l ɔ ³¹								
3720-1	k ɔ ³⁵								
6446-1	m ɛ ³³								
1255-1	p e ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ²¹								
242-1	ts ɯ ³³								
3739-1	k ɤ ²¹								
5984-1	ts ɔ ³³								
838-1	s ɔ ³⁵								
839-1	t ɔ ²¹								
3149-1	j i ⁴⁴								
2829-1	ʈʂ ɤ ³¹								
4602-1	tɕ i ³⁵								
5225-1	l ɔ ²¹								
3933-1	s ɤ ³³								
5763-1	ts ɔ ⁴²								
2134-1	ɕ i ⁴⁴								
5724-1	t i ⁵⁵								
5704-1	ts i ⁴²								
5705-1	kʰ w ɔ ³³								
5037-1	tɕ i ³¹								
5038-1	t ɔ ⁵⁵								
4332-1	ts ɿ ³³								
