COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m aː tʃ i + n								
2-1	a + n aː m + tɬ i								
8-1	m e k aː								
16-1	e k + tɬ i								
24-1	i s t a + tɬ								
32-1	m aː + i								
51-1	e a w + aː i tɬ								
52-1	aː a k + tɬ i k								
53-1	s aː k aː k								
54-1	tɬ a + l								
55-1	k w a								
60-1	aː m + a l + i								
83-1	tɬ a e + tɬ i								
87-1	p aː aː n i								
92-1	m aː + i								
103-1	m a n +								
106-1	p a tɬ i								
138-1	m e ʔ a i								
139-1	m a + + i aː								
142-1	m a tɬ i								
145-1	m e + aː i + aː								
176-1	tɬ a + i aː + + tɬ								
179-1	s aː k aː + tɬ								
180-1	m e k + tɬ i								
186-1	t a k + t i + i								
190-1	aː a k a + i								
194-1	n aː								
220-1	e ʔ + + + i								
231-1	i + tɬ i								
240-1	tʃ aː tɬ i								
283-1	t aː + tɬ								
293-1	tɬ i n + oː								
314-1	k j i l + i i								
315-1	a m i								
322-1	t e ʔ aː + i								
323-1	t a m aː								
9-1	p a k aː + tɬ								
17-1	i w i + tɬ								
22-1	tɬ a aː + i								
30-1	aː aː								
88-1	aː k a + tɬ								
158-1	e + aː a + + t								
159-1	aː a l +								
177-1	m e w a								
184-1	p a k a i								
187-1	a i n + w i + tɬ								
227-1	aː + l a								
1-2		n e tʃ i							
2-2		i + o + n e k i							
8-2		aː e h e							
16-2		t e n + t i							
24-2		e s t i							
32-2		s e t i							
51-2		t aː n i							
52-2		e e k + t i							
53-2		m e a l							
54-2		t e l l							
55-2		t w a							
60-2		e n + e h l l							
83-2		t a							
87-2		t e tʃ a n i							
92-2		s e t i							
103-2		s e i							
106-2		t e t i							
138-2		n e h i							
139-2		n e r t t i a							
142-2		s e t i							
145-2		s e r a k i							
176-2		t a r a							
179-2		n e i							
180-2		n e k + t i							
186-2		t e i							
190-2		n e n							
194-2		t e							
220-2		e h t + i							
231-2		i h t i							
240-2		t e t i							
283-2		t a							
293-2		t e n i							
314-2		t s a l i							
315-2		e n e							
322-2		t e h e l e k							
323-2		t e							
9-2		t e tʃ aː							
17-2		e s i							
22-2		t e l							
88-2		a tʃ e							
158-2		i e + i a k							
159-2		e t e n a							
177-2		s e a k							
184-2		t e a i							
187-2		e e n h w i							
227-2		n a k l l							
1-3			s i t i						
2-3			aː + n aː h + t i						
8-3			m e p n						
16-3			t i k + t i						
24-3			i s t e ʔ						
32-3			s e t i						
51-3			t t aː h + o						
52-3			i i k + t i						
53-3			n e p aː n						
54-3			t e h l						
55-3			t w aː						
60-3			i s + + o x o l o						
83-3			t a +						
87-3			t e t aː n i						
92-3			s i ʔ i						
103-3			m e n						
106-3			t e t i						
138-3			n e h aː						
139-3			m i + + k + t i l						
142-3			m e t i						
145-3			m i + t aː t aː						
176-3			t a + + aː ʔ						
179-3			s e p aː ʔ						
180-3			m e s + t i						
186-3			t e p + t						
190-3			n i k i + t						
194-3			t e						
220-3			e h p + t i						
231-3			eː + t i						
240-3			t e t i						
283-3			+ t aː + ʔ						
293-3			t i n i						
314-3			k w i h o						
315-3			i n i						
322-3			t e n i l aː ʔ						
323-3			t e						
9-3			t e p i + ʔ						
17-3			i n i + ʔ						
22-3			t e + w l						
30-3			eː i ʔ						
88-3			aː t i						
158-3			m i k aː aː ʔ						
159-3			i t i n a						
177-3			m i n a ʔ						
184-3			t i k aː n						
187-3			a a n k w i + ʔ						
227-3			s aː h l						
1-4				m i tʃ i					
2-4				i + n a x + tɬ					
8-4				m e ts i a					
16-4				j e x + tɬ i					
24-4				i s t e					
32-4				m a tɬ i					
51-4				a m t a					
