COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a i a									
893-1	a i n i a a									
1285-1	n i a i									
1303-1	l a ɔ m a									
2197-1	s k a l a									
2828-1	ɔ i n a									
3572-1	i ɔ n i									
1095-1	l i m a									
1755-1	i n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	k ʊ l a									
3519-1	t ʊ m a									
3686-1	i i m i a									
4249-1	k ʊ m i									
4451-1	β i i i									
448-1	ɔ ʊ a a ʊ i									
630-1	β ɛ ɛ l a									
814-1	l ɔ ɔ m b a									
1216-1	g i β i i a									
1228-1	β w a i									
1418-1	z i m a z a a									
1475-1	g n a									
2026-1	t w i i									
2775-1	l a ɔ a b a									
3397-1	k ɔ l a									
3826-1	ɔ ɔ k a									
4003-1	i i i a a									
4040-1	i ɛ n i									
4373-1	l i z i									
4384-1	i i a									
84-1	a a k ʊ l a									
116-1	i i k a									
181-1	g ɔ ɔ ŋ b ɔ									
419-1	i ɔ g a									
587-1	ɔ i ɛ d ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	i i i a									
1159-1	n a									
1350-1	l j a a									
1374-1	n n a a n ɛ									
1396-1	z ɔ t ʊ									
1430-1	i i s ɔ									
1666-1	t ɔ u n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i n g i l a									
2177-1	n g a i i									
2286-1	l a									
2317-1	ɔ ʊ i a									
2419-1	s i k a									
2750-1	i ɛ z i									
3018-1	k i l a									
3275-1	t a ʊ n a									
3441-1	s a i a k a									
3464-1	β ɔ n a									
3639-1	k ɛ t ɛ m a l a									
3885-1	s u m a									
3981-1	i ɔ m a a a									
4192-1	β i a m z a									
4260-1	z w i i									
4350-1	l ɛ ɛ l a ɔ									
43-1	l ɔ ɔ a a									
93-1	k ɔ n ɔ									
200-1	β i i									
374-1	a a l l a a a									
459-1	l u z a									
508-1	p ɔ i ʊ									
528-1	β i l i									
575-1	t a i									
871-1	ɔ ɔ i a									
1137-1	β a k ʊ									
1339-1	t i i i									
1585-1	a ɔ l a									
1712-1	k ɔ l ɔ									
1872-1	p a i									
2088-1	β i s a									
2166-1	s u á m b a									
2334-1	β i k a									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ g i									
2738-1	β ɛ ɛ l a									
2872-1	k ɔ i i									
2893-1	l i k ʊ l									
2997-1	k a i i s a									
3075-1	k u l a b a									
3675-1	l j ɔ a l ɛ									
4028-1	ɔ i ɛ									
4137-1	m a l a									
4238-1	i i s a z i									
4316-1	t a t a									
4429-1	i a s a									
4440-1	β i l i									
4485-1	i i									
4574-1	β u a a l a									
4688-1	n ɔ a a a									
143-1	β u l									
240-1	ɔ i g a									
388-1	a s a ʊ m a									
401-1	i a									
599-1	s a a m l i									
649-1	l ɛ ɛ a a									
755-1	k u l a									
836-1	s u a a b i									
969-1	i s a									
994-1	ɔ ɔ l a k a									
1006-1	m ɔ ɔ a b a									
1032-1	a ɔ l ɔ l a									
1043-1	ɔ a l a									
1110-1	t ɛ ɛ a									
1263-1	t a ɛ a									
1273-1	l ɔ ɔ a a									
1329-1	i k a a l i									
1362-1	g i ʊ									
1606-1	ɔ ɔ l ɔ									
1617-1	l i k i									
1629-1	k u i l									
1744-1	i β a a									
1895-1	z a									
1917-1	a ʊ m a									
1969-1	l a a a a									
1989-1	s a g a									
2037-1	u k a t a									
2128-1	s u i a b a									
2186-1	g a n a									
2483-1	k ʊ l a									
2592-1	l ɔ l a									
2615-1	d a t									
2700-1	t a a a a a									
2784-1	i									
