COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t i									
56-1	t i m i									
96-1	t a tʃ i z									
99-1	a tʃ i									
114-1	t a k									
115-1	t u z									
133-1	t t i j a									
144-1	t a tʃ i									
150-1	k a w									
234-1	a k i									
236-1	p i k i									
241-1	tʃ a a w i									
249-1	i tʃ i									
1-1	w a z i ʔ									
2-1	tʃ w i m ʔ ʔ									
65-1	i w									
74-1	p i m i									
106-1	t i m n a i									
128-1	tʃ a k									
147-1	t i m k									
231-1	tʃ i tʃ a w i									
232-1	t i p i j i									
239-1	tʃ i m a k i									
266-1	t i a i									
51-1	e w i									
97-1	tʃ i p a t u m									
109-1	i p a i k ʔ									
121-1	t u p i j i k									
149-1	t a k									
160-1	k i w a									
163-1	u p i n									
167-1	t p i									
207-1	m i k									
259-1	t e w i									
66-1	tʃ i tʃ a k i ʔ									
134-1	t a p a t									
139-1	j t m u n u i									
142-1	p p a t i m a m									
145-1	k a r a t a w ʔ									
148-1	t u k a i a n									
162-1	i p i									
166-1	u m i									
179-1	t a p									
201-1	p a m									
21-1	tʃ a a t a n									
24-1	tʃ a k i r a t a n									
50-1	i n a ʔ									
57-1	t a k a w i									
84-1	p e i n									
91-1	tʃ a k o n									
131-1	t u p n a n a t i									
151-1	k i w									
154-1	p w i									
192-1	t i t									
197-1	t r t i m									
205-1	i p a n									
227-1	m a p i t a									
246-1	i w i									
251-1	w a n a ʔ									
52-2		t o								
56-2		k o m e								
96-2		o r i s								
99-2		r o m e i								
114-2		t o k i s								
115-2		o n i								
133-2		t o r a s								
144-2		a r a s i								
150-2		k o								
234-2		k o								
236-2		p i k o								
241-2		o w i								
249-2		i p								
74-2		p o								
93-2		t o a r i s i								
95-2		a n								
106-2		t o i i s i								
119-2		i i s i s i								
128-2		o i								
147-2		i i i								
231-2		p o a s o								
232-2		i p i j a								
239-2		j a s i k o								
266-2		t								
51-2		i w								
55-2		j e m								
97-2		o i k o n i								
121-2		k o p i j a k i s i								
163-2		o p i n i								
167-2		t o p i								
259-2		t o a								
66-2		k r o k o								
112-2		t a a a n i s i								
116-2		t o a n i s								
125-2		k i t e m a s i								
135-2		i p i p								
139-2		e o e s								
142-2		o p i r i m i i								
148-2		t r a i n i i								
162-2		w i i e i								
166-2		i p i								
179-2		t i								
45-2		j r i k e i j a m a n								
84-2		p i a								
131-2		u p u s i e								
146-2		i k e m e s e								
154-2		o w a								
192-2		t i								
197-2		r u p i m								
235-2		t i m a								
237-2		w i m i j i								
246-2		i p								
250-2		k o r e m e s i k a k o								
52-3			tʃ a m a a							
56-3			k a m a							
96-3			k a m a j a							
99-3			a a a a a a a							
114-3			tʃ a m i m i							
115-3			a a a m a j a							
133-3			i tʃ a m a m a j a							
144-3			k a tʃ a m a j a							
150-3			k a j a							
234-3			a k a							
236-3			p a k a a							
241-3			j a m a j i							
249-3			i a a							
1-3			j a j a							
2-3			a a a t a a							
65-3			a m a							
93-3			tʃ e m a m i j a							
95-3			a a a m i							
106-3			tʃ e m a m i a i							
119-3			i m a tʃ i a							
128-3			tʃ a k i m i							
147-3			tʃ a m i j i							
231-3			k a m a j a							
232-3			j a m a a a a							
239-3			j a m a k a a							
266-3			j a a a i a							
3-3			p a m a a							
4-3			p a m a							
55-3			i a a m a a							
109-3			a m a tʃ a r a							
121-3			k a j a j a j a r a							
149-3			tʃ a m a							
160-3			tʃ e m i							
207-3			m a							
112-3			j a a i k a m i tʃ i							
125-3			k a k i m a j i							
134-3			tʃ e p i tʃ i							
135-3			k i m a r a m a							
139-3			j a a a tʃ a m i m e							
57-3			tʃ a m a j a							
71-3			u m							
131-3			j a m a j a a a k a m a r a							
146-3			a tʃ a m a j a a a							
227-3			j a j a a tʃ a							
52-4				t i						
56-4				t u m						
96-4				a						
99-4				a i						
114-4				t a k w						
115-4				u						
133-4				a t i a n						
144-4				a a w a						
150-4				k a w						
234-4				k o						
236-4				p a k i n						
241-4				ʒ̟ a w i n						
249-4				i						
1-4				w a ʒ̟ a						
2-4				w i k						
65-4				i w						
74-4				p a w a						
93-4				t a						
95-4				w k						
106-4				t u j						
119-4				t						
128-4				tʃ u						
147-4				t u m						
231-4				t a n a w						
232-4				t a						
239-4				w a m a k a w						
266-4				i i						
3-4				r						
4-4				a w i						
51-4				u w i n						
97-4				w a p a m						
109-4				u j a						
121-4				ʒ̟ a p a j a						
149-4				t a						
160-4				w						
163-4				u p i n						
167-4				t p a t						
207-4				m i						
259-4				t a w a						
66-4				a r a k a t a						
116-4				t a a k a i						
134-4				n a p a t						
135-4				t i a						
139-4				p a w a a n						
142-4				a p a j a m a						
145-4				a w a t i t						
148-4				t a w a n						
162-4				i j i n						
166-4				u m i						
179-4				t a						
201-4				p w						
21-4				a a t a a						
24-4				tʃ a k a w a a n						
45-4				i n j a m						
50-4				i n i						
57-4				t a k a w a k n						
71-4				a						
84-4				p a w a n						
91-4				m a o n						
131-4				t a a i m a k						
146-4										
151-4				k i w						
154-4				p w a						
192-4				t a t						
205-4				i p a n						
227-4				w a p						
235-4				tʃ a w i						
237-4				a a j i						
246-4				i w i n						
250-4				r a n o						
251-4				w a n a						
52-5					t i t e					
56-5					t e m e					
96-5					t i r i t i ʔ					
99-5					e w i k e m i					
114-5					t o k e t i					
115-5					w e r i s i					
133-5					i t i p a s i					
144-5					t i w a r i s i					
150-5					k o w					
234-5					i k o m					
236-5					p i k i m					
241-5					t a w i w i					
249-5					i t e m					
1-5					w a t i ʔ					
2-5					i w i m					
65-5					i w i i					
74-5					p a m a					
93-5					t o p a i s i					
95-5					i w i k i t i					
106-5					t e m e p i s i k					
119-5					i p i t i k i					
128-5					t o k i t i ʔ					
147-5					t i p i s i ʔ					
239-5					w e i k a n					
266-5					t i i t i k m					
3-5					w o r i k a					
4-5					w a r i ʔ					
51-5					e w i ʔ					
55-5					e o m					
97-5					e f o m a					
109-5					i p i i s i k					
149-5					t o k i					
160-5					t i r i k					
163-5					i p s e m					
167-5					t p a ʔ					
207-5					t i					
259-5					t o w a ʔ					
66-5					k i r a k a t m					
112-5					t r a i s i					
116-5					t o p a s i					
134-5					t i p i t i k o n					
135-5					t e m m e ʔ i k					
139-5					t i t i m o n e t i ʔ					
142-5					i p a r a m a s i					
145-5					k o r a t a s i					
148-5					t o r a w i a n e s i					
162-5					m j a s i m					
166-5					i m i ʔ					
179-5					t a k i					
201-5					p e s					
21-5					t o w a t i i					
45-5					m j a m a					
50-5					i n a ʔ					
71-5					o m i					
84-5					p i w a m					
91-5					m a k i n a n					
146-5					i k o m a s i o ʔ					
151-5					k i w					
154-5					w a ʔ					
192-5					t i t					
197-5					t o r i s i m					
205-5					i p a n					
235-5					s o w i					
237-5					m i m a j i ʔ i					
250-5					t e p a t t a k e					
251-5					w a n a ʔ					
52-6						t i t u a p				
56-6						p u m a				
96-6						t a m i tʃ i				
99-6						a m i k a r u a m				
114-6						t a m a m i				
115-6						i m a m a i				
133-6						n t i m a ʃ a i				
144-6						t a m a m a i				
150-6						t a w a				
234-6						a k i m				
236-6						m i k i m a				
241-6						t i p a i				
249-6						a tʃ i				
1-6						w a ʃ i				
2-6						a i a i i p m				
65-6						i m a i				
74-6						k a m a				
93-6						t i m a ʃ i tʃ i				
95-6						a w i i i				
106-6						t i m a m i tʃ i				
119-6						a m i tʃ i i				
128-6						t a m i m i				
147-6						t u m i tʃ i				
231-6						k u m a w i				
232-6						h u m i i a h				
239-6						m a m a k i m a				
266-6						t u i i i w a p				
3-6						m a w i u i m				
4-6						m a tʃ i				
55-6						a a r a m a				
97-6						t a k i k i m a i				
109-6						i m a i tʃ i				
160-6						t i m i				
207-6						m i				
112-6						t a u a u a m a i				
116-6						t a w a a a				
125-6						m a m i a i				
134-6						t i m i tʃ i r a m				
135-6						k u m a r a tʃ i m a				
139-6						t i m i m i m i tʃ i				
201-6						p u i m m				
21-6						t a r a i i k a				
24-6						t e k a r i k i r e				
57-6						tʃ i k a w a				
131-6						tʃ u k a t u m a m u m a m				
227-6						w a m i i t i r				
52-7							t i i			
56-7							t u m o			
96-7							t a r i k i			
99-7							i r i a o n n			
114-7							t i i			
115-7							u s i m i i			
133-7							i t i a k i m i			
144-7							t u i i r i			
150-7							p i i			
234-7							k o			
236-7							p a k i n n			
241-7							t a k i i n			
249-7							i m i			
1-7							m a m i			
2-7							u m a i n n			
65-7							i i n i			
74-7							p a i			
93-7							t u k a r i i			
95-7							u i k i i			
106-7							t i i r i			
119-7							u n a i i			
128-7							t u k i i			
147-7							t i i r i			
231-7							t a a m o			
232-7							t i p a n a p i			
266-7							t i i n i a			
3-7							w a r i n o n			
4-7							w a t i d n			
51-7							i t i			
55-7							i u i i			
97-7							p a k i k u m o i			
109-7							i a i ʃ i			
121-7							t a a a i i			
149-7							t a n			
160-7							m i r i			
163-7							i p a n o n			
167-7							t p a t			
207-7							m i			
259-7							t o a			
