COGID	Albanian	English	French	German	Latin
560-1	r e t				
438-1	r r				
1222-1	j u r				
353-1	ə i t				
201-1	k t				
20-1	ʃ t ə r				
503-1	ə i				
957-1	t				
728-1					
244-1	n m				
289-1	n ʃ t				
911-1	r u r t e r				
724-1	d i				
145-1	d j				
992-1					
1181-1	c i e t				
741-1	d r r				
560-2		r u			
438-2		ə r			
1222-2		s t ɑ			
353-2		f w ɑ			
201-2		t ə n			
20-2		w ɑ			
503-2		s r o			
957-2		t ə			
728-2		l au n			
244-2		n ɑ			
289-2		n ə t			
911-2		w ɑ t ə			
724-2		t r i			
145-2		t w i			
992-2		w i			
706-2		e			
106-2		p ə ð ə r			
741-2		t w ə			
421-2		b l ə			
227-2		f w ɑ			
560-3			v j ɛ		
438-3			r r		
1222-3			a v ɛ		
353-3			r r ɛ		
201-3			f ɑ̃		
20-3			u r		
503-3			p l a n		
957-3			s ɑ̃		
728-3			l u		
244-3			n r		
289-3			n w a		
911-3			r ɛ		
724-3			d r w		
145-3			d		
992-3			u		
1181-3			s ʃ ɑ̃ s		
706-3			u k u		
106-3			p u r		
741-3			p k a		
421-3			f l ɛ		
227-3			p w		
560-4				v m i m	
438-4				e r	
1222-4				ʃ i	
353-4				f	
201-4				f i	
20-4				f a	
503-4				f l	
957-4				m i	
728-4				l u ŋ	
244-4				n i m ə n	
289-4				n t	
911-4				oː	
724-4				d r	
145-4				ʃ	
992-4				h uː	
1181-4				r t	
706-4				e n	
106-4				f au d ə r	
421-4				a l z r	
227-4				f s	
560-5					w oː n o
438-5					a r
1222-5					a k o
353-5					p r e t o
201-5					p e n k e
20-5					k a d e o r
503-5					p l aː
957-5					d e n
728-5					l a n u o
244-5					n oː m e n
289-5					n oː oː
911-5					r a n s i
724-5					r eː
145-5					d e
992-5					k o
1181-5					k k a n i o
706-5					o i o o
106-5					p e t a r
741-5					p r o m o
421-5					f l aː
227-5					p e
