COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁴²						
4-1	l u ³						
18-1	n j ɔ̰ ŋ ³¹						
19-1	n j ei ʔ ³¹						
44-1	d l u ʔ ³						
50-1	u ŋ ³						
62-1	s ai k ³						
70-1	b a n ³¹						
75-1	n j ɔ ʔ ³²						
97-1	j a ŋ ³						
112-1	tsʰ ɔ ³						
122-1	n j ɔ̰ k ³²						
127-1	g j ei ³						
132-1	d w u ʔ ³¹						
133-1	n au ʔ ³						
135-1	n au ʔ ³						
142-1	d z ɛ i ⁴²						
143-1	d ŋ ɔ̰ ³¹						
149-1	ʔ u ³						
152-1	ŋ a ³						
157-1	ʃ u ³						
183-1	ʔ u ³						
184-1	n u ʔ ⁵³						
185-1	tsʰ a m ³						
189-1	n j ɔ̰ ʔ ³¹						
192-1	n ɔ̰ ³						
195-1	n i ³						
200-1	tʰ ə ŋ ³						
216-1	s a n ³						
218-1	l ɔ ʔ ³²						
225-1	s ai ŋ ³						
235-1	kʰ j ei ḭ ³¹						
244-1	s i ³						
253-1	m ɛ ³						
270-1	m j ḛ ³						
278-1	n j ai ŋ ³						
279-1	i ³						
285-1	n ɔ m ³¹						
308-1	d i ³						
322-1	m i ³						
325-1	kʰ au ⁵						
337-1	n j ɔ̰ ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ u ʔ ⁵³						
362-1	j i ³						
391-1	j ɛ p ³¹						
394-1	m ɔ ʔ ³²						
397-1	dʒ a ³¹						
443-1	n j ɔ̰ p ³¹						
460-1	s a t ³¹						
463-1	d w i ³						
464-1	ʔ u ŋ ³						
473-1	s ɔ m ³						
476-1	kʰ j u k ³						
481-1	tsʰ a ³						
494-1	g j ɛ ³						
496-1	n j ai ŋ ³						
516-1	i ³						
522-1	n o ³¹						
523-1	pʰ j u ³						
524-1	n ɛ ³						
540-1	kʰ ɔ ⁵						
3-1	b ɛ ³¹						
6-1	g j ɛ ⁴³						
7-1	dʒ u m ³¹						
20-1	n a p ³¹						
51-1	ŋ w i ʔ ⁵						
64-1	k ɔ ŋ ⁴³						
65-1	k j ṵ ʔ ⁵³						
