COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³¹						
4-1	l u ³						
18-1	n j ɛ ŋ ³						
19-1	n ɛ ³						
44-1	d l u k ³						
50-1	ʃ u ŋ ³						
62-1	s ai k ⁵⁴						
70-1	d z au n ³¹						
75-1	n j ɔ ʔ ³¹						
97-1	a ŋ ⁵						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ³²						
127-1	kʰ j ei ³						
132-1	d j au ʔ ³¹						
133-1	n au ³						
135-1	n au ³						
142-1	d z ɛ i ⁴²						
143-1	n u ³¹						
149-1	ʔ u ³¹						
152-1	ŋ a ³¹						
157-1	b u ⁵						
183-1	ʔ u ³						
184-1	n a̰ ə̰ ʔ ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n ɔ ³¹						
195-1	n i ³						
200-1	d au ŋ ³						
216-1	s ɛ ŋ ³						
218-1	l ɔ ʔ ³²						
225-1	s ai ŋ ⁵						
235-1	kʰ j ei ⁵³						
244-1	s i ³						
253-1	m i ³						
270-1	n ei ³¹						
278-1	n j u ŋ ³						
279-1	u i ³						
285-1	d j u n ³						
308-1	d i ⁵						
322-1	m i ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d ts ɔ ³						
347-1	ʃ u k ⁵³						
362-1	j u ³						
391-1	j u p ³¹						
394-1	m ɔ ʔ ³²						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ t ⁵³						
460-1	s ɛ ⁵³						
463-1	a au ³						
464-1	ʔ u ŋ ³						
473-1	s ai m ³						
476-1	kʰ j u k ³²						
481-1	tsʰ a ³						
494-1	g j ei ³						
496-1	j u ŋ ³						
516-1	ai i ³						
522-1	n ɔ ʔ ³²						
523-1	pʰ j u ³						
524-1	n i ³						
540-1	g u ³						
3-1	b w au ³¹						
6-1	g j ɛ ³						
7-1	d a ³						
20-1	n a p ³²						
51-1	ŋ u ³¹						
64-1	g au ŋ ³						
65-1	k w ṵ k ⁵³						
66-1	ts au ³						
71-1	ʃ i ⁵						
72-1	ʔ u ³						
76-1	a i ³						
77-1	n j ɛ k ³						
78-1	n au ³¹						
82-1	j u ŋ ³						
87-1	j ɔ̰ ³¹						
93-1	l a m ³						
94-1	j a̰ k ⁵³						
100-1	s a n ³						
116-1	j ɔ ³⁴						
119-1	w a ³						
124-1	d j u ³						
136-1	l i ⁵						
137-1	kʰ j æu ³						
144-1	s u t ⁵⁴						
145-1	d u ŋ ³						
146-1	n au ⁵						
150-1	j ɔ ʔ ⁴²						
154-1	n j i ⁴²						
165-1	g j ɛ n ³						
166-1	d j ɔ ⁴²						
169-1	k j u ŋ ³						
170-1	d j ɔ ⁴²						
171-1	j a ŋ ³²						
174-1	d l a̰ m ³¹						
181-1	n j ɔ ʔ ³¹						
193-1	b u ³						
205-1	n a̰ ⁵⁴						
206-1	n au ³						
212-1	j ɔ ʔ ³¹						
214-1	l ai m ³						
217-1	ʔ u ³						
224-1	n j æu ⁵						
228-1	b au ³						
238-1	j au ⁵						
241-1	ʃ ɔ ⁵						
246-1	g j ɛ ³¹						
256-1	ʔ u ŋ ³						
257-1	tsʰ u ³¹						
272-1	m i ⁵						
273-1	tsʰ a ³¹						
274-1	m a ŋ ⁵						
1-2		m au ⁵²					
4-2		au a ⁵²					
18-2		m ṵ̃ ²³					
19-2		n a̰ ³					
44-2		l a ŋ ⁵²					
50-2		s a̰ ŋ ²³					
62-2		ʃ au ⁵²					
70-2		ts a n ²³					
75-2		m j a ʔ ⁵²					
97-2		ts a ŋ ⁵²					
112-2		s a ⁵²					
122-2		m j a ʔ ⁵²					
127-2		kʰ ḭ ai ⁵²					
132-2		j au ʔ ⁵²					
133-2		n a ŋ ⁵²					
135-2		n au ŋ ²³					
142-2		a ai ³					
143-2		j a ʔ ⁵²					
149-2		j au ⁵²					
152-2		j a ⁵²					
157-2		ts a ⁵²					
183-2		ʔ a ⁵²					
184-2		n a ʔ ⁵²					
185-2		l a m ³					
189-2		m j a ʔ ⁵²					
192-2		n a ŋ ⁵²					
195-2		ŋ a ⁵²					
200-2		a ⁵²					
216-2		s a ŋ ²³					
218-2		l a ʔ ⁵²					
225-2		ʃ au ŋ ²³					
235-2		kʰ j a ³					
244-2		s au ai ⁵²					
253-2		m ai ⁵²					
270-2		m a ²³					
278-2		m ṵ̃ ŋ ³					
279-2		au a ⁵²					
285-2		j a i ³					
308-2		j ai ⁵²					
322-2		m ai ⁵²					
325-2		kʰ au ⁵²					
337-2		m j ṵ̃ ŋ ³					
341-2		t ts ai ⁵²					
347-2		s a̰ ʔ ⁵²					
362-2		j au ŋ ³					
391-2		j a ⁵²					
394-2		j a ʔ ⁵²					
397-2		tʃʰ au ⁵²					
443-2		n j a ʔ ⁵²					
460-2		ʃ a ʔ ⁵²					
463-2		j au ŋ ³					
464-2		ts a ŋ ⁵²					
473-2		ʃ a m ⁵²					
476-2		kʰ j a ⁵²					
481-2		ts au ³					
494-2		ɣ ai ⁵²					
496-2		s l a ŋ ³					
516-2		au a ⁵²					
522-2		n a ʔ ⁵²					
523-2		j a ³					
524-2		s au ⁵²					
540-2		ts a ⁵²					
3-2		p au ŋ ³					
6-2		k a̰u					
7-2		t au ⁵²					
20-2		n e ʔ ⁵²					
39-2		m ɛ ʔ ³					
51-2		n a ³					
72-2		ʃ a ⁵²					
94-2		m a ³					
100-2		s j a ²³					
116-2		a ai ⁵²					
136-2		l u i ⁵²					
137-2		k j ṵ ŋ ³					
139-2		m ai ⁵²					
150-2		j a ʔ ⁵²					
154-2		m ṵ ⁵²					
166-2		p j a ⁵²					
169-2		k j ṵ̃ ³					
170-2		p j a ⁵²					
171-2		l au ŋ ³					
174-2		l a ²³					
181-2		m j a ʔ ⁵²					
205-2		n a ʔ ⁵²					
206-2		m au ⁵²					
214-2		l a m ⁵²					
217-2		j u ⁵²					
224-2		n j ṵ ŋ ³					
228-2		p au ⁵²					
246-2		k a a					
256-2		j a					
257-2		ts a ⁵²					
273-2		t a ³					
1-3			m au ʔ ³				
4-3			l e ⁴				
18-3			m j e ŋ ³²				
19-3			n e ʔ ³²				
44-3			l o ʔ ³²				
50-3			o ŋ ³¹				
62-3			s ə k ⁵³				
70-3			b a n ⁴				
75-3			m j o k ³²				
97-3			a ŋ ⁵				
112-3			tsʰ ɔ ⁴				
122-3			m j o k ³²				
127-3			kʰ j e ⁴				
132-3			w ɔ k ³				
133-3			n j o ŋ ³				
135-3			n au ³				
142-3			d z o e ³¹				
143-3			ŋ ɔ̃ ʔ ³				
149-3			w ə ⁵³				
152-3			n o ³				
157-3			b ɔ ⁴				
183-3			ʔ u ⁵				
184-3			n o ʔ ⁵³				
185-3			tsʰ æ m ⁴³				
189-3			m j ã k ³²				
192-3			n o ²³				
195-3			n o ³				
200-3			e ŋ ⁵				
216-3			s e ŋ ⁴				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁵				
235-3			kʰ j e ³²				
244-3			s j e ⁵				
253-3			m e ³¹				
270-3			m j e ʔ ³²				
278-3			m j o ŋ ⁴				
279-3			o ɔ ⁴				
285-3			j o m ⁵¹				
308-3			j u ⁴				
322-3			m j e ⁴				
325-3			kʰ au ³				
337-3			m j o ŋ ³¹				
341-3			d z o ³				
347-3			ʃ o ʔ ³²				
362-3			j e ⁵¹				
391-3			j o k ⁵³				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁴³				
443-3			m j o p ⁵³				
460-3			s ai ʔ ³²				
463-3			j e ³¹				
464-3			w o ŋ ⁴				
473-3			s o m ⁵¹				
476-3			kʰ j o̰ k ³²				
481-3			tsʰ u ³¹				
494-3			g e ⁵¹				
496-3			j ə ŋ ³²				
516-3			j e ³²				
522-3			n o ʔ ²³				
523-3			pʰ j u ³²				
524-3			n o ⁵¹				
540-3			kʰ ɔ ⁴				
3-3			b e ³¹				
6-3			g e ³¹				
7-3			dʒ ai m ⁵³				
20-3			n æ̃ p ³				
39-3			m j e ³²				
51-3			ŋ e ³				
64-3			g o ³¹				
65-3			k o ʔ ⁵³				
66-3			d u ⁵				
71-3			ʃ i ⁵				
72-3			ʔ ə ³				
76-3			j u ³²				
77-3			m j e ʔ ³²				
78-3			m au ʔ ³¹				
82-3			pʰ w ə ŋ ³¹				
87-3			ŋ ɔ̃ ʔ ³				
93-3			l æ̰ m ³				
94-3			m j ã ʔ ³²				
100-3			s w o ³				
116-3			l o ³				
119-3			w o m ³¹				
124-3			pʰ j u ³²				
136-3			l u e ³¹				
137-3			kʰ j au ³¹				
139-3			m j e ⁴				
144-3			s ɛ ʔ ³				
145-3			d o ŋ ³¹				
146-3			m au ʔ ³¹				
150-3			j ɔ ʔ ³²				
154-3			m j u ³¹				
165-3			g o ŋ ⁴				
166-3			b j ɔ ³¹				
169-3			g j o ŋ ³²				
170-3			b j ɔ ³¹				
171-3			j a ŋ ⁴³				
174-3			l æ̰ m ³¹				
181-3			m j õ ʔ ³²				
193-3			b u ³				
205-3			n ə ʔ ⁵²				
206-3			m ã ³²				
212-3			tʃʰ ɔ ʔ ⁵³				
214-3			l o m ⁵¹				
217-3			ʔ u ³				
224-3			n j au ⁵³				
228-3			b o ⁵¹				
238-3			j au ³¹				
241-3			ʃ o ⁵				
246-3			k j e ⁴				
256-3			h a ³				
257-3			b o ⁵¹				
272-3			m ɔ ⁵				
273-3			j ə ³				
274-3			m a ŋ ³				
1-4				m u ʔ ³²			
4-4				l ai ³⁵			
18-4				m j ɪ n ³			
19-4				n i t ⁵⁴			
44-4				l au k ⁵³			
50-4				ɣ a ŋ ³¹			
62-4				ʃ ø k ⁵⁴			
70-4				b j ɪ n ³²			
75-4				m j ø ʔ ⁵³			
97-4				a ³²			
112-4				tsʰ o ³⁵			
122-4				m j æu ʔ ³¹			
127-4				kʰ ø a ³¹			
132-4				j o k ⁵⁴			
133-4				n u ʔ ³²			
135-4				n u ʔ ⁵⁴			
142-4				d z ø ³¹			
143-4				ŋ ɔ ²³			
149-4				ɣ au k ²			
152-4				ŋ ɪ ²³			
157-4				b o ³⁵			
183-4				ʔ au ²			
184-4				n a̰ ʔ ⁵⁴			
185-4				tsʰ ɛ ⁴¹			
189-4				m j ø ʔ ²³			
192-4				n u ²³			
195-4				n ɔ ³⁵			
200-4				ø ⁵⁴			
216-4				ʃ ɪ n ³⁴			
218-4				l o ʔ ³			
225-4				ʃ ɪ ŋ ²			
235-4				kʰ i ʔ ⁵⁴			
244-4				ʃ ø a ³¹			
253-4				m ai ³¹			
270-4				m i ʔ ⁵⁴			
278-4				m a ŋ ³¹			
279-4				e u ³¹			
285-4				j a m ³¹			
308-4				i ³¹			
322-4				m ai ²³			
325-4				kʰ u k ⁵⁴			
337-4				m j a ³²			
341-4				d u ³			
347-4				ʃ j a k ⁵³			
362-4				ɣ ø t ³			
391-4				j au p ³			
394-4				m o ³²			
397-4				tʃʰ i t ⁵⁴			
443-4				n j ø p ³			
460-4				ʃ ø ʔ ⁵⁴			
463-4				j ø k ⁵⁴			
464-4				ʔ au ³¹			
473-4				ʃ a m ²			
476-4				kʰ j æu ʔ ³¹			
481-4				tsʰ ai ³¹			
494-4				g ai ³¹			
496-4				ʃ j ɪ ŋ ³¹			
516-4				j ɪ ²			
522-4				n o ʔ ²³			
523-4				pʰ j u ³			
524-4				n ai ²			
540-4				kʰ o ³⁵			
3-4				b ʃ a ³			
6-4				g ai ⁵			
7-4				tʰ au ³			
20-4				n ɛ ⁵⁴			
39-4				m u t ²			
51-4				ŋ e ⁵⁴			
64-4				kʰ o ʔ ³²			
65-4				kʰ a ʔ ⁵⁴			
66-4				d z u ³			
71-4				ʃ ai ⁵⁴			
72-4				b e ²			
76-4				o o ³			
77-4				n j ø ʔ ³			
78-4				m o ʔ ³²			
82-4				b a ŋ ³²			
87-4				j o ³			
93-4				l e ³			
94-4				m ḭ ŋ ³			
119-4				j a ³²			
124-4				pʰ j ø ³			
136-4				l ʃ i ³¹			
137-4				kʰ j u k ⁴²			
139-4				m ai ³¹			
144-4				s a ³⁴			
145-4				d au n ³¹			
146-4				m ø ʔ ⁵⁴			
150-4				g j ɔ ʔ ³²			
154-4				m u ³¹			
165-4				kʰ a m ³⁴			
166-4				b j o ⁵			
169-4				g a̰ a ³			
170-4				b j ɔ ³¹			
174-4				l e ³			
181-4				m j ɔ ʔ ³²			
193-4				b o ³			
205-4				n a̰ t ⁵⁴			
206-4				m ʃ u t ⁵⁴			
212-4				j a̰u ʔ ⁵⁴			
217-4				ɣ au ²			
224-4				n j u ³			
228-4				b o k ³²			
238-4				j u k ⁵⁴			
241-4				ʃ o ³			
246-4				kʰ j ø ³¹			
256-4				ʔ ɪ ³²			
257-4				b o k ²			
272-4				m o ³			
273-4				ʔ e ³²			
274-4				m a ³⁴			
1-5					m o ³¹		
4-5					l a ³¹		
18-5					ŋ ai ³¹		
19-5					ŋ j ai ʔ ³¹		
44-5					l o ʔ		
50-5					ʃ ai ŋ		
62-5					ʃ o ʔ ³¹		
70-5					p o ³¹		
75-5					m j o ³¹		
97-5					ʃ o ³¹		
112-5					tsʰ a ³¹		
122-5					ŋ j o ʔ ³¹		
127-5					kʰ o i		
132-5					r o ʔ ³¹		
133-5					ŋ a ³¹		
135-5					ŋ o ³¹		
142-5					ʃ e i ³¹		
143-5					j ʊ ʔ ³¹		
149-5					ʔ ai ʔ ³¹		
152-5					l o ʔ ³¹		
157-5					tsʰ a ³¹		
183-5					ʔ u ³¹		
184-5					o ʔ ⁵⁵		
185-5					ʃ o ⁵⁵		
189-5					m o ʔ ³¹		
192-5					j a ʔ ⁵⁵		
195-5					n a ³¹		
200-5					ʃ o ³¹		
216-5					ʃ ei ³¹		
218-5					l ʊ ʔ ³¹		
225-5					ʃ e ŋ ³¹		
235-5					kʰ ɹ o ³¹		
244-5					ʃ e u		
253-5					m i		
270-5					m ai ʔ ³¹		
278-5					ŋ a ³¹		
279-5					o a ³¹		
285-5					j a ŋ ³¹		
308-5					a ³¹		
322-5					m u ³¹		
325-5					kʰ o ³¹		
337-5					ŋ l o ³¹		
341-5					t a ³¹		
347-5					ʃ o ʔ ³¹		
362-5					j a ʔ ³¹		
391-5					j o ʔ ³¹		
394-5					l ʊ ʔ ³¹		
397-5					ʃ i ³¹		
443-5					ŋ j a ʔ ³¹		
460-5					ʃ o ʔ ³¹		
463-5					j ʊ ʔ ⁵⁵		
464-5					ʔ ɔ ŋ ³¹		
473-5					ʃ o ŋ ³¹		
476-5					x o ʔ ³¹		
481-5					ʃ ai ʔ ³¹		
494-5					kʰ a		
496-5					a ŋ ³¹		
516-5					ɹ e		
522-5					n o ʔ ³¹		
523-5					pʰ j a ʔ ⁵⁵		
524-5					j e		
540-5					g a ³¹		
39-5					m j a ʔ ³¹		
64-5					kʰ a ŋ ³¹		
65-5					x o ʔ ³¹		
66-5					u ³¹		
71-5					tsʰ i ³¹		
72-5					ʔ o		
76-5					j a ³¹		
77-5					m j u ʔ ³¹		
78-5					m a ⁵⁵		
82-5					p u ŋ ³¹		
87-5					j ʊ ʔ ⁵⁵		
93-5					l ɛ ⁵⁵		
100-5					ʃ a ⁵⁵		
116-5					o a ³¹		
119-5					ɹ ʊ ³¹		
124-5					p j u ³¹		
136-5					ɲ o i		
139-5					m a ³¹		
144-5					ʃ ʊ ʔ ³¹		
145-5					tʰ ɔ ŋ ³¹		
146-5					m u ⁵⁵		
165-5					a ŋ ³¹		
171-5					l o ³¹		
193-5					p u ³¹		
212-5					ʃ o ʔ ³¹		
214-5					l a ³¹		
238-5					w u ⁵⁵		
241-5					tsʰ a ³¹		
246-5					k o o		
256-5					ʃ ə ³¹		
257-5					ʃ o ʔ		
272-5					n a ³¹		
274-5					m ɔ ŋ ³¹		
1-6						m w aː	
4-6						l aː	
18-6						m r aː	
19-6						n a	
44-6						h l a k	
50-6						s j a n	
62-6						s a ts	
70-6						kʰ aː ɲ	
75-6						m r a t	
97-6						kʰ j a ŋ	
112-6						tsʰ aː	
122-6						m r a ts	
127-6						kʰ a aː	
132-6						w a t	
133-6						n a	
135-6						n w aː	
142-6						tʰ a aː	
143-6						h n a	
149-6						ʔ a	
152-6						n a	
157-6						p aː	
183-6						ʔ aː	
