COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a zː ɨ m																		
107-1	g a ə a a																		
112-1	d ə m ə n a																		
331-1	n ɨ g u s																		
377-1	ʔ ə kʼ a o																		
381-1	ʔ a n d																		
417-1	r a																		
451-1	ʔ a n t																		
454-1	ʔ a ɨ r n																		
484-1	ʔ ɨ ɨ s t																		
535-1	ʔ a zː ɨ r																		
543-1	s ə s t																		
593-1	ʔ a m ə s																		
640-1	m a n																		
1-1	d ə m ə r a																		
65-1	d a t																		
212-1	ʔ a n																		
244-1	ʔ a r ə t																		
248-1	m ə r ə																		
293-1	ʔ ə r ə s																		
373-1	ʔ ɨ r a																		
408-1	ʔ ə r a																		
414-1	d a b a																		
601-1	ʔ ə b																		
642-1	n ɨ f a s																		
60-1	n ə f ə h a																		
115-1	l a m																		
209-1	ʔ ə m ɨ t																		
242-1	ʔ a m ɨ s t																		
415-1	ʔ ɨ n a b																		
450-1	ʔ ə r																		
490-1	d ə a																		
638-1	s a r ə																		
645-1	ʔ a zː																		
160-1	d ə r ə kʼ a																		
208-1	ʔ ɨ n kʼ a																		
214-1	ʔ a b																		
378-1	ʔ a r g ə a																		
379-1	ʔ ɨ ɨ r ə																		
409-1	ʔ a t ə r																		
598-1	ʔ ə t																		
646-1	ʔ a n r																		
210-1	ʔ ə o n																		
215-1	d a t																		
285-1	ʔ ɨ t a zː																		
332-1	ʔ a g ə r																		
380-1	ʔ a zː a																		
412-1	ʔ a ɨ n																		
64-1	d a r o																		
67-1	ʔ a a																		
251-1	ʔ ɨ ə a																		
294-1	m u kʼ n a																		
597-1	ʔ a m ə a																		
7-1	ʔ a zː g a																		
158-1	ʔ ə m ə s																		
372-1	ʔ ə ə r																		
374-1	ʔ a ə r ə																		
375-1	s ə w																		
411-1	ʔ ə r																		
541-1	ʔ ə ɨ n																		
6-1	ʔ a ə ə																		
113-1	ʔ a																		
330-1	ʔ ə r r																		
448-1	ʔ ə d ə b ə																		
449-1	ʔ a ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g																		
4-1	g ə r																		
8-1	ʔ a b ə r ə																		
106-1	m ə t a																		
290-1	ʔ a g ə a																		
489-1	ʔ ə ə ə																		
602-1	m ɨ n																		
2-1	ə a u																		
3-1	ʔ ɨ rː a																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ n																	
107-2		g ɨ m ə l																	
112-2		d a m ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o																	
381-2		ʔ a d																	
417-2		r u s																	
451-2		s ə a a																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ ɨ s t																	
535-2		ʔ a s ɨ r																	
543-2		s o s t																	
593-2		ʔ a m u s																	
640-2		m a n																	
1-2		d ə m ə r ə																	
65-2		tʼ u t																	
163-2		k ə a																	
212-2		ʔ n																	
