COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a ⁵						
18-1	n j ɛ ŋ ⁵						
19-1	n j i ⁵						
44-1	l u ʔ ³						
50-1	ʃ u ŋ ³						
62-1	s ai k ³						
70-1	d a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ³						
127-1	kʰ w ei ³						
132-1	w ɔ ʔ ³¹						
133-1	n ɔ ³						
135-1	n au ⁵						
142-1	d z ɔ̃ ⁴						
143-1	ŋ ɔ ʔ ³¹						
149-1	ʔ u ⁵						
152-1	ŋ a ³						
157-1	p u ⁵						
183-1	ʔ u ³						
184-1	n ṵ ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n i ³						
195-1	n a ³						
200-1	z a n ³						
216-1	s i ŋ ⁵						
218-1	l ɔ ʔ ⁴³						
225-1	s ai ŋ ⁵						
235-1	kʰ j ɛ ³						
244-1	s ɔ ⁵						
253-1	m ɔ̃ ³						
270-1	m i ⁵						
278-1	n j ɛ ŋ ³¹						
279-1	u ³⁴						
285-1	j ɨu m ³						
308-1	z ɔ̃ ⁵						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ j u k ⁴¹						
362-1	j i ³						
391-1	j ɔ p ³¹						
394-1	m ɔ ʔ ⁴³						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ p ⁵⁴						
460-1	s a t ⁵³						
463-1	j i ³						
464-1	ʔ u ŋ ³						
473-1	s ɔ m ³						
476-1	kʰ j u k ⁴						
481-1	tsʰ ɛ ³						
494-1	g i ³						
496-1	ʃ j ɛ ŋ ³						
516-1	w ɔ ³						
1-2		m i ⁵²					
4-2		l a ⁵²					
18-2		m i ²³					
19-2		n a ³					
44-2		l a ⁵²					
50-2		s ṵ ŋ ³					
62-2		s a ⁵²					
70-2		p a n ²³					
75-2		m j a ʔ ⁵²					
97-2		ts a ŋ ⁵²					
112-2		s a ⁵²					
122-2		m j a k ³					
127-2		kʰ a ⁵²					
132-2		ɣ ɛ ʔ ⁵²					
133-2		n au ³					
135-2		n au ⁵²					
142-2		t s w e ³					
