COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n ə			
2054-1	d oː n d ə r			
1375-1	l ɪ ə t			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m oː d ə r			
1351-1	x r oː n d + v aː d ə r			
1353-1	x r oː n + m oː d ə r			
412-1	s x oː r + v aː d ə r			
406-1	s x ə r + m oː d ə r			
1005-1	s t iː p + v aː d ə r			
1012-1	s t iː p + m oː d ə r			
1016-1	w ɪ d w ə r			
1069-1	ɪ x			
509-1	v ɑ l ə			
693-1	m x ɑu l + + + r			
2179-1	n ɛ s t			
1753-1	v x ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r n			
2241-1	n aː s			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z oː k ə			
1650-1	n x ɑ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z eː ɣ ə			
1385-1	z aː d			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r + ɪ d ə			
2017-1	n oː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː f			
-1816-1	oː t eː j ə			
-335-1	l ɑ k ə n			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɪ n d ə r		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n		
726-2		m æ d ə r		
1351-2		ɡ r f d ə r		
1353-2		ɡ r m d ə r		
412-2		s n d ə r		
406-2		s n m d ə r		
1005-2		s t + f d ə r		
1012-2		s t ɛ f + m d ə r		
1016-2		w ɪ d n		
1069-2		ɪ k		
509-2		f iː l		
693-2		m l r		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ɔ l		
1198-2		b ɛ r d		
2032-2		h ɔː r n		
2241-2		n aʊ s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h ɑː r d		
1534-2		l ɪ k		
384-2		s ɪ		
1650-2		n ɔ		
1663-2		s ɛ l d		
2279-2		l ɪ n		
471-2		s eɪ		
1385-2		s æ d		
792-2		r ɪ k		
1111-2		m æ s t		
197-2		s iː d		
2020-2		l æ ŋ		
867-2		h ʌ n d ə r d		
1970-2		f ɔ l		
1230-2		d ɪ r d		
2017-2		n ɪ		
968-2		w ɛ r l d		
1674-2		l æ n d		
1671-2		h eɪ v l̩		
829-2		k l ɪ		
1025-2		w æ t ə r		
1027-2		s		
1832-2		r aɪ		
-1816-2		ɔ s n		
-335-2		l eɪ n		
1043-2		s t r m		
1469-3			ʀ ʀ	
2047-3			ʀ u	
2054-3			ʀ ɛ t	
1375-3			l ə ʀ	
760-3			ʀ ʀ	
756-3			p ʀ	
726-3			ʀ t	
1351-3			p ʀ a	
1353-3			k ʀ a	
412-3			ʀ ʀ ʀ	
406-3			ʀ ʀ ʀ	
1005-3			t ɔ	
1012-3			t ɔ	
1016-3			ʀ t	
1069-3			ʀ u	
509-3			ʀ ə l	
693-3			ʀ p ɛ l	
2179-3			ʀ ɔ	
1753-3			ʀ ʀ ɛ	
1131-3			ʀ ə l	
1198-3			b ɔ u	
2032-3			ʀ ʀ ʀ	
2241-3			ʀ u	
2244-3			l ə	
610-3			k ʀ	
945-3			ʀ ʀ ʀ	
1534-3			l ə k	
384-3			ʀ u k	
1650-3			ʀ ʀ	
1663-3			ʀ ʀ	
2279-3			l ə	
471-3			ʀ t ʀ	
1385-3			ʀ ə t	
792-3			ʀ u	
1111-3			ʀ ɔ	
197-3			ʀ ə t	
2020-3			l u	
867-3			ʀ ɛ̃ t ɛ ʀ	
1970-3			ʀ ə l	
1230-3			ʀ ʀ ʀ t	
2017-3			ʀ ʀ ɛ	
1469-4				z a n t
2047-4				z ʊ n ə ə
2054-4				t ʊ n t ə r
1375-4				l ɪ + ɡ ə t
760-4				v ɪ n t
756-4				ʃ n ai
726-4				m aː t ə r
1351-4				ɡ r ʊ n t + f aː t ə r
1353-4				ɡ r oː t + m ʊ t ə r
412-4				ʃ v iː ɡ ə n + b aː t ə r
406-4				ʃ v iː ɡ ə n + m ʊ t ə r
1005-4				ʃ t iː f + f aː t ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɛ t + ə r ə r
1069-4				ɪ x
509-4				f ɔ l ə n
693-4				m ɔ l + + ɛ z ə l
2179-4				n ɛ s t
1753-4				f f ɪ s ə
1131-4				v ɔ l f
1198-4				b aː r t
2032-4				h ʊ r n
2241-4				n au s ə
2244-4				l ɪ f ə ə
610-4				k n
945-4				h a r t
1534-4				l ɪ k ə n
384-4				z au ɡ ə n
1650-4				n oː t
1663-4				z ɔ l t
2279-4				l ɪ n ə n
471-4				z aː ə n
1385-4				z aː t ə n
792-4				v uː k
1111-4				m a s t
197-4				z aː t ə n
2020-4				l a ŋ
867-4				h ʊ n t ə r ə t
1970-4				f ɔ l ə
1230-4				t ə + ɛ r t ə n
2017-4				n iː ə
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h aː b ə l
829-4				k l ɪ p ə
1025-4				v aː t ə r
1027-4				z iː
1832-4				r au
-1816-4				au ʃ ə ə n
-335-4				l aː ɡ ə n ə
1043-4				ʃ t r oː m
