COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	j i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	v i ³³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	v o ⁴⁴									
400-1	s ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	t ou ⁴²									
534-1	j ou ⁴⁴									
556-1	u w u ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ³⁵									
656-1	k u ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n ⁴²									
786-1	k i ³⁵									
820-1	v o ⁴²									
839-1	t ɯ ²¹									
863-1	kʰ w ou ³³									
896-1	k ə˞ ³⁵									
929-1	v ɯ ²¹									
1015-1	s o ³⁵									
1035-1	v ʯ ³⁵									
1107-1	s ə˞ ⁴⁴									
1173-1	v i ³³									
1195-1	v i ³³									
1241-1	m e ²¹									
1252-1	l o ²¹									
1294-1	k a ³⁵									
1326-1	u u ³³									
1348-1	tɕ i ²¹									
1401-1	s e n ⁴²									
1451-1	s i ³³									
1473-1	t w e n ³³									
1507-1	j i ³⁵									
1532-1	k ɯ ³⁵									
1543-1	s ɯ ³³									
1575-1	tɕʰ j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	v i ⁴⁴									
1731-1	s o ŋ ³⁵									
1762-1	s w a ²¹									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	s i ²¹									
1816-1	s i ³³									
1862-1	v i ³⁵									
1885-1	kʰ ə˞ ⁴⁴									
1914-1	s ɯ ³³									
1936-1	p u ³³									
1969-1	tɕʰ j e n ³⁵									
2018-1	v o ŋ ²¹									
2029-1	k a ³⁵									
2051-1	v õ ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	v o ⁴²									
2269-1	m e ³³									
2280-1	s ou ²¹									
2291-1	tɕ j e n ⁴²									
2316-1	tɕ j i ⁴⁴									
2364-1	j i ³³									
2395-1	ʈʂʰ j ə˞ ³⁵									
2406-1	tɕʰ j ə˞ ³⁵									
2417-1	k o ⁴²									
2428-1	k a ³⁵									
2450-1	v o ŋ ²¹									
2484-1	u i ⁴⁴									
2495-1	k ou ²¹									
2565-1	tɕ j i ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w a ⁴⁴									
2644-1	w a ³⁵									
