COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n a									
1285-1	n w a i									
1303-1	n g ɔ m a									
2197-1	z a l i									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β u l a									
3519-1	t u m a									
3686-1	i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	n ʊ i ʊ n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ a m b ɛ									
1216-1	g a β a									
1228-1	β w a i									
1418-1	z i m u a									
1475-1	g w a									
2026-1	t w i i									
2775-1	β u m b a									
3397-1	β ɔ l ɔ									
3826-1	z ɔ k a									
4003-1	n i i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u u l i									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	i n a									
2689-2		n a m a								
893-2		a a n a								
1303-2		n k o m a								
2197-2		s g a l a								
2828-2		l i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a n g a								
3207-2		p u l a								
3519-2		t u m a								
3686-2		ɲ i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u n i								
630-2		p e e l e								
814-2		n o m b e								
1216-2		g a v d a								
1228-2		p w a								
1418-2		s i m e d a								
1475-2		g w a								
2026-2		t w i a								
3826-2		s o k a								
4003-2		p i i v a								
4373-2		l i m i								
4384-2		i n o								
84-2		s u g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o o n g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v u n a								
2689-3			tʰ a m a							
893-3			a n a							
1285-3			n w a a							
1303-3			tʰ o m a							
2197-3			s a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			k a l a a ŋ k a							
3207-3			f u l a							
3519-3			r u m a							
3686-3			u m b a							
4249-3			k u m i							
4451-3			β i l i							
448-3			tʰ o n							
630-3			β e e l e							
1216-3			k a β a a							
1228-3			tʰ w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i β a							
4040-3			k e n i							
4373-3			l u m i							
4384-3			i n o							
181-3			k o o ŋ k o							
419-3			l o k a							
587-3			o ŋ k o							
660-3			l e l a							
1083-3			l i l							
2689-4				b a m a						
893-4				a e n e a						
1285-4				b w a a						
3572-4				t o n a						
1755-4				b á a						
1789-4				g a n a ŋ g a						
3686-4				b e m n a						
4451-4				b s u						
1216-4				b e n e a						
4003-4				b e n a						
419-4				b o n a						
1122-4				b e a						
2689-5					n a m a					
893-5					a a n					
1285-5					n w a					
1303-5					ŋ g o m a					
2197-5					s a l a					
2828-5					l i n a					
3572-5					s o n i					
1095-5					l i m a					
3207-5					f u l					
3519-5					d u m a					
3686-5					ʃ i m n					
4249-5					k u m i					
448-5					u n n i					
630-5					β e e l e					
814-5					n o m p e					
1228-5					p w					
1418-5					ʃ i ʃ a					
2026-5					t w e					
2775-5					f u u m u					
3397-5					β o l a					
3826-5					s o k					
4040-5					l e n i					
4373-5					l i ʃ i					
4384-5					n o					
84-5					p u g u l e					
116-5					ʃ i k a					
587-5					o o ŋ g o					
848-5					k l					
1303-6						a k ɔ				
1755-6						a a a				
448-6						a a a				
1475-6						k a a				
3397-6						a ɔ l				
2689-7							a m a			
893-7							n t			
1285-7							a a			
1303-7							k o m a			
2197-7							z a a a			
2828-7							i n a			
3572-7							s o n e			
1095-7							t i m a			
1755-7							i n e			
1789-7							h a ŋ g a			
3519-7							t u m a			
3686-7							b i m dʒ a			
4249-7							k u m e			
4451-7							v i s e			
814-7							o m b e			
1216-7							g a v a			
1475-7							g w a			
2026-7							t w			
2775-7							f u m b a			
3826-7							z o k a			
4003-7							f i v a			
4040-7							g e n e			
84-7							ŋ ɣ u u			
116-7							s i k a			
181-7							g o o ŋ g o			
419-7							o ɣ a			
587-7							o ŋ g o			
660-7							a			
848-7							h a a			
1122-7							v u ɲ a			
2689-8								ʝ a m a		
1285-8								n w a		
1303-8								n a m a		
2197-8								d o a r a		
2828-8								r a n a		
3572-8								dʒ n i		
1755-8								a e		
1789-8								g á r á ŋ g u		
3207-8								f u r a		
3519-8								t u m a		
3686-8								p m d a		
4249-8								k u m i		
4451-8								v î e i		
814-8								t a m k e		
1228-8								β w a		
2026-8								t w		
2775-8								v u m k a		
3826-8								ʝ u k u		
4040-8								ʝ n i		
181-8								t o b k o		
660-8								r j r a		
848-8								k a r a		
1083-8								r î r a		
2689-9									a m a	
893-9									á n a	
1285-9									ŋ w a a	
1303-9									ŋ b o m a	
2197-9									z a l a	
2828-9									l e n a	
3572-9									s o n i	
1095-9									l i m a	
1789-9									k á l d a ŋ g ʊ	
3207-9									b u l a	
4249-9									k u m i	
4451-9									b i s i	
630-9									b e l e	
814-9									ŋ o m b e	
1228-9									b w a	
1418-9									z i m i a g a	
1475-9									k w a	
2026-9									t w e	
2775-9									b u m b a	
3397-9									b o l o	
3826-9									o k ʊ	
4003-9									i b a	
4040-9									k e n i	
4373-9									l i m i	
4384-9									i n o	
116-9									i k a	
181-9									k o ŋ g o	
1083-9									l i l a	
2689-10										n m a
893-10										a n l l a
1285-10										n w d a
2197-10										a l a
2828-10										l i n a
1095-10										l i m a
1755-10										l n a
3207-10										f ʊ l a
3519-10										r ʊ m a
448-10										n u n a
630-10										f ɛ ɛ l a
1216-10										a a f l l a
1418-10										s i m a
2775-10										b ʊ ʊ m b a
3397-10										f ɔ l a
4373-10										l i m a
4384-10										i n a
84-10										a a á ʊ l a
1083-10										l i l a
1122-10										b ʊ d a
