COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	tɬ k o + n e x + tɬ i								
8-1	w eː i j i								
16-1	e s + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	i o n + i								
52-1	w a + k i								
53-1	n a k a s + tɬ i								
54-1	tɬ a l i + l i								
55-1	k w a i								
60-1	i x + t e l o l o l								
83-1	tɬ e i + tɬ								
87-1	a tɬ a n i								
92-1	m a k a								
103-1	m a								
106-1	k a k i								
138-1	n w a + tɬ								
139-1	m i k + t i a i								
142-1	m a t i								
145-1	m o + t eː k a								
176-1	tɬ a k a tɬ tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j e k a + k								
194-1	s eː a								
220-1	o + tɬ i								
231-1	i t a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	i n + i								
314-1	k a w i + i tɬ								
315-1	oː m e								
322-1	t e w a + i								
323-1	tɬ n								
9-1	t oː t oː + tɬ								
17-1	i + tɬ								
22-1									
30-1	w i ts								
88-1	i i								
158-1	w e i j a k								
159-1	m								
177-1	m i a k								
184-1	t oː k a i + tɬ i								
187-1	j a n k w i + k								
227-1	x a l i + l i								
235-1	m o + tɬ a l i a i								
249-1	oː k + tɬ i								
251-1	m o + t + k e ts a								
289-1	k w i tɬ a i l + i								
294-1	t w a								
296-1	n e n e i l + i								
313-1	tɬ a n								
316-1	n e + n e m i								
318-1	i t o t oː n + k i								
320-1	a + tɬ								
324-1	i t a k + i								
326-1	a k i n								
1-2		n u t i							
2-2		j a j n e							
8-2		j e							
16-2		e s t i							
24-2		i s t i							
32-2		j i i							
51-2		u n i							
52-2		j j j j t							
53-2		n a j a s							
54-2		t j j j							
55-2		j j							
60-2		i j j t j j							
83-2		t i j t							
87-2		j a t j n i							
92-2		j a a							
103-2		j j							
106-2		j a i							
138-2		n e j a							
139-2		j i j j t i a							
142-2		j a t i							
145-2		j u j t e a							
176-2		t j j a t							
179-2		n a j a t							
180-2		j e j t i							
186-2		j e t							
190-2		j a j a t							
194-2		s e							
220-2		u j j t i							
231-2		i t a							
240-2		j u t i							
283-2		t e t							
293-2		j i n							
314-2		j a j i t							
315-2		j j e							
322-2		t e j a j e							
323-2		t e							
9-2		t j t t							
17-2		j j i t							
22-2		t a t a							
88-2		j j i							
158-2		j e j a							
159-2		j t i n							
177-2		j i a							
184-2		t j j a							
187-2		j a j j + i							
227-2		j j j							
235-2		j u j t j j i							
249-2		j u j t i							
289-2		j i t a j i							
294-2		t e j a							
296-2		n e n e j i j							
313-2		t a n							
316-2		n e j j n e i							
318-2		t u t j n i							
324-2		i s t							
326-2		j j							
1-3			a o tʃ i						
2-3			i i i i + n eː x + ʔ						
8-3			w eː j i						
16-3			i e s + t i						
24-3			iː s t						
32-3			m i ʔ aː						
51-3			+ o n + i						
52-3			w aː k + t o						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w						
60-3			iː x + t o o i ʔ						
83-3			t iː + u w t						
87-3			p a t aː t u i						
92-3			m a k a						
103-3			e + i						
106-3			k a k aː						
138-3			n aː						
139-3			iː ʔ w + t i a						
142-3			m a t i						
145-3			m i + t eː k a						
176-3			t aː k aː i						
179-3			n a k a + ʔ						
180-3			m eː w s + t i						
186-3			k eː tʃ						
190-3			j a k i + t						
194-3			s eː i i						
220-3			o h + t u i						
231-3			iː + t a						
240-3			k o tʃ i						
283-3			+ w t e + t						
293-3			iː n						
314-3			k + a i + w ʔ						
315-3			m e						
322-3			t e h w e h						
323-3			t aː i						
9-3			t aː t i + ʔ						
17-3			i i m i + ʔ						
22-3			t a t i a i i i i i i						
30-3			w i ts						
88-3			iː ʔ aː						
158-3			w eː w j aː k						
159-3			a t i j e i ʔ						
177-3			m iː w a k						
184-3			t o k a + i						
187-3			j a n k w i + k						
227-3			+ x aː l i						
235-3			m i t l i + w						
249-3			p aː k + t i						
251-3			+ i + i i i + k e ts a						
289-3			k w i t a p i l						
294-3			t aː						
313-3			t a n						
316-3			n e h + n e m i						
318-3			+ ʔ t o t n k i u						
320-3			+ u aː + t						
324-3			iː s t w k						
326-3			aː k aː						
1-4				a o tʃ o					
2-4				a k + n e x tɬ i					
8-4				w i i					
16-4				j e s h tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				h h o n + i +					
52-4				w a a + k i					
53-4				n a k a s					
54-4				tɬ o l i					
55-4				k w a w					
60-4				i x e l o l o					
83-4				tɬ e + + i tɬ i					
87-4				a a tɬ o n w i					
92-4				m a k					
103-4				m o + +					
106-4				k a k i					
138-4				n a a a					
139-4				m i k + t i a					
142-4				m a i					
145-4				m o t k a					
176-4				a o m a e					
179-4				n a k a tɬ					
180-4				m ts tɬ i					
186-4				k e tʃ + k o tɬ					
190-4				j e k a + tɬ l					
194-4				s i					
220-4				o a + i					
231-4				a					
240-4				k o tʃ i					
283-4				t t e h					
293-4				h i n + i					
314-4				k w a w i					
315-4				o m e					
322-4				t e a w a a					
323-4				tɬ i i					
9-4				t o t o + tɬ					
17-4				a a i					
30-4				w i ts					
88-4				i k i					
158-4				w e j a k + +					
177-4				m e j a k					
184-4				t o k o					
187-4				j a n k w i + k					
227-4				h h x o l i					
235-4				m o + tɬ o l i a					
249-4				a o k + tɬ i					
251-4				h h m o k e ts					
289-4				k w i tɬ a a i l					
294-4				t a a a					
296-4				n e n e i l a					
313-4				tɬ a n + k a					
316-4				n e a + n e m o					
318-4				h h + o t o n + k i					
320-4				h i h tɬ i					
324-4				i s a a k w					
326-4				a k i					
1-5					o k i				
2-5					e k				
8-5					e j i				
16-5					s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n + i				
52-5					a k + t o				
53-5					n a k a s				
54-5					t a h i				
55-5					a				
60-5					i k				
83-5					t i k + t i				
87-5					a t a n i				
92-5					m a k a				
103-5					m a k i k				
106-5					a k i				
138-5					n e h				
139-5					b i k + t i				
142-5					m a t i				
145-5					b o + t e a				
176-5					t a				
179-5					n a k a				
180-5					m e + t i				
186-5					e k				
190-5					j a k + t i				
194-5					s e				
220-5					o + t i				
231-5					i t a				
240-5					o k i				
283-5					t + t i				
293-5					i n + i				
314-5					b a k i				
315-5					oː k e				
322-5					t e e h				
323-5					t e				
9-5					t oː t oː + t				
17-5					o i				
22-5					t a t i				
30-5					i k				
88-5					i k i				
158-5					b e j a k t i k				
159-5					a t i k i				
177-5					m i a k				
184-5					t oː k a + t				
187-5					j a n i				
227-5					g oː h l i				
235-5					b o + t a l i a				
249-5					oː k + t i				
251-5					o + e a				
289-5					b b i t a k i l				
294-5					t e h				
296-5					n oː n oː b i				
313-5					t a n + t i				
316-5					n e h + n e k i				
318-5					t o t oː n i k				
320-5					k + t i				
324-5					i s t oː k				
326-5					a k				
1-6						n eː t			
2-6						t + m e + n e			
8-6						w e n j n			
16-6						e s t			
24-6						i s l			
32-6						m k			
51-6						m i n + iː n			
52-6						w aː k			
53-6						n a k a s			
54-6						t aː n l i			
55-6						aː t aː n			
60-6						iː x + t + + + + n			
83-6						t i n u + l			
87-6						x a t aː n			
92-6						a k a			
103-6						aː aː n n			
106-6						k a k			
138-6						n e + t			
139-6						m i k + t i a u			
142-6						aː a t l			
145-6						aː u + t eː n k a n			
176-6						t aː n u k a			
179-6						n a k a + t			
180-6						aː eː n x + t			
186-6						k e l m			
190-6						j a k + + l			
194-6						s eː			
220-6						u + + l u			
231-6						i n t a			
240-6						k eː			
283-6						t aː + l			
293-6						i n			
314-6						aː a w i + t			
315-6						eː + e n			
322-6						t e u + e +			
323-6						t e t u			
9-6						t eː t + t			
17-6						u + m + t			
22-6						t a t t i			
30-6						w i ts			
88-6						i k			
158-6						w e j a k			
159-6						a t i n			
177-6						i a k			
184-6						t eː k a +			
187-6						j a aː + k			
227-6						x aː l i			
235-6						aː u + t l i			
249-6						aː u k			
251-6						aː u + + + + k e ts a			
289-6						aː + i t a m i l			
294-6						t e + t			
296-6						n aː n aː w i			
313-6						t a n + m			
316-6						n e n e m			
318-6						t u t u n + k			
320-6						aː n + l			
324-6						i s l aː k			
1-7							e n e		
2-7							e n		
8-7							e e e		
16-7							e n e		
24-7							e n e		
32-7							e n e		
51-7							e n e		
52-7							e e n e n		
53-7							e n e n		
54-7							e		
55-7							e		
60-7							e n		
83-7							e		
87-7							e n e n e		
92-7							e n e		
103-7							e n		
106-7							e n e		
138-7							e		
139-7							e n e e		
142-7							e n e		
145-7							e e e		
176-7							e e		
179-7							e n e		
180-7							e e		
186-7							e n		
190-7							e e n		
194-7							e		
220-7							e n e		
231-7							e e		
240-7							e n e		
283-7							e		
293-7							e n		
314-7							e e e		
315-7							e n e		
322-7							e n e n e n		
323-7							e		
17-7							e e		
22-7							e n e		
30-7							e e		
159-7							e n e n		
251-7							e e e		
296-7							e n e n e n		
320-7							e		
326-7							e n n		
1-8								o ɨ	
2-8								n + tɬ ɨ	
8-8								w eː +	
16-8								s + tɬ ɨ	
24-8								ɨ s t iː + tɬ	
32-8								ɨ k	
51-8								o n + +	
52-8								w k + ɨ	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ iː l + ɨ	
55-8								w +	
60-8								t iː l o l o +	
83-8								tɬ iː + tɬ	
87-8								a tɬ iː +	
92-8								a k a	
103-8									
106-8								k a k	
138-8								n w + tɬ	
139-8								ɨ k + t ɨ +	
142-8								a t	
145-8								o + t eː k a +	
176-8								t iː k a + tɬ	
179-8								n a k a + tɬ	
180-8								eː + tɬ ɨ	
186-8								k iː + tɬ ɨ	
190-8								j a k + tɬ +	
194-8								s eː +	
220-8								o + tɬ ɨ	
231-8								t t a	
240-8								k o	
283-8								t iː + tɬ	
293-8								ɨ n	
314-8								w a w + + tɬ	
315-8									
322-8								t iː w n +	
323-8								tɬ iː +	
9-8								t iː t iː + tɬ	
17-8								o ɨ + tɬ	
22-8								tɬ a t ɨ +	
30-8								w ɨ	
88-8								k ɨ + tɬ	
158-8								w ɨ j a k +	
159-8								a t iː ɨ + tɬ	
177-8								ɨ a k	
184-8								t iː k iː + tɬ	
187-8								j a n w ɨ + k	
227-8								l + ɨ	
235-8								o + tɬ iː l ɨ +	
249-8								iː k + tɬ ɨ	
251-8								o + k iː a	
289-8								w ɨ tɬ a ɨ l + ɨ	
294-8								t iː w + tɬ	
296-8								n n + ɨ + ɨ	
313-8								tɬ a n + tɬ ɨ	
316-8								n + n ɨ	
318-8								t o + t iː n + ɨ	
320-8								tɬ	
324-8								ɨ s t k +	
326-8								k +	
1-9									m o tʃ iː + n
2-9									e k iː n e x tɬ
8-9									w e iː j iː
16-9									j e s + tɬ iː
24-9									i s ʰt tɬ
32-9									m iː k iː
51-9									iː iː iː n + i
52-9									w ø b + k iː
53-9									n ø k a s + tɬ iː
54-9									tɬ a iː l iː
55-9									k w a t
60-9									i x + t e l o l o a
83-9									tɬ e iː t e tɬ + tɬ iː
87-9									b ø tɬ a n
92-9									m ø k a
103-9									m a iː
106-9									k ø k iː
138-9									n e b w a tɬ
139-9									m iː k e + t iː a t e
142-9									m ø t iː
145-9									m o t e k a e
176-9									b a iː t k a + + tɬ
179-9									n ø k a + tɬ
180-9									m e e tɬ iː
186-9									k e tʃ t t + tɬ iː
190-9									j e k a + k iː
194-9									s e j a
220-9									o + tɬ iː t
231-9									i iː ʰt a
240-9									k o tʃ iː
283-9									iː iː e t e + tɬ iː
293-9									iː iː n + i n
314-9									k iː o w iː + e tɬ + tɬ
315-9									u m e
322-9									t e e w a n
323-9									tɬ e + t
9-9									t u t u + tɬ
22-9									tɬ b b b
30-9									iː w iː ts
88-9									i k iː + t
158-9									w e e j a k e t
159-9									b b b m a tɬ
177-9									m iː ø k e t
184-9									t u k a + tɬ + tɬ
187-9									j a n k w + k
227-9									x a l iː
235-9									m o + tɬ a l iː a tɬ
249-9									b u k + tɬ iː
251-9									iː iː m iː + t e l k e a
289-9									k w tɬ a b iː l t
294-9									t e b w a + e
296-9									n e n e + iː l t
313-9									tɬ a n
316-9									n e b + n e m iː
318-9									e e t u t o n k iː t
320-9									iː iː iː a tɬ + tɬ iː
324-9									e s ʰt e + a k t
326-9									ø k iː
