COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	θ r ɨ									
35-1	θ u tɕ i									
36-1	θ u ts ɨ									
48-1	n a g a s a r i									
60-1	θ u r ɴ r i									
63-1	s i r r i									
64-1	k i									
67-1	h w a									
68-1	n ɴ r i									
71-1	r ɴ tɕ i									
76-1	h u n									
83-1	ts ɨ n a									
87-1	h a n i g ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s aː θ ɴ r a									
103-1	ts ɨ m i									
110-1	θ ɨ									
116-1	m u n i									
120-1	n u ɴ u r i									
132-1	k i k a r i									
139-1	ɴ k u r u s u									
140-1	ʔ r u r i									
156-1	θ a tɕ u r r									
168-1	ts ɨ k i									
169-1	h a r s									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a u								
48-2		n a g u kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a w a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u i								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a r o r u								
168-2		ts u k i								
169-2		h o s i								
14-3			k o e							
18-3			a e							
35-3			h i t o							
36-3			h u t							
48-3			n a e							
60-3			t o r i							
63-3			s i r a m e							
64-3			k i							
67-3			i a							
68-3			n e							
71-3			i i							
76-3			h o n e							
83-3			u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a i n a							
99-3			k u i							
-102-3			i e a							
103-3			u m e							
110-3			t e							
116-3			i i n e							
120-3			n o m r							
132-3			k i k							
139-3			i k o r o s							
140-3			o o							
156-3			t a							
168-3			u k i							
169-3			h o s i							
14-4				k o r e						
18-4				d a j e						
35-4				h i t o t uː						
36-4				h t a t uː						
48-4				n a g a i						
60-4				t o j i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
