COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ a ⁵⁵								
495-1	n au ³⁵								
838-1	ɔ i ʔ ⁵⁵								
438-1	ȵ a ʔ ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	n i ³¹								
221-1	i p ⁵⁵								
202-1	k au ³¹								
935-1	au ³¹								
93-1	ts a ³¹								
7-1	p ɔ n ³¹								
664-1	o ŋ ³¹								
246-1	w ɔ ʔ ⁵⁵								
547-1	ʐ i ʔ ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	w ə ŋ ⁵⁵								
835-1	ɔ a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	ʐ au ʔ ⁵⁵								
493-1	n i ʔ ⁵⁵								
217-1	ɔ a p ⁵⁵								
896-1	x au ʔ ⁵⁵								
452-1	ȵ au ʔ ⁵⁵								
580-1	ɔ au ʔ ⁵⁵								
833-1	x a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	t au ŋ ⁵⁵								
384-1	m ɔ n ³⁵								
61-1	t a m ⁵⁵								
536-1	s a ʔ ⁵⁵								
731-1	ʂ i ³¹								
779-1	ɔ ⁵⁵								
589-1	tʰ ɔ ŋ ⁵⁵								
658-1	o m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x a ³¹								
714-1	au ⁵⁵								
331-1	l a ³¹								
930-1	a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	ui ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ a ʔ ⁵⁵								
727-1	ʂ a ŋ ⁵⁵								
260-1	ʐ a p ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p au m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ i ⁵⁵								
29-1	p i ⁵⁵								
316-1	tʰ w a ʔ ⁵⁵								
389-1	m ʐ a ŋ ³¹								
118-1	m ɔ ³⁵								
312-1	o ³¹								
490-1	n i ³⁵								
436-1	ȵ a ³¹								
927-1	x a n ⁵⁵								
383-1	m ɔ ʔ ³¹								
211-1	x a m ⁵⁵								
873-1	x ə ŋ ⁵⁵								
877-1	x a ³⁵								
