COGID	Albanian	English	French	German	Latin
560-1	ə n				
438-1	u r a				
1222-1	e u				
353-1	p ə u ʃ				
201-1	u n				
20-1	u ə e				
503-1	p ə ə n				
957-1	u				
728-1	u n ð				
244-1	n u m				
289-1	n u				
911-1	r u				
724-1	t r				
145-1	ə u				
992-1					
1181-1	a n				
741-1	p ə u				
560-2		k ə m			
438-2		ə r			
1222-2		o			
353-2		f j s			
201-2		f ə n			
20-2		f ɔ t n r			
503-2		f ə l ɪi			
957-2		j ɪ			
728-2		l a ŋ			
244-2		n o			
289-2		n a d t			
911-2		w ə r t l			
724-2		d r n m			
145-2		t w o t			
992-2		w o			
706-2		ə j			
106-2		f ə ð ə r			
741-2		h r o d			
421-2		b l ə m			
227-2		f o			
560-3			v a n		
438-3			d r r		
1222-3			ɔ v a		
353-3			p a		
201-3			k ɑ̃ r		
20-3			k a r ɛ r		
503-3			p l a a		
957-3			a r		
728-3			l ɔ r		
244-3			n ɔ r		
289-3			n a		
911-3			r r i		
724-3			t r r a		
145-3			d a l		
992-3			k a		
1181-3			d k r		
706-3			ɔ k l		
106-3			p a a r		
741-3			p a		
421-3			f l a a r		
227-3			p a l		
560-4				k k m	
438-4				o r ə	
1222-4				aː g	
353-4				f k i ʃ ə	
201-4				f u b	
20-4				f u n r	
503-4				f k e l	
957-4				e n	
728-4				l u ŋ ə	
244-4				n u m ə n	
289-4				n k u x t	
911-4				r aː t	
724-4				d r n	
145-4				t	
992-4				h iː	
1181-4				b h	
706-4				u ə	
106-4				f e ə r	
421-4				f l aː r	
227-4				f e ai	
560-5					w uː m o
438-5					a r iː
1222-5					l b o
353-5					p a s w o
201-5					s i l k aː
20-5					k a t u e s
503-5					p l uː n a
957-5					d e n
728-5					l o n gʷ r
244-5					n o m e n
289-5					n e d
911-5					r a t d e a
724-5					t r b e
145-5					d b uː
992-5					k iː
1181-5					g e n t o
706-5					o t u l o
106-5					p e t a r
741-5					p b uː t a
421-5					f l o i s
227-5					p i
