COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l a ⁵						
18-1	m j ḛ ŋ ⁵						
19-1	n j ɛ ʔ ⁵						
44-1	d l u k ⁴²						
50-1	ʃ d ɛ ŋ ³						
62-1	s ai ⁴²						
70-1	b a n ³						
75-1	m j ɔ ʔ ⁴²						
97-1	d tʃʰ a ŋ ³¹						
112-1	tsʰ u ⁵						
122-1	m j u k ⁴²						
127-1	kʰ j ei ³						
132-1	d j a ʔ ⁴²						
133-1	n ɛ ³						
135-1	n au ³						
142-1	d a w i ⁵						
143-1	d ŋ ɔ ʔ ⁴²						
149-1	d i ʔ ⁵⁴						
152-1	ŋ ɛ ³¹						
157-1	b ei ⁵						
183-1	d ei ⁵						
184-1	d n u ʔ ⁴²						
185-1	tsʰ a m ³¹						
189-1	m j ɔ ʔ ⁴²						
192-1	d n ɛ ³¹						
195-1	n ei ³						
200-1	d g a n ⁵						
216-1	s ɛ ŋ ⁵						
218-1	l ɔ ʔ ⁴²						
225-1	s ɛ ŋ ³						
235-1	kʰ j ɛ ⁵⁴						
244-1	s w ɔ ⁵						
253-1	m ei ³¹						
270-1	m ḛ ³						
278-1	m j ɛ ŋ ³						
279-1	d j a ³						
285-1	d j ɛ m ³¹						
308-1	d b a ⁵						
322-1	m i ⁵						
325-1	kʰ j au ⁵						
337-1	m j a ŋ ³¹						
341-1	d j ɔ ³						
347-1	ʃ j u k ⁴²						
362-1	d j i ⁵⁴						
391-1	j ɔ p ⁴²						
394-1	m ɔ ʔ ⁴²						
397-1	tʃʰ ɛ ⁵						
443-1	n j ɔ p ⁵⁴						
460-1	s a t ⁴²						
463-1	d j i ³						
464-1	ʔ ɔ ŋ ³						
473-1	s ɛ m ³						
476-1	kʰ j u k ⁵⁴						
481-1	tsʰ ɛ ³¹						
494-1	g j ei ³						
496-1	ʃ j ɛ ŋ ³						
516-1	d ei ³						
522-1	n ɔ ʔ ⁴²						
523-1	b j ɛ ³¹						
524-1	n ei ³						
540-1	kʰ ɔ ³						
3-1	b w ɛ ʔ ³						
6-1	g j i ⁵						
7-1	dʒ ɛ ³						
20-1	n a p ⁴²						
51-1	ŋ ³¹						
64-1	g j u ŋ ³						
65-1	g j u k ⁵⁴						
66-1	d j ei ³						
71-1	ʃ i ⁵						
72-1	ʔ a ³						
76-1	d ɔ ³						
77-1	m j ai ⁴²						
78-1	d m au ⁵						
82-1	b ɛ ŋ ⁵						
87-1	d ŋ ɔ ⁵						
93-1	l a m ⁵						
94-1	m j ɛ ŋ ⁵⁴						
100-1	d w ɔ n ³						
116-1	d l u ³						
119-1	d a ʔ ⁴²						
124-1	b j ɛ ³¹						
136-1	l w i ⁵						
137-1	kʰ j w au ³						
144-1	s w ɔ t ⁵⁴						
145-1	d u ŋ ³						
146-1	m au ⁵						
150-1	g j ɔ ʔ ⁴²						
154-1	m j w ɛ ³						
165-1	g j ɛ m ³						
166-1	b j ɔ ³¹						
169-1	g j a̰ ŋ ³¹						
170-1	b j ɔ ³¹						
171-1	j a ŋ ³						
174-1	l a̰ m ³¹						
181-1	m j ɔ ʔ ⁴²						
193-1	b ei ³						
205-1	n ɔ t ⁵⁴						
206-1	m w i m ³						
212-1	d tʃʰ ɔ ʔ ⁵⁴						
214-1	l ɛ m ³						
217-1	d ɛ ³						
224-1	n j w ɛ ⁵						
228-1	b au ³¹						
238-1	j w au ³						
241-1	ʃ ei ⁵						
246-1	g j ei ⁵						
256-1	ʔ a t ³¹						
257-1	b u k ⁵⁴						
272-1	m ɔ ³						
273-1	ʔ a ³¹						
274-1	m a ŋ ³¹						
286-1	kʰ j ɛ m ³						
289-1	kʰ u ŋ ³						
294-1	d ɛ ⁵						
301-1	j ɔ ʔ ⁴²						
306-1	kʰ j ɛ p ⁵⁴						
307-1	ŋ a̰ p ⁵⁴						
321-1	tʰ a ŋ ³¹						
331-1	d m j ɔ ³						
332-1	d l a̰ m ³¹						
335-1	g j ɔ ³¹						
336-1	n ɛ m ³¹						
340-1	ŋ au ⁵						
342-1	m j w au ³						
360-1	dʒ j ɛ p ⁴²						
376-1	d ɛ ʔ ⁴²						
389-1	n ai g j ³¹						
395-1	n u ³¹						
401-1	ʃ ɛ m ⁵⁴						
404-1	d j u ŋ ³						
408-1	d w ɔ ³¹						
409-1	l ɔ ³¹						
413-1	d j ɛ n ³						
421-1	m j u k ⁴²						
425-1	b j ɛ t ³¹						
430-1	tʃʰ ɛ t ⁵⁴						
442-1	d ɛ ⁵						
447-1	tʰ u ŋ ³						
456-1	g ɔ ³						
458-1	ʃ u ⁵						
469-1	kʰ j au ⁵						
470-1	d ɛ ³¹						
475-1	m ³						
477-1	n j ɛ t ⁵⁴						
478-1	d j ɛ t ⁵⁴						
480-1	g j au ⁵						
485-1	m j ɔ ³¹						
495-1	ŋ ei ³						
499-1	m j a̰ ŋ ³¹						
500-1	n j j ɛ m ³						
501-1	tʰ ɛ m ³¹						
506-1	dʒ a p ⁵⁴						
507-1	n ɔ ʔ ⁴²						
509-1	l ɛ ŋ ³						
510-1	b j ɛ ŋ ³						
511-1	l ɔ ʔ ⁴²						
521-1	h au ³¹						
525-1	n j w au ³						
538-1	d tʃʰ w au ³						
539-1	dʒ ɛ ŋ ³						
544-1	g j ɔ ʔ ⁵⁴						
550-1	tʰ w ɔ ʔ ⁴²						
562-1	m j u ŋ ³¹						
568-1	g ɛ ³¹						
2-1	kʰ u ŋ ³						
11-1	s ɛ ŋ k ⁵						
12-1	d j ɔ ʔ ⁴²						
22-1	g u ŋ ³¹						
28-1	b w ɔ ³¹						
29-1	tʰ ɛ ʔ ⁴²						
30-1	d a ŋ ³¹						
35-1	d l a ŋ ³						
38-1	dʒ w u ŋ ³						
42-1	b w ɛ ⁵						
46-1	tʃʰ u ³						
52-1	d w ɔ ʔ ⁴²						
55-1	b ɛ m ³						
69-1	d u k ⁵⁴						
79-1	g j a m ³						
83-1	tʃʰ w au ³						
86-1	j ḛ ŋ ³						
89-1	s a ŋ ³						
90-1	d j ɔ ʔ ⁴²						
91-1	d a ³						
92-1	kʰ ɛ ⁵						
106-1	g ɔ ⁵⁴						
120-1	tsʰ i i ʔ ⁴²						
