COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	d u ŋ							
37-1	l a ŋ							
46-1	l a ŋ							
98-1	kʰ a ŋ d a ŋ a							
125-1	b i a a ŋ l a							
162-1	l a m s i							
171-1	b a m p a							
219-1	d a ŋ p a							
247-1	d̪ a ŋ n a							
282-1	l u ŋ p u							
292-1	kʰ u ŋ							
301-1	l i							
354-1	ŋ a m t̪ a i							
363-1	ŋ a m a							
397-1	kʰ a m d a							
406-1	kʰ a m u ŋ							
426-1	m u t p a							
473-1	i ŋ d a ŋ							
499-1	ŋ a m i ŋ							
526-1	k a r a							
544-1	kʰ u							
553-1	k u tʃ i ŋ							
599-1	g a i d a ŋ							
608-1	kʰ a ŋ p a							
617-1	l e ŋ							
645-1	i z a							
663-1	m o ŋ tʰ a ŋ							
672-1	d o ŋ p a							
681-1	n i ɾ i							
690-1	l u ŋ							
708-1	d̪ a n a ŋ p u							
717-1	d u k p u							
726-1	z i							
744-1	i g a							
782-1	z i							
791-1	z a							
800-1	z a							
809-1	m a m n a ŋ							
836-1	b s i							
881-1	l e m							
890-1	ŋ i a a							
899-1	s a m							
926-1	d u m							
944-1	g a l a ŋ							
953-1	ʃ a n a ŋ							
980-1	ŋ a l u ŋ							
998-1	b i tʃ i							
1022-1	kʰ ɲ i tʰ u ŋ							
1031-1	b i n i m a							
1069-1	d̪ o j a m d a u							
1079-1	ʃ ŋ d a a a							
1098-1	ŋ a ŋ p a j							
1117-1	b u ŋ							
1141-1	ɾ i ŋ p a							
1189-1	l u ŋ							
1198-1	ŋ u							
1208-1	b a l a							
1217-1	l a m i g							
1253-1	a m a							
1271-1	ŋ a ŋ i ŋ							
1289-1	l u ŋ							
1316-1	ŋ u ŋ							
1325-1	kʰ u m							
1334-1	s i ŋ p a							
1343-1	b ɲ i n a ŋ							
1361-1	l i n a ŋ a							
1370-1	ŋ a i ŋ							
1388-1	ŋ a ŋ p a							
1397-1	d u ŋ							
1406-1	d u ŋ							
1424-1	g i ɾ a ŋ b e k a r m							
1433-1	z u g u							
1442-1	l e m							
1451-1	b u tʃ i ŋ							
1468-1	k a t p a							
1477-1	ŋ a m							
1502-1	ŋ a m u							
1511-1	m u d̪ i a ŋ p a							
1529-1	tʰ u l u							
1538-1	s u m u							
1557-1	d a n l u ŋ							
10-2		d u ŋ						
37-2		s a m						
46-2		s a m						
98-2		kʰ a ŋ d i ŋ a						
125-2		b o j u ŋ m a						
162-2		l e a d i						
171-2		dʒ a m p a						
219-2		tʃʰ a ŋ p u						
247-2		tʃʰ a ŋ l a ŋ						
282-2		l u ŋ p u						
292-2		kʰ u ŋ						
301-2		l i						
354-2		ŋ a m t u tʃ i						
363-2		ŋ a m pʰ a						
397-2		kʰ a m d i						
406-2		kʰ a tʃ u						
426-2		m u k p a						
473-2		tʰ i ŋ tʃ a ŋ						
499-2		ŋ a m i ŋ						
526-2		k a ʃ a						
544-2		kʰ u						
553-2		k o tʃ i ŋ						
599-2		kʰ e i tʃ a ŋ						
608-2		kʰ a ŋ p a						
617-2		l e ŋ						
645-2		i z a						
663-2		s o ŋ tʰ u ŋ						
672-2		d o ŋ p a						
681-2		n i ŋ i						
690-2		ʃ u ŋ						
708-2		d̪ a ŋ l i ŋ b i						
717-2		d u k p u						
726-2		z i						
744-2		i a						
782-2		z i						
791-2		z a						
800-2		z a						
809-2		ŋ o m n a ŋ						
836-2		b tʃ i						
881-2		l e m						
890-2		ŋ i m a						
899-2		s a m						
926-2		s u m						
944-2		g o r u ŋ						
953-2		ʃ a n a ŋ						
980-2		ŋ a r u ŋ						
998-2		b i tʃ i						
1022-2		kʰ a o tʰ u ŋ						
1031-2		b i n i ŋ s u a						
1069-2		t o j a ŋ u						
1079-2		ʃ i n dʒ i l a						
1098-2		ŋ a ŋ k u						
1117-2		d u ŋ						
1141-2		ɾ i ŋ b i						
1189-2		s u ŋ						
1198-2		ŋ u tʃ						
1208-2		z a m a						
1217-2		ŋ a m i b						
1253-2		a m a						
1271-2		n o ɲ i ŋ						
1289-2		ʃ u ŋ						
1316-2		ŋ u ŋ						
1325-2		kʰ u m						
1334-2		s i ŋ tʃ a						
1343-2		b e i n i ŋ						
1361-2		l i n a ŋ b						
1370-2		n a tʃ i ŋ						
1388-2		ŋ a ŋ p a						
1397-2		d u ŋ						
1406-2		d u ŋ						
1424-2		g i l a ŋ b u u i ɾ						
1433-2		ʃ u g i						
1442-2		l e m						
1451-2		b o tʃ a ŋ						
1468-2		d a k p a						
1477-2		ŋ a m						
1502-2		ŋ a m u						
1511-2		m u a i l u ŋ b i						
1529-2		tʰ u l u						
1538-2		s u m u						
1557-2		kʰ e ŋ tʰ u ŋ						
10-3			kʰ u ŋ					
37-3			ŋ u ŋ					
46-3			ŋ u ŋ					
98-3			kʰ o ŋ tʃ i ŋ a					
125-3			b o a a ŋ ɾ a					
162-3			l e m s a					
171-3			dʒ a m p a					
219-3			d a ŋ p u					
247-3			tʰ a ŋ l a ŋ					
282-3			l u ŋ p u					
292-3			kʰ u ŋ					
301-3			l i					
354-3			ŋ a m b a tʃ i					
363-3			ŋ a m b u					
397-3			kʰ a m p i					
406-3			kʰ a u					
426-3			m ŭ p a					
473-3			tʰ i ŋ tʃ a ŋ					
499-3			ŋ a m i ŋ					
526-3			g a ŋ j a					
544-3			kʰ u					
553-3			k o tʃ i ŋ					
599-3			g o i p a ŋ					
608-3			tʰ o ɲ p u					
617-3			l u ŋ					
645-3			u z a					
663-3			s o ŋ tʰ u ŋ					
672-3			d o ŋ p a					
681-3			n i ɾ i					
690-3			ʃ u ŋ					
708-3			dʒ a ŋ n i ŋ p u					
717-3			d̪ u k p u					
726-3			z i					
744-3			i j a					
782-3			z i					
791-3			z u					
800-3			z u					
809-3			ŋ o m n a ŋ					
836-3			b j z i					
881-3			l u m					
890-3			ŋ i m a					
899-3			s e m					
926-3			kʰ u m					
944-3			g o l u ŋ					
953-3			ɕ j a n a ŋ					
980-3			ŋ o ɲ u ŋ					
998-3			b i tʃ i					
1022-3			kʰ a o k u ŋ					
1031-3			b i n a ŋ tʰ o l a					
1069-3			t o ŋ a ŋ b u ŋ					
1079-3			ɕ a ŋ ŋ a a a					
1098-3			ŋ a ŋ b u l a					
1117-3			d u ŋ					
1141-3			ɾ i ŋ p u					
1189-3			l u ŋ					
1198-3			ŋ u					
1208-3			z a m a					
1217-3			l a ɲ i k u					
1253-3			a m a					
1271-3			ŋ o ŋ i ŋ					
1289-3			ʃ u ŋ					
1316-3			ŋ u ŋ					
1325-3			kʰ u m					
1334-3			s i ŋ p a					
1343-3			b u i n i ŋ					
1361-3			l i n a ŋ					
1370-3			ŋ a tʃ u ŋ					
1388-3			ŋ a m p a					
1397-3			tʃʰ u ŋ					
1406-3			d u ŋ					
1424-3			g a ɾ a ŋ b a tʰ a ŋ					
1433-3			z u g u					
1442-3			l u m					
1451-3			b i tʃ i ŋ					
1468-3			g ŭ p a					
1477-3			ŋ a m					
1502-3			ŋ a m p u					
1511-3			m a a a l u ŋ b a					
1529-3			tʰ u ŋ u					
1538-3			s u m u					
1557-3			t e ŋ tʃ u ŋ					
10-4				d u ŋ				
37-4				l u ŋ				
46-4				l u ŋ				
98-4				kʰ a ŋ tʃʰ i ŋ a				
125-4				b i n a ŋ m a				
162-4				l e m s i				
171-4				d a m p a				
219-4				g a ŋ p u				
247-4				pʰ a ŋ n a ŋ				
282-4				l u ŋ p u				
292-4				kʰ u ŋ				
301-4				l i				
354-4				ŋ a m tʃʰ a ŋ i				
363-4				ŋ a m p u				
397-4				kʰ a m p i				
406-4				kʰ a m u ŋ				
426-4				m u t p a				
473-4				t i ŋ tʃʰ a ŋ				
499-4				ŋ a m i ŋ				
526-4				kʰ a ɕ a				
544-4				kʰ u				
553-4				k u tʃ i ŋ				
599-4				kʰ a ŋ tʃʰ a ŋ				
608-4				kʰ a ɲ p a				
617-4				l u ŋ				
645-4				i z a				
663-4				s o ŋ tʰ u ŋ				
672-4				d o ŋ p a				
681-4				n i ɾ i				
690-4				ʃ u ŋ				
708-4				t a n ɲ i ŋ p u				
717-4				d u k p u				
726-4				z i				
744-4				i g a				
782-4				z i				
791-4				z a				
800-4				z a				
809-4				m a m n a ŋ				
836-4				b s i				
881-4				l e m				
890-4				ŋ i ŋ a				
899-4				s a m				
926-4				kʰ u m				
944-4				g a r a ŋ				
953-4				ɕ a a n a ŋ				
980-4				ŋ a r u ŋ				
998-4				b i g i				
1022-4				kʰ ɲ u tʰ u ŋ				
1031-4				b i n a m o k a				
1069-4				t o n a ŋ tʃʰ m ŋ				
1079-4				ɕ ŋ tʃʰ a a a				
1098-4				ŋ a ŋ tʃʰ a m				
1117-4				d u ŋ				
1141-4				ɾ i ŋ p u				
1189-4				z u ŋ				
1198-4				ŋ u n u				
1208-4				z a m a				
1217-4				l a m i ŋ u				
1253-4				a z a				
1271-4				ŋ a ŋ i ŋ				
1289-4				ʃ u ŋ				
1316-4				ŋ u ŋ				
1325-4				kʰ u m				
1334-4				s i ŋ p a				
1343-4				b ɾ i n a ŋ				
1361-4				l i n a ŋ a ŋ				
1370-4				ŋ a tʃ i ŋ				
1388-4				ŋ a ŋ p a				
1397-4				d u ŋ				
1406-4				d u ŋ				
1424-4				g i z a ŋ b k tʰ i r a				
1433-4				z u g u				
1442-4				l e m				
1451-4				b u tʃ i ŋ				
1468-4				g u t p a				
1477-4				ŋ a m				
1502-4				ŋ a m p u				
1511-4				m u p t̪ j o ŋ p a				
1529-4				t u l u				
1538-4				s u l u				
1557-4				kʰ a ŋ p u ŋ				
10-5					kʰ u ŋ			
37-5					ŋ u ŋ			
46-5					ŋ u ŋ			
98-5					kʰ a ŋ tʃ i ŋ a			
125-5					b i l a ŋ ɾ a			
162-5					l e m d i			
171-5					dʒ a m b a			
219-5					d u ŋ p u			
247-5					d a ŋ n u ŋ			
282-5					l u ŋ p u			
292-5					kʰ u ŋ			
301-5					l i			
354-5					m a m b a i			
363-5					ŋ a m b u			
397-5					kʰ a m p i			
406-5					kʰ a tʃ u			
426-5					ŋ u k p a			
473-5					tʰ o n tʃ a ŋ			
499-5					ŋ a m i ŋ			
526-5					g a ŋ a			
544-5					kʰ u			
553-5					k i tʃ i ŋ			
599-5					g o i p a ŋ			
608-5					kʰ a n p i			
617-5					l u ŋ			
645-5					i z a			
663-5					s o ŋ p u ŋ			
672-5					tʃ o ŋ p a			
681-5					ŋ i ɾ i			
690-5					l u ŋ			
708-5					dʒ a ŋ n i ŋ b u			
717-5					tʃ u k p u			
726-5					s i			
744-5					l g a			
782-5					ɾ i			
791-5					z a			
800-5					z a			
809-5					m a m n a ŋ			
836-5					b s i			
881-5					l u m			
890-5					ŋ i m a			
899-5					s e ŋ			
926-5					kʰ u ŋ			
944-5					g a ɲ u ŋ			
953-5					ʃ a n a ŋ			
980-5					ŋ a r u ŋ			
998-5					b i tʃ i			
1022-5					kʰ e i kʰ u ŋ			
1031-5					b i n a ŋ u a n			
1069-5					t o j a ŋ b n			
1079-5					ʃ n kʰ a a a			
1098-5					ŋ a ŋ p u			
1117-5					tʰ u ŋ			
1141-5					ɾ i ŋ p u			
1189-5					l u ŋ			
1198-5					ŋ u			
1208-5					ŋ a m a			
1217-5					l i ɲ i			
1253-5					a m a			
1271-5					ŋ o ŋ a ŋ			
1289-5					l u ŋ			
1316-5					ŋ u ŋ			
1325-5					kʰ u m			
1334-5					s i ŋ b a			
1343-5					b u i n a ŋ			
1361-5					l i n a ŋ			
1370-5					ŋ a tʃ u ŋ			
1388-5					ŋ a ŋ p a			
1397-5					z u ŋ			
1406-5					d u ŋ			
1424-5					g o l a ŋ tʃ n kʰ a ŋ			
1433-5					z u g u			
1442-5					l u m			
1451-5					b i tʃ a ŋ			
1468-5					tʃ a t p a			
1477-5					ŋ a m			
1502-5					ŋ a m a			
1511-5					m u tʃ n l a ŋ b a			
1529-5					tʰ u ŋ u			
1538-5					s u ŋ u			
1557-5					tʃ u ŋ p u ŋ			
10-6						d u ŋ		
37-6						s a ŋ		
46-6						s a ŋ		
98-6						kʰ o ŋ tʃ i ŋ a		
125-6						b o a a ŋ m a		
162-6						l e i d i		
171-6						dʒ a m p a		
219-6						k o ŋ p u		
247-6						tʰ e ŋ l u ŋ		
282-6						l u ŋ p u		
292-6						kʰ u ŋ		
301-6						l i		
354-6						ŋ a m b u tʃ i		
363-6						ŋ a m b a		
397-6						kʰ a m p i		
406-6						kʰ o tʃ u		
426-6						m u t p a		
473-6						t̪ i ŋ tʃ a ŋ		
499-6						ŋ a m i ŋ		
526-6						k a r a		
544-6						kʰ u		
553-6						k o tʃ i ŋ		
599-6						kʰ e i t a ŋ		
608-6						kʰ o ŋ d a		
617-6						l e ŋ		
645-6						i z a		
663-6						s o ŋ tʰ u ŋ		
672-6						d o ŋ p a		
681-6						n i ɾ i		
690-6						ʃ u ŋ		
708-6						d̪ o m ɲ u ŋ b a		
717-6						d u k p u		
726-6						z i		
744-6						i w a		
782-6						z i		
791-6						z a		
800-6						z a		
809-6						m o m n a ŋ		
836-6						b s i		
881-6						l e m		
890-6						ŋ i w a		
899-6						s a m		
926-6						s u m		
944-6						g i n u ŋ		
953-6						s a n a ŋ		
980-6						ŋ a n u ŋ		
998-6						b i tʃ i		
1022-6						kʰ a i tʰ u ŋ		
1031-6						b i n a ŋ u l a		
1069-6						t o ŋ j ŋ		
1079-6						ʃ r l a l a		
1098-6						ŋ e ŋ b u		
1117-6						d u ŋ		
1141-6						ɾ e ŋ b u		
1189-6						s u ŋ		
1198-6						ŋ u tʃ		
1208-6						b a m a		
1217-6						l a m i		
1253-6						a m a		
1271-6						ŋ o ŋ i ŋ		
1289-6						ʃ u ŋ		
1316-6						ŋ u ŋ		
1325-6						kʰ u m		
1334-6						s i ŋ p a		
1343-6						b u i n i ŋ		
