COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	ts ɯ ³³								
5487-1	t ɯ ²¹								
1401-1	p ɔ ³¹								
6496-1	ʈʂ ɯ ³¹								
1064-1	l a ³⁵								
1065-1	ts ɿ ³³								
6617-1	t ɔ ²¹								
4367-1	t a ⁴⁴								
4378-1	ɕ i ⁵⁵								
4379-1	l i ⁵⁵								
3984-1	s e ³³								
5086-1	ʈʂ ɤ ³³								
3333-1	s e ⁴⁴								
2226-1	x a ³³								
2373-1	kʰ ɔ ³³								
2363-1	s ɔ ³³								
672-1	tsʰ ɿ ⁵⁵								
673-1	k ɯ ²¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1	ts ɔ ⁴²								
2617-1	ʂ ɯ ³³								
2066-1	ʂ ɯ ³³								
2094-1	ʂ ɯ ³³								
2096-1	kʲ ɛ ⁴²								
798-1	p a ⁴²								
6668-1	ɕ i ³³								
4028-1	t e ⁴⁴								
6555-1	k w a ⁴⁴								
2281-1	k a ³⁵								
701-1	k w a ⁴⁴								
628-1	s w a ⁴⁴								
3096-1	ts ɿ ³³								
3021-1	ʈʂ ɔ ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s e ³³								
6469-1	s ɔ ³³								
4454-1	ɲ i ⁴⁴								
4455-1	k a ³⁵								
6926-1	ɲ ɛ ⁴⁴								
6927-1	ɲ i ⁴⁴								
3916-1	m ɛ ³³								
6822-1	t ɲ a ⁴⁴								
5417-1	ts ɿ ³³								
1959-1	x ɔ ⁵⁵								
1960-1	t ɤ ⁴²								
2899-1	x ɔ ⁵⁵								
3651-1	ts ɿ ³³								
811-1	k ɛ ²¹								
1633-1	m ɛ ²¹								
1775-1	k a ³⁵								
5801-1	kʲ ɛ ⁴²								
4769-1	l ɔ ³¹								
3720-1	k a ³⁵								
6446-1	m ɛ ³³								
1255-1	p ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ²¹								
242-1	ts ɿ ⁵⁵								
3739-1	kʲ ɛ ²¹								
5984-1	ts ɔ ²¹								
838-1	s ɔ ³³								
839-1	t ɔ ³¹								
3149-1	j i ⁴⁴								
2829-1	ʈʂ ɤ ²¹								
4602-1	tɕ i ⁴⁴								
5225-1	l ɔ ²¹								
3933-1	s ɤ ³¹								
5763-1	ts ɔ ⁴²								
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ³⁵								
5704-1	ʈʂ ɔ ⁴²								
5705-1	kʰ w ɔ ⁵⁵								
5037-1	tɕʰ i ⁵⁵								
5038-1	t a ³⁵								
4332-1	ts ɿ ³³								
