COGID	1	10	2	3	4	5	6	7	8	9
2689-1	s ɛ z a									
893-1	a a n a b a									
1285-1	β ɛ u i									
1303-1	s s ɛ z a									
2197-1	s k ɛ i i									
2828-1	β ɛ n a									
3572-1	s a n i									
1095-1	β i z a									
1755-1	ɔ n u									
1789-1	k i s a a n g a									
3207-1	β ʊ s i									
3519-1	m ʊ m u									
3686-1	a i n b a									
4249-1	β ʊ z i									
4451-1	m i s i									
448-1	l ɛ ŋʰ i l a									
630-1	β ɛ a i i									
814-1	s a á m b i									
1216-1	g i g i b n									
1228-1	p ʊ a a									
1418-1	s a β ɔ n a a									
1475-1	k i u									
2026-1	t ʊ i i									
2775-1	s a ɔ m b a									
3397-1	k a s a									
3826-1	s ʊ k i									
4003-1	i i ʊ n a									
4040-1	g ɛ n i									
4373-1	β a z i									
4384-1	a z i									
84-1	s u g a a a									
116-1	g i k a									
181-1	s i ɔ n g a									
419-1	ʊ h a									
587-1	a ɔ n d a									
660-1	n n a									
848-1	k ʊ l i									
1083-1	z i l a									
1122-1	g i t a									
1159-1	t ɛ									
1350-1	l ʊ i a									
1374-1	s n a a n a									
1396-1	g ɛ n a									
1430-1	a t s i									
1666-1	l i a n ɔ									
1767-1	k a g i									
1906-1	ɔ n g a l a									
2177-1	n g h a									
2286-1	ɛ ɛ									
2317-1	β ʊ g a									
2419-1	s i s a									
2750-1	ɛ ɔ z i									
3018-1	s i s i									
3275-1	k i a n n									
3441-1	s a á n g i									
3464-1	ʃ n n									
3639-1	p i l i m ɛ l a									
3885-1	l a s i									
3981-1	i ɔ m i ŋ a									
4192-1	s i i n z a									
4260-1	z ʊ i a									
4350-1	β ɛ a n b i									
43-1	b ɔ ɔ m a									
93-1	m n u									
200-1	β i i									
374-1	ɲ a a ɔ a a a									
459-1	l u m a									
508-1	β ɛ l a									
528-1	β a s i									
575-1	t i i									
871-1	l i l a									
1137-1	β ɛ g a									
1339-1	p ʊ i i									
1585-1	ɔ a l a									
1712-1	s l n									
1872-1	p w i									
2088-1	g i s a									
2166-1	n a á m g a									
2334-1	g i h u									
2393-1	s i n a									
2537-1	s a s i									
2665-1	i ʊ n g a									
2738-1	β ɛ a i i									
2872-1	k i s i									
2893-1	k i k ʊ a									
2997-1	s a g n b a									
3075-1	k u l a b a									
3675-1	l ɛ a a l a									
4028-1	t i ɛ									
4137-1	m a l a									
4238-1	u i s i z i									
4316-1	t i l a									
4429-1	p a s i									
4440-1	m i l i									
4485-1	s i									
4574-1	l i i a l a									
4688-1	ɔ ɔ m n a									
143-1	ʃ u a									
240-1	ʊ ʊ g a									
388-1	n n g ʊ m a									
401-1	z i									
599-1	dʒ a g m l i									
649-1	l ɛ a t a									
755-1	k i l a									
836-1	s a ɔ m g a									
969-1	a s a									
994-1	ɔ ɔ m b a									
1006-1	l ɔ ɔ ŋ g a									
1032-1	k ɔ ɔ j l a									
1043-1	m a l a									
1110-1	t ɛ m a									
1263-1	t a i a									
1273-1	l ɛ ɛ n a									
1329-1	a k a a l a									
1362-1	d i									
1606-1	ɔ á l a									
1617-1	p ʊ k a									
1629-1	f i i a									
1744-1	i s a a									
1895-1	ʊ a									
1917-1	s a m a									
1969-1	t ʊ ɔ m a									
1989-1	g i g a									
2037-1	ŋ k ɔ l a									
2128-1	s a á m g a									
2186-1	g i h a									
2483-1	k a s i									
2592-1	ɔ l a									
2615-1	p ɛ i									
2700-1	g a á n l a									
2784-1	d ʊ l a									
2797-1	l ɔ m ɔ									
2884-1	b p j a a									
2904-1	s i ɔ n ʊ a a									
2972-1	t ɛ i									
3030-1	a i p a									
3148-1	i s a									
3160-1	i n a									
3261-1	p j a a									
3364-1	g ɔ t a									
2689-2		w u m a								
893-2		o á n d b a								
1303-2		n k u m a								
2197-2		s g u a a								
2828-2		w u n a								
3572-2		s u n a								
1095-2		l u m a								
1789-2		v o l a a n g a								
3207-2		w u l a								
3519-2		g u m a								
3686-2		l i m b a								
4249-2		b u s a								
4451-2		v i n a								
448-2		w u g p l o								
630-2		v á á l a								
814-2		n o m b a								
1216-2		t o v l g a								
1228-2		u a a								
1418-2		s á l a n a a								
1475-2		k n a								
2026-2		u i a								
3826-2		w u g a								
4003-2		n o o v a								
4373-2		l u l a								
4384-2		á l a								
84-2		s u g u l a								
116-2		s u t a								
419-2		w o v a								
587-2		o a ŋ b a								
660-2		n o n a								
848-2		k u l a								
1122-2		v o n a								
1159-2		w a								
1350-2		w u a a								
1374-2		n d a a n a								
1906-2		o n g a l a								
2419-2		s u t a								
2750-2		u u n a								
3441-2		s o o ŋ g a								
3464-2		n o n a								
3639-2		t o a o m b g a								
3981-2		a a l a l a								
4192-2		s o o m b a								
4350-2		s u á l a o								
278-2		l a								
3971-2		g u m a								
55-2		t u m a								
43-2		s w g l a								
93-2		k o n a								
459-2		w o m a								
1137-2		v i g a								
1585-2		u u l a								
1872-2		p u a								
2166-2		w o u m b a								
2872-2		tʃ u v a								
2997-2		s o á m b a								
3075-2		p u l a l a								
3675-2		w u a a l a								
4137-2		w u l a								
4238-2		a u g a l a								
4316-2		k o t a								
4574-2		w u a a l a								
3067-2		n t u								
3531-2		á a n u n a								
1033-2		s a n a o o o a								
3185-2		s o i k a								
794-2		t a e p k a								
143-2		v a a								
240-2		oː a g a								
388-2		t a g a m a								
599-2		t a o m b a								
969-2		u v a								
994-2		p u g a g a								
1606-2		oː t a								
1629-2		k n a a								
1895-2		g a								
2592-2		w u l a								
2884-2		p p a l a								
3148-2		o t a								
3261-2		dʒ u g a								
2689-3			p e l a							
893-3			i a m a d a							
1285-3			β e a a							
1303-3			s k o l a							
2197-3			β a l a							
2828-3			l e l a							
3572-3			β e l a							
1095-3			l i l a							
1755-3			i n u							
1789-3			k o l a a ŋ g a							
3207-3			p u l a							
3519-3			tʰ u s a							
3686-3			tʰ ìì l b u							
4249-3			x o l u							
4451-3			s o n a							
448-3			u a s a							
630-3			β e á l a							
1216-3			f o m a n a							
1228-3			b u e a							
1418-3			β i l i d d a							
1475-3			k e a							
3397-3			β e l a							
4003-3			a a a x a							
4040-3			x e l u							
4373-3			l e l i							
4384-3			i l a							
181-3			f o o n b a							
419-3			l u k u							
587-3			u a n g a							
660-3			l o l u							
1083-3			s i l a							
1350-3			β e a							
1374-3			s a a n a							
1396-3			β o f a							
1666-3			tʰ a a n o							
1767-3			tʰ e k a							
1906-3			a m k a l a							
2177-3			s k o n o							
2286-3			l a							
2317-3			β i x a							
2750-3			e j s i							
3275-3			p u a n a							
3464-3			l a n a							
3639-3			o tʰ a m u a a							
3981-3			o o m a l a							
4192-3			ìì a n b a							
4260-3			s e e a							
4350-3			β e á l a a							
278-3			l a							
745-3			x e k a							
3971-3			x o l o							
93-3			k u ɲ u							
200-3			β e a							
374-3			r i a l a a a							
508-3			f e f a							
528-3			β e l a							
1137-3			β e k a							
1585-3			a a l a							
1712-3			s u l a							
2088-3			s i n a							
2334-3			s i k a							
2393-3			s e n a							
2665-3			a u n g a							
2738-3			β e a l a							
3675-3			l e e a l a							
4137-3			m o l a							
4440-3			tʰ i l i							
4574-3			l a a a l a							
4688-3			a a l u u							
2798-3			s l u							
3067-3			n k e							
3531-3			i a l i x a							
3767-3			l u							
4632-3			k u l u							
401-3			s i							
649-3			l e e k a							
755-3			k i l o							
1032-3			f o o a l a							
1043-3			tʰ a l a							
1273-3			l o o r a							
1362-3			k u a							
1895-3			k a							
2615-3			tʰ a a							
2784-3			tʰ a l a							
2904-3			k ìì a n b a a							
2689-4				t o m a						
893-4				e á n e a						
1285-4				s o a i						
3572-4				s o ɲ a						
1755-4				i m a						
1789-4				b e o á a ŋ g a						
3686-4				á e ŋ g a						
4451-4				b e s a						
1216-4				b o n i a						
4003-4				ts a á dʒ a						
419-4				á ɔ g ɔ						
1122-4				b o n e						
1430-4				a n s a						
1666-4				á o á r a						
1767-4				k ɔ r a						
55-4				t a m a						
94-4				b o g i						
2717-4				b l o ŋ g a						
1339-4				t o i i						
4632-4				ts ɔ r a						
2784-4				ts á r o						
3160-4				s o r a						
2689-5					β u m a					
893-5					i n u d a					
1285-5					l w					
1303-5					β k u l					
2197-5					s k u l					
2828-5					β u l a					
3572-5					s u n a					
1095-5					β u l					
3207-5					β u l a					
3519-5					l u l a					
3686-5					u u n d a					
4249-5					k u l a					
448-5					β u k p l a					
630-5					β e u l a					
814-5					t u n g					
1228-5					p u a					
1418-5					β i l l					
2026-5					t u i					
2775-5					k u n g					
3397-5					β e l					
3826-5					s u p					
4040-5					s e n					
4373-5					l u l i					
4384-5					i l a					
84-5					l u k a l					
116-5					f i p i					
587-5					u n d a					
848-5					tʃ u l a					
1159-5					f a					
1350-5					l u a					
1396-5					β u β a					
1430-5					i t ʃ i					
1767-5					k e					
2286-5					l a					
2317-5					β u k a					
2419-5					s i p i					
2750-5					e a ʃ i					
3018-5					k i l i					
3275-5					t u n a					
3441-5					s e n g					
3885-5					t i n i					
4192-5					u u n d a					
4260-5					s e					
4350-5					β e a l					
278-5					β u					
745-5					β u f					
3971-5					β u m a					
55-5					l i m a					
94-5					k u n u					
2717-5					k k u n g u					
4139-5					s u n					
200-5					β e					
374-5					t a l a a					
508-5					β l k a					
528-5					β e l					
575-5					t u					
1137-5					β a a					
1339-5					k u u					
1872-5					p u					
2537-5					s i n i					
2738-5					β e u l					
2872-5					k á l i					
2893-5					k u k p					
3675-5					β a á a l a					
4028-5					t u					
4238-5					a s o d					
4429-5					t i ʃ i					
4485-5					s u					
2798-5					s l					
3531-5					i u l u l a					
3767-5					l u					
4632-5					β u l					
1033-5					k o n u o l					
3185-5					f i u g i					
649-5					β a a l a					
1110-5					t e					
1263-5					t e					
1273-5					β a a l a					
1329-5					a t a u					
1617-5					k u k					
1917-5					t a l					
1969-5					a u n					
2483-5					k á l i					
2615-5					p j					
2700-5					t a n d a					
2884-5					tʃ p j					
2972-5					t i					
3030-5					s i p i					
3261-5					p u d a					
1303-6						l k o p				
1755-6						a m e				
448-6						ɲ ɔ ɲ ɔ ŋ ɔ				
1475-6						k l i				
3397-6						s u l				
2286-6						l a				
278-6						s i				
2717-6						l l ɔ n d ɔ				
4137-6						s i i i				
3767-6						l a				
1033-6						k ɔ k d d l				
2689-7							u m a			
893-7							o a n i k a			
1285-7							f w u a			
1303-7							s t o m a			
2197-7							n á o a			
2828-7							s e ɲ a			
3572-7							z e l i			
1095-7							u m a			
1755-7							o ɲ u			
1789-7							h o r o a ŋ g a			
3519-7							u m a			
3686-7							u e ŋ b a			
4249-7							k u m e			
4451-7							k u v u			
814-7							n o o ŋ k a			
1216-7							ɣ o r i v a			
1475-7							ɣ ɲ u			
2026-7							t e e			
2775-7							z á m b a			
3826-7							z u v a			
4003-7							u a k a			
4040-7							e ɲ e			
84-7							ʃ i ɣ á a			
116-7							f u t a			
181-7							h a i n g a			
419-7							n o k a			
587-7							o ŋ k a			
660-7							n o l a			
848-7							h o a			
1122-7							tʃ a n i			
1159-7							z i			
1374-7							n s a e n i			
1396-7							k u v u			
1430-7							i ʃ s i			
1906-7							e n g a a			
2177-7							ɣ o dʒ i			
2419-7							z e h a			
3018-7							s i i			
3275-7							p á e n a			
3441-7							z o a ŋ k a			
3464-7							v o ɲ a			
3639-7							t o w o m i o a			
3885-7							n i m i			
4192-7							f i a n z a			
745-7							k o k a			
3971-7							k o l o			
55-7							u m e			
2717-7							b r e ŋ g a			
4139-7							z u v u			
93-7							h o ɲ i			
459-7							r o m a			
575-7							t e			
1712-7							s o ɲ u			
2088-7							s e k a			
2166-7							n a a m b a			
2334-7							s e ɣ a			
2393-7							e ɲ e			
