COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ i ³⁵																		
5-1	ʈʂʰ a ŋ ⁵⁵																		
6-1	ʈʂ a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	ɕ j a ⁵¹																		
9-1	p a ²¹⁴																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ⁵¹																		
32-1	l au ²¹⁴																		
33-1	ʈʂ u ²¹⁴																		
38-1	u ⁵¹																		
40-1	y n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕʰ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʂ ə n ⁵⁵																		
56-1	tɕʰ ə n ⁵⁵																		
59-1	tʰ ei ⁵¹																		
60-1	ʈʂʰ a ŋ ⁵⁵																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ³⁵																		
98-1	l ou ³⁵																		
109-1	ʂ i n ⁵⁵																		
115-1	t au ²¹⁴																		
118-1	tɕ j a ⁵¹																		
124-1	tɕ j ou ²¹⁴																		
127-1	ʈʂ ou ⁵¹																		
133-1	t ou ⁵¹																		
144-1	ʂ e ²¹⁴																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k j a ŋ ⁵⁵																		
170-1	pʰ i ³⁵																		
171-1	t u ⁵¹																		
173-1	i ⁵¹																		
174-1	l w ei ⁵¹																		
175-1	tɕʰ j a n ³⁵																		
176-1	l j a ŋ ⁵⁵																		
177-1	p a ²¹⁴																		
179-1	l ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə ŋ ⁵⁵																		
198-1	t a ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂ u ²¹⁴																		
202-1	t au ⁵⁵																		
205-1	ʂ ə n ⁵⁵																		
206-1	t j e ⁵⁵																		
209-1	x w a ³⁵																		
211-1	tsʰ au ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k j a ²¹⁴																		
217-1	t au ³⁵																		
219-1	ʂ j a ²¹⁴																		
220-1	ʈʂʰ ou ⁵¹																		
225-1	tɕ j a n ³⁵																		
230-1	tɕ j a n ⁵¹																		
234-1	pʰ i ²¹⁴																		
238-1	l i ³⁵																		
242-1	ʈʂʰ ou ⁵¹																		
253-1	i n ³⁵																		
256-1	ʂ ou ³⁵																		
261-1	x w a ⁵⁵																		
262-1	p ai ²¹⁴																		
263-1	ʂ ʅ ³⁵																		
264-1	tɕ j a ŋ ⁵⁵																		
271-1	ʂ i ³⁵																		
272-1	tɕ j a n ⁵⁵																		
274-1	u ²¹⁴																		
275-1	p a n ⁵¹																		
279-1	n a n ³⁵																		
