COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	h a b e			
222-1	a b o b e n e			
208-1	a b a r b u t u			
962-1	a b o r ʃ e			
203-1	a ʔ o b u n i			
138-1	o m a r e			
504-1	h a s o e			
662-1	ɓ a b a n e			
478-1	oː ʔ o b e			
409-1	a r e			
410-1	h a n dʒ i			
256-1	ɓ a l e			
622-1	n b o			
546-1	n b o			
547-1	m a r e i			
847-1	m a n d e t e			
95-1	b a b e			
105-1	ɓ a m s e			
510-1	b a s e			
951-1	m b i m e r e			
1116-1	m b o l e			
149-1	ɓ a s ʔ i			
376-1	ɓ a l e			
815-1	s a r o e			
453-1	d a r e			
67-1	d a s i			
47-1	k a b k e e s e			
869-1	ɓ a l e			
57-1	k a b u			
303-1	k ʔ a n ʔ i e			
443-1	b a r e			
884-1	h a n dʒ i			
166-1	h a n dʒ i			
918-1	a b a r e			
831-1	h a ɲ s i			
616-1	b o e			
84-1	h a s a r e			
346-1	h a h e r e			
601-1	m a b e			
177-1	ɓ ʔ o s e e			
341-1	k ʔ a r e			
468-2		m a l a		
222-2		a b o b i ʔ i		
208-2		a b o r b u d u		
962-2		a g o r ʃ i		
203-2		a g o ɗ i ʔ		
138-2		a m a r e		
504-2		g o ʃ e a		
662-2		b a ɗ a		
478-2		k g o ɗ u		
409-2		a r e		
410-2		g a n d i		
256-2		ɓ a l e		
622-2		n d o		
546-2		n d o		
547-2		h a r i		
847-2		h a n d i g i		
95-2		b a d i		
105-2		b a m a ŋ i		
510-2		b a ʃ u		
951-2		m b aː l i r e		
1116-2		m b ɛ l u		
149-2		ɓ a s ʔ i		
376-2		ɓ a l i		
815-2		g a r o i		
453-2		ɲ a r e		
67-2		g a ʃ i		
47-2		g a k e l i ŋ a		
869-2		g a l u		
57-2		g a g u		
303-2		k ʔ a s ʔ i a		
443-2		g a r e		
884-2		g a n d i		
166-2		g a n d i		
918-2		a b a r e		
831-2		h a n ʃ i		
616-2		b r o		
84-2		h a s a r i		
346-2		h a h i r u		
601-2		s a g i		
177-2		k ʔ a l u		
341-2		k a l u		
468-3			m a b e	
222-3			a b i b i a	
208-3			a b a r b i d u	
962-3			a g uː r ʔ i	
203-3			a g uː d u	
138-3			m i r e	
504-3			b aː ʃ a l a	
662-3			p a d a	
478-3			a g uː d a	
409-3			a r e	
410-3			g a n d i	
256-3			p ʔ a l e	
622-3			n g i	
546-3			n g i	
547-3			h a r a	
847-3			m a n d i ʔ a	
95-3			b a d a	
105-3			b a ʔ ʔ ʃ a	
510-3			b a ʃ a	
951-3			m b ɪ m i r e	
1116-3			m b u ŋ a	
149-3			p ʔ a s ʔ i	
376-3			p ʔ a l a	
815-3			g ɔː r a ʃ a	
453-3			b a r e	
67-3			g a ʃ e	
47-3			ɗ a b u u ŋ a	
869-3			g a r u	
57-3			g a d u	
303-3			k ʔ a s ʔ i a	
443-3			g a r e	
884-3			g a n d i	
166-3			g a n d i	
918-3			a b uː r e	
831-3			h a r ʃ e	
616-3			b r e	
84-3			h a ʃ u r e	
346-3			h a h ɛ r u	
601-3			h a d a	
177-3			k ʔ a l u r	
341-3			k ʔ a r u	
468-4				m a g i
222-4				a g o b u l i
208-4				a g uː n ɗ u d i
962-4				a g uː r θ i
203-4				a g uː ɗ u ʔ
138-4				ɓ m a r e
504-4				b ə ʃ i
662-4				b a ɗ i
478-4				a g uː ɗ i
409-4				a r e
410-4				h a n z i
256-4				ɓ a l e
622-4				n d o
546-4				n d o
547-4				m a r a ʔ
847-4				h a n ɗ i ʔ i
95-4				b a ɗ i
105-4				b a f a ʃ i
510-4				b a ʃ u
951-4				m b i ʃ a r i
1116-4				m b ɪ l i
149-4				ɓ a s ʔ i
376-4				ɓ a l i
815-4				g oː r i ʔ i
453-4				ɓ a r e
67-4				g a ʃ e
47-4				b a k oː e ʃ i
869-4				g a r u
57-4				g a ʃ u
303-4				ɓ ʔ a s ʔ i i
443-4				g a r i
884-4				h a n z i
166-4				h a n d i
918-4				a b a r e
831-4				h a g ʃ i
616-4				b r o
84-4				h a ʃ a r a
346-4				h a h i θ u
601-4				s a ʔ i
177-4				ɓ u ɲ u ʔ
341-4				ɓ a r u
