COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	t i s															
1089-1	n i m ɔ															
1319-1	n i															
1398-1	s a m a r̃															
1557-1	g i r̃ i															
1626-1	a i w a															
1840-1	t i r̃ u															
2247-1	g i j															
4677-1	k i r a m															
5162-1	n i n r̃ a															
5406-1	t a n d ɛ															
359-1	k i r a															
1577-1	g i r̃ i															
2196-1	n i r a															
2230-1	s i w a															
2533-1	p a r b a															
3605-1	k a r d i															
3866-1	b ɛ s a															
4553-1	t i r b b															
4822-1	t u m b ɔ															
5254-1	d i r̃ i															
503-1	k i r̃ e j̃															
1356-1	n ɛ m ɔ															
1881-1	n u m u j m															
3218-1	b u n z i															
3372-1	n i r̃ ɛ															
3718-1	k i r̃ a															
4135-1	p ɛ r i j															
4694-1	g ɛ s s e															
807-1	g ɛ m u															
2320-1	k a r i															
2476-1	k i s															
3719-1	ŋ o															
4081-1	t u m b b i															
4313-1	n a m															
4460-1	s ɔ r a															
5810-1	p ɛ n r u															
93-1	d ɔ															
260-1	b a n r ɔ															
385-1	t ɔ m b ɛ m															
890-1	t a m b i j i															
1336-1	t i s i															
1703-1	b i m															
1769-1	d a m b ɔ															
2162-1	b ɛ r ɔ															
2635-1	s a															
3031-1	d ɔ s a															
4591-1	k i r a															
5301-1	b ɛ r a															
5605-1	d ɛ r̃ a j̃															
463-1	t a m b i															
1432-1	g ɔ r u															
1474-1	t ɔ m															
1788-1	s a z u															
2044-1	d a r̃ b a															
2713-1	t i m dʒ ɛ n b a w a															
3219-1	b a s a															
3425-1	j j															
4184-1	n a j															
4629-1	n u m d u															
4759-1	n ɛ j i															
4904-1	n k o r̃ b j															
4960-1	k i s i s i															
4980-1	t ɔ u															
5059-1	k ɔ r a															
5339-1	g i w															
5549-1	d a ŋ g u															
5905-1	g ɛ r ɔ															
5922-1	k ɔ r ɔ															
5938-1	k i nː ɔ m u u ɛ															
1-1	b ɔ															
483-1	g i s u															
629-1	d ɔ															
667-1	a w i															
1254-1	n a m b ɔ r̃ i															
1415-1	m m e															
1542-1	n n u															
1683-1	s i s															
1898-1	k a r i j															
2901-1	t a ŋ g ɔ															
2957-1	n u n ɛ															
3048-1	t i aː aː															
3251-1	j a r̃ a															
3885-1	z ɔ r a															
715-2		d i														
1089-2		n i u														
1319-2		n iː o														
1398-2		s a g ɔ l u														
1557-2		g i r̃ a														
1626-2		j i j i														
1840-2		t i r u														
2247-2		b i														
4677-2		k e r a e														
5162-2		m i n s i														
5406-2		t i m dʒ u														
359-2		g e r̃ a														
1577-2		p i r̃ ɛ														
2196-2		n i n a														
2230-2		s u s ɔ														
2533-2		p e r ɔ														
3605-2		k u l j														
3866-2		i s u														
4553-2		t i n l j i														
4822-2		k ɔ r i														
5254-2		d i r̃ ɛ														
503-2		g e r̃ a j̃														
1356-2		s a m o														
1881-2		n u m aː j̃ u														
2084-2		u u ɛː dʒ i														
2420-2		k u r ɔ														
3218-2		k a d s u														
3372-2		n i r̃ i														
3718-2		k i r̃ a														
4135-2		p e r̃ i j̃														
4694-2		k u s ŋ j														
807-2		k ɔ r u														
2320-2		k ɔ r ɔ														
2476-2		k i ɣ i														
2842-2		t i g u														
4081-2		t i n b j i														
4313-2		n a m b ɛ														
4460-2		s e r ɔ														
5514-2		s i m dʒ u														
5810-2		p e r j														
93-2		k u														
260-2		b ɔ r ɔ														
385-2		s ɛ m b i j̃														
890-2		dʒ a m g i s a														
1336-2		t i g ɛ														
1703-2		b i														
1769-2		s ɛ m b u														
2162-2		g aː r a														
2635-2		s a														
2735-2		t u n g i iː														
3031-2		t o g i														
4591-2		k i j i														
5301-2		p aː r a														
5605-2		t e r a j̃														
296-2		s ɛ m b ɔ														
463-2		t e m i														
762-2		b i n i n l u u eː														
1432-2		t o r u														
