COGID	dutch	english	french	german
1469-1	z ɛ n t			
2047-1	w ɑ n ə ə			
2054-1	m ɛ n j ə r			
1375-1	m ɛɪ k l ə m			
760-1	w ɪ n t			
756-1	s n ɑu w			
726-1	m aː d ə r			
1351-1	k l ɛɪ n s + n uː d ə			
1353-1	k l ɛɪ n + h uː d ə			
412-1	v v aː œy + d ə r ə ɔ ə ə ə			
406-1	v v aː œy + d ə r ə ɔ ə ə ə			
1005-1	v v ɑ n + h aː d ə			
1012-1	v v ɔ r + h uː d ə			
1016-1	l ə d ɛɪ aː + r b m t			
1069-1	d aː k			
509-1	v aː l ə			
693-1	v l ɑ n + + + b eː			
2179-1	n ɛ n t			
1753-1	v x ʉ m ə			
1131-1	w ɑu l t			
1198-1	b ɑu ɔ r t			
2032-1	h aː r t			
2241-1	m ɔ ŋ			
2244-1	r ɪ k t			
610-1	k n			
945-1	h aː r t			
1534-1	r aː x			
384-1	m eː ɣ			
1650-1	s ʉ ɔ			
1663-1	h ɑ l t			
2279-1	l ɑu l ə			
471-1	b ɑu x ə			
1385-1	m ɛ d ə			
792-1	r ɔ n			
1111-1	h ɪ n t			
197-1	m eː d ə			
2020-1	l ɛɪ n			
867-1	h uː n d ə r ɑ t			
1970-1	v ɑu l t			
1230-1	m r ɑ k l ə m			
2017-1	s ɛ ʉ ə m			
968-1	m ɛ d ə l t			
1674-1	l ɪ n t			
1671-1	m eː ɣ ə			
829-1	k l ɛɪ m			
1025-1	w ɑ ŋ ə r			
1027-1	z ɛɪ			
1832-1	r ɑu n			
-1816-1	aː m aː w ə			
-335-1	l aː x ə			
1043-1	s t r r m			
423-1	s t eː			
2049-1	m ɪ n t			
2062-1	s t ʉ r m			
2065-1	v aː v ɔ n + + eː k ə			
1368-1	s x eː d ə			
1365-1	d l ɑu w			
754-1	r aː x ə			
768-1	w aː n ə r			
1211-1	v r r			
106-1	l ɑ n			
-98-1	b aː p			
719-1	v aː v ə r			
1341-1	l ɔ n			
-2027-1	k ɪ n t			
-2026-1	n ɛ x ɛɪ			
409-1	v v aː v ə r + m ɑ n ə			
402-1	v v aː v + d ə r ə ə ə ə			
1014-1	v x ə n + d ɔ n t ə r			
1059-1	w iː l			
120-1	s t ɑ l			
2183-1	s t ɛ r t			
2194-1	j k ŋ			
2199-1	k ɑ l k			
2197-1	s t ɔ			
1523-1	h aː j			
1521-1	b eː k			
512-1	m aː r			
2141-1	h aː n			
2147-1	k ɑ n t			
814-1	k r aː w ə			
810-1	b eː n			
1755-1	k h ɪ n t			
1758-1	l ɑ n			
1760-1	r ɔ t			
1620-1	w ɑ ŋ ə			
1282-1	w ɔ l ə ə m			
1136-1	v ɔ k s			
1309-1	l ɛɪ n			
1307-1	n iː ŋ			
1305-1	v l ɑu			
711-1	w ɛ s t			
1442-1	v l øː ɣ			
62-1	m ʉ k			
-73-1	m eː n t ə t			
1810-1	h ɛɪ t			
1805-1	v l ɑu n			
1813-1	h aː uː r			
1811-1	b l ɑ t			
690-1	r eː ts			
2177-1	h aː r t			
246-1	v ə r + ɔ n d + eː ə ə t			
249-1	aː x ɔ n ə l ə t			
1506-1	v aː s r l ɑ n + + l ə ə t			
2242-1	m ɪ n t			
2245-1	w ɔ ŋ			
1196-1	n eː x			
2174-1	s x ɛ l t ə r			
575-1	aː v t ə r + h ɑu ə			
603-1	r ɔ n + + eː k ə			
601-1	h ɪ n t			
615-1	w ɛ ŋ k ə r			
901-1	k l uː ə ə			
608-1	h ɔ k			
596-1	t aː n			
937-1	b b r ɔ s t			
936-1	m aː d ə l			
646-1	j ʉ ŋ			
947-1	r iː v ə r			
1606-1	h ɪ s t			
472-1	m n eː t ə			
1535-1	s m ɪ ɣ ə			
1546-1	s x aː k			
1959-1	s l eː p ə			
694-1	s w ɛ r v ə			
1961-1	k r aː m ə			
323-1	ɛ x l aː v ə			
1885-1	k r ɑu m			
2156-1	v ə r + b r r d ə ə n			
1903-1	w ɛ n k			
525-1	s w ɑ l ə			
276-1	l ɛɪ m ɛɪ			
274-1	d ɑ p			
278-1	b l ɪ n t			
258-1	b ə + d r aː ŋ k ə			
256-1	n œy k ə t			
383-1	eː m ə			
207-1	r ɔ n			
376-1	k r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	x oː t ə l			
2024-1	w ɑ ŋ ə			
1321-1	k aː p			
1976-1	h ɑ n m			
1243-1	v ə n + ɑ + ɑ n t t			
1265-1	b ɑ l ə			
1261-1	h eː x ə			
655-1	b r ɑ t			
650-1	d aː x			
1532-1	k r aː ɣ ə			
-36-1	m ʉ k			
34-1	b oː n ə			
-1647-1	w eː ɣ ə			
-1615-1	w iː l ə			
125-1	w ɛɪ t			
1659-1	h ɛ n ə			
1661-1	m iː l t			
1676-1	b oː d ə r			
480-1	b ə + d r ə n t			
1466-1	k l aː v ə			
2277-1	w ɑu l			
2271-1	v ɑu l t			
2293-1	r aː n ə r			
624-1	s x ɪ ŋ ə			
628-1	s p ɛ ŋ d ə			
626-1	w eː d ə			
633-1	m aː d ə l m			
1185-1	v oː ɛɪ r + ɔ n d ə r			
1179-1	h ɔ t			
2168-1	k aː m			
1952-1	d ɑ l			
899-1	m aː d ə r			
922-1	b ɛɪ t			
-934-1	l ɛ l k			
916-1	k r ɔ n			
1726-1	w aː l t			
2108-1	v l aː ɣ ə			
1133-1	v ɛ r k			
2114-1	s x aː d ə			
1272-1	r aː x ə			
1979-1	x r ɔ n			
1989-1	h aː j			
-2260-1	v l ɛ ŋ k ə			
70-1	b uː ŋ			
-89-1	v aː n + r + + s t eː t			
-12-1	w ɔ ŋ			
713-1	w ɔ f t			
747-1	n eː m ə l			
308-1	d eː n			
289-1	k ɪ n k ə			
1930-1	b r aː v ə			
1928-1	s p ɑ r ɛɪ t ə			
858-1	d ə r s t r aː k ə			
1577-1	h aː l ə			
908-1	w eː ŋ ə			
648-1	b oː l ə			
1855-1	h eː l ə			
657-1	h eː v ə r			
2058-1	m eː ɣ ə			
949-1	v l ɛɪ + + s n eː n			
1642-1	k ɪ n t			
1640-1	w ɑ l v ə			
1633-1	ɑu l ə			
1630-1	b ɛɪ n			
993-1	k l ɛɪ t			
-2121-1	m ɑu l ə			
1692-1	v eː l ə			
1694-1	k r aː ɣ ə m			
1062-1	h ɛ ŋ k ə			
476-1	s ɛ ɑ ŋ ə			
1051-1	v l aː ɣ ə			
1075-1	b r aː v ə			
135-1	z l aː v ə			
-134-1	d ɛ r v ə			
1839-1	b + ɣ l ə			
1097-1	v r ə + + z aː m ə ə ə ə			
1777-1	w ɔ r k ə			
1434-1	b r aː ŋ ə			
1417-1	m oː d ə			
1424-1	r ʉ x ə			
778-1	p aː t			
790-1	b r ʉ t			
1223-1	b oː d ə l			
1117-1	v oː ɣ ə			
1411-1	h aː x ə			
1407-1	v oː r r + h ɑu d ə			
1390-1	z ɑ l			
2086-1	x oː w ə			
2082-1	v ə r ɑ m + + eː v ə			
576-1	v eː ŋ ə			
579-1	v ɛ r k ə			
581-1	v ə r + l aː l ə			
-1791-1	r ɑ n			
-225-1	b r eː t			
-2284-1	k l ɑ t			
1479-1	j v l ə ə			
847-1	h aː k			
659-1	b oː x ə			
860-1	m ɪ d m			
213-1	r ɛ n t			
1286-1	h aː r			
1293-1	m ɛ s t ə			
474-1	z iː k			
467-1	z ɑ n			
1177-1	d ɑ f			
588-1	v l ɑ k			
584-1	h aː x			
-1153-1	r ɪ n t			
700-1	s w eː l t			
875-1	m oː p ə t			
1559-1	ɑ l			
1565-1	m ɑ l			
1968-1	h ɛ r s t ə			
-350-1	b uː aː r			
