COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a ³¹						
18-1	m a ɛ ŋ ⁵						
19-1	n j ḛ ⁵						
44-1	d l a̰ k ³						
50-1	m a ŋ ³						
62-1	s a ʔ ³						
70-1	d j ɛ n ³						
75-1	m j ɛ ³						
97-1	d j a ŋ ⁵						
112-1	dʒ a ³						
122-1	m j ɛ ³¹						
127-1	d a i ⁵						
132-1	d l ɛ ʔ ⁵						
133-1	m au ³						
135-1	m au ³						
142-1	d a i ³						
143-1	l a t ³¹						
149-1	j ə ⁵						
152-1	m a ³¹						
157-1	b ei ³						
183-1	j u ³						
184-1	m a n ʔ ⁵						
185-1	tʃʰ a m ³						
189-1	n j ɛ ³						
192-1	m a ³						
195-1	dʒ ei ³						
200-1	ei m ⁵						
216-1	j a ŋ ³						
218-1	l a k ³						
225-1	m a ŋ ³						
235-1	d a ɛ ³¹						
244-1	s i i ³						
253-1	m j ai ³						
270-1	m j a̰ ³						
278-1	n j a̰ ŋ ³						
279-1	a ai ⁵						
285-1	d j a m ³¹						
308-1	pʰ j ai ⁵						
322-1	m j i ³¹						
325-1	b ɛ ³						
337-1	m j a ŋ ⁵						
341-1	d z ɔ ⁵						
347-1	n j ɛ ʔ ⁵						
362-1	d j ei ³						
391-1	l u p ³¹						
394-1	m a ³¹						
397-1	tʃʰ a ³						
443-1	m j ɛ ⁵						
460-1	s a p ³						
463-1	d ei i ³						
464-1	m a m ³						
473-1	ʃ a m ³						
476-1	d j ɛ ³¹						
481-1	dʒ a ³						
494-1	d au ⁵						
496-1	d j ɛ ŋ ³						
516-1	a au ³						
522-1	m a k ³¹						
523-1	d j ɛ ³¹						
524-1	n ei ³						
540-1	b u ³						
3-1	d ɛ ³						
6-1	d j ai ⁵						
7-1	b a n ³						
20-1	l a p ³²						
51-1	m a ŋ ³						
64-1	tʃʰ ɛ ŋ ³						
65-1	tʃʰ w ɛ ³¹						
66-1	d s ai ⁵						
71-1	s i ⁵						
72-1	b a ³						
76-1	a a ³						
77-1	m j ɛ k ⁵						
78-1	m au m ³						
82-1	b j ɛ ³						
87-1	m ɔ̰ ³¹						
93-1	l a m ³						
94-1	m j ɛ k ³						
100-1	b a a ŋ ³						
116-1	d a ai ³						
119-1	l a ³						
124-1	pʰ j ɛ ³¹						
136-1	l a i ⁵						
137-1	d j a ɛ ³						
144-1	n ɛ t ³						
145-1	kʰ a n ³						
146-1	m a a̰ ³						
150-1	j ɛ ⁵³						
154-1	m j a i ⁵						
165-1	kʰ j ɛ m ⁵						
166-1	d a ɔ ⁵						
169-1	d j ɛ ŋ ³						
170-1	d a ɔ ⁵						
171-1	l a m ³						
174-1	l a m ³						
181-1	n j ɛ ³						
193-1	b a ³						
205-1	m a ʔ ⁵³						
206-1	m w a̰ ³						
212-1	d j a ³						
214-1	l a m ³						
217-1	m a ³						
224-1	m j a ei ³						
228-1	b a ³¹						
238-1	j a au ³						
241-1	s a ⁵						
246-1	d a ɛ ³						
256-1	ʔ a ³						
257-1	b a ³						
272-1	m ɔ ³¹						
273-1	j a ³						
274-1	m a ŋ ⁵						
286-1	kʰ j ɔ m ⁵						
289-1	kʰ a ŋ ³						
294-1	j a ⁵						
301-1	j ɔ ³²						
306-1	tʃʰ l ɛ ³¹						
307-1	l a p ³¹						
321-1	tʃʰ a ŋ ³						
331-1	n j ai ³¹						
332-1	l a m ³						
335-1	d a ɔ ⁵						
336-1	n a a m ³						
340-1	n au ³						
342-1	m j a̰ ³						
360-1	tʃʰ j ɛ ³¹						
376-1	b dʒ a ʔ ³						
389-1	m ɛ ʔ ³ ³						
395-1	m a ³¹						
401-1	dʒ a ³						
404-1	d ɛ ŋ ³						
408-1	d ɔ ⁵						
409-1	l a̰ ⁵						
413-1	d j ɛ ŋ ³						
421-1	m j ɛ ʔ ³¹						
425-1	d ɛ ³						
430-1	t a ³						
442-1	t ei ³						
447-1	kʰ a m ⁵						
456-1	b ei						
458-1	dʒ i ⁵						
469-1	kʰ ɛ ³						
470-1	b a p ³¹						
475-1	m a ³						
477-1	n a a̰ ⁵³						
478-1	d s a ³						
480-1	dʒ ɛ ʔ ³						
485-1	m j ai ⁵						
495-1	m ɛ ⁵						
499-1	n j a̰ ŋ ³¹						
500-1	m j w ɛ m ³						
501-1	dʒ ə ³						
506-1	j a ³						
507-1	l a ŋ ³¹						
509-1	l a m ³						
510-1	d a a ŋ ³						
511-1	l a k ³						
521-1	b ɛ ³						
525-1	m j a ei ³						
538-1	d a ɛ ³						
539-1	tʃʰ j ɛ ŋ ³						
544-1	d l ɛ ³²						
550-1	tʃʰ j ɛ ³²						
562-1	n l ɛ m ³						
568-1	g a ³						
2-1	g a n ³¹						
11-1	b a n ³¹						
12-1	d j a̰ ³						
22-1	d a ŋ ⁵						
28-1	d j ɛ ⁵						
29-1	t a ⁵³						
30-1	l a ŋ ³¹						
35-1	l a ŋ ³						
38-1	d tʃʰ a m ⁵						
42-1	d ɛ ³						
