COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a ɛ n ɛ z a									
1285-1	n u a ɛ									
1303-1	n g ɔ m a									
2197-1	z u a l a									
2828-1	i n a									
3572-1	ʃ ɔ n i									
1095-1	l i m a									
1755-1	z ŋʰ ɛ									
1789-1	k a l a a ŋ g a									
3207-1	z u l a									
3519-1	t u m a									
3686-1	n i n tʃ a									
4249-1	k u m i									
4451-1	β i s i									
448-1	k ɛ á a l ʊ									
630-1	β ɛ ʊ l ʊ̀									
814-1	n ɔ u m tʃ ɛ									
1216-1	g a z i z a									
1228-1	β j a a									
1418-1	s i m á z z a									
1475-1	g i a									
2026-1	tʃ j i ɛ									
2775-1	z u u m tʃ a									
3397-1	β ɔ l ɔ									
3826-1	s ɔ tʃ a									
4003-1	n i i h a									
4040-1	g ɛ n i									
4373-1	l i n i									
4384-1	i ŋʰ ɔ									
84-1	s u g ʊ l ʊ									
116-1	ʃ i k a									
181-1	g ɔ u ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	z i n a									
1159-1	n a									
1350-1	l j a a									
1374-1	n ɛ a a n ɛ									
1396-1	ɔ β u									
1430-1	i i s ɔ									
1666-1	n a u n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	n g a h i									
2286-1	l a									
2317-1	β ʊ k a									
2419-1	ʃ ɛ k a									
2750-1	a i s i									
3018-1	ʃ i l a									
3275-1	k a a n a									
3441-1	s a á ŋ g a									
3464-1	z ɔ n a									
3639-1	t u t ɛ m a a a									
3885-1	s u m ɔ									
3981-1	i b m a z a									
4192-1	β i a m d a									
4260-1	z j a a									
4350-1	l ɛ á l a ɔ									
43-1	b ɔ ɔ t a									
93-1	k ɔ n ɔ									
200-1	β i i									
374-1	k a a l j a a									
459-1	l u m a									
508-1	k ɔ k u									
528-1	β i l i									
575-1	tʃ a i									
871-1	k w n a									
1137-1	β ʊ g a									
1339-1	d j i a									
1585-1	a a l a									
1712-1	ʃ u l ɔ									
1872-1	p i i									
2088-1	β i s a									
2166-1	n ʊ ɛ m b a									
2334-1	g i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i i n g i									
2738-1	β ɛ ʊ l ʊ̀									
2872-1	k a s i									
2893-1	a k ɔ a									
2997-1	g a ɛ z a									
3075-1	k u l ʊ b a									
3675-1	l j ɛ a l ɛ									
4028-1	tʃ j ɛ									
4137-1	m ʊ l a									
4238-1	i i s m z i									
4316-1	tʃ a tʃ a									
4429-1	i a z a									
4440-1	β i l i									
4485-1	z ɔ									
4574-1	β a a a l a									
4688-1	n i i a ɛ									
143-1	z u i									
240-1	i ʊ g a									
388-1	n a i ʊ m a									
401-1	dʒ a									
2689-2		v a m a								
893-2		a a k ŋ l a								
1303-2		n k o m a								
2197-2		s oː a l a								
2828-2		s á n a								
