COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	h i ɗ i			
222-1	a ɓ i ɓ i n o			
208-1	a b i l ɓ i e o			
962-1	a l i l ʃ o			
203-1	a ɓ i k i e o			
138-1	i ʃ i l o			
504-1	ɓ i ʃ i o			
662-1	k i ɓ e o			
478-1	e ɓ i ʔ o			
409-1	i l i			
410-1	k i n ʔ o			
256-1	k ɓ i l o			
622-1	n g i			
546-1	n g i			
547-1	mː i ʃ i o			
847-1	m i l ɓ i k o			
95-1	ɓ i ɗ i			
105-1	b i ɓ e n o			
510-1	ɓ i ʃ i			
951-1	m b i ɲ i r o			
1116-1	mː ɓ i ʃ o			
149-1	k l i ʃ k o			
376-1	k ɓ i l o			
815-1	ɓ i l i o			
453-1	ɓ i n i			
67-1	ɓ i ʃ i			
47-1	s o ɓ d ɓ i ʃ o			
869-1	ɓ i ʃ i			
57-1	ɓ i ɗ i			
303-1	k l i ʃ k i o			
443-1	ɓ i l i			
884-1	k i n ʔ o			
166-1	k i n ʔ o			
918-1	a ɓ i l o			
831-1	mː i ɲ ʃ o			
616-1	k i i			
84-1	h i ʃ i l o			
346-1	h i h i l o			
601-1	h i ɗ i			
177-1	k ɓ i ʃ i o			
341-1	k ɓ i l o			
1066-1	s i l ʃ ɓ i n o			
318-1	mː ʃ i ʃ i			
241-1	m i g dʒ ʃ o			
556-1	m a l ɓ i n o			
191-1	k d i k ʔ i r			
458-1	a ʃ l i ʃ k o			
1-1	m a l k i r o			
751-1	l i			
864-1	a l i n e e o			
154-1	a l l i n dʒ o			
278-1	a l i l i k o			
766-1	h i l i			
251-1	a ɓ i l o			
582-1	i b i n o			
6-1	i l i			
1106-1	n g i			
473-1	ɓ i n i			
1111-1	h i ʃ i			
957-1	m i l i			
41-1	b i i			
24-1	ʃ eː			
25-1	ʃ uː l e			
879-1	a b a l a k o k o			
837-1	m i l i			
233-1	b b uː k o u o			
938-1	k d u l d ʔ i a			
369-1	a l a			
946-1	mʷ o n k o			
889-1	k b a l e			
820-1	o h i l i eː			
438-1	mʷ ɓ i n o			
283-1	m a n ʃ n a ɾ e			
52-1	d u ɲ ʃ o			
842-1	k o ŋ ɪ ʃ a			
110-1	k ɓ i ɓ i l o			
165-1	n a			
1007-1	o l t i l o			
1088-1	h u l e e o			
