** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       1.1026        0.2440       0.7386         0.6464
10               1.2188        0.2551       0.7109         0.6360       1.2188        0.2583       0.7050         0.6073
2                0.8710        0.1875       0.7949         0.7074       0.8710        0.2047       0.7694         0.6901
3                1.2500        0.2913       0.7556         0.5332       3.1667        0.6435       0.4549         0.2163
4                0.6071        0.1458       0.8658         0.7477       1.0357        0.2565       0.7536         0.6193
5                2.0000        0.5500       0.7698         0.2611       3.0000        0.7667       0.6041         0.1377
6                0.8667        0.2045       0.8148         0.6637       0.9333        0.2281       0.7707         0.6271
7                1.0870        0.2443       0.8041         0.6175       1.9565        0.4303       0.6376         0.4355
8                0.6429        0.1608       0.8513         0.7251       1.0000        0.2304       0.7632         0.6427
9                1.6500        0.3358       0.7394         0.5505       2.4500        0.5524       0.5817         0.2675
TOTAL            1.1296        0.2607       0.7835         0.6086       1.6735        0.3815       0.6779         0.4890


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       1.5070        0.3245       0.6275         0.5498
10               1.4600        0.2904       0.6434         0.5921       1.3400        0.2802       0.6421         0.5865
2                1.1786        0.2462       0.6963         0.6332       1.6250        0.3420       0.6261         0.5098
3                2.2222        0.5083       0.5753         0.3461       3.1667        0.6956       0.4012         0.1739
4                1.0000        0.2500       0.7220         0.6178       1.4286        0.3792       0.5978         0.4345
5                2.0000        0.6354       0.6826         0.1932       2.6250        0.7208       0.5293         0.1468
6                0.8846        0.1992       0.7882         0.6876       1.4808        0.3695       0.6201         0.4521
7                1.3158        0.3154       0.7328         0.5270       2.1053        0.4965       0.4845         0.3615
