COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n a ⁵⁵								
495-1	n a ³¹								
838-1	w ʐ a ʔ ⁵⁵								
438-1	ɕ a ʔ ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l a ³¹								
394-1	n ʐ a ³¹								
221-1	l a ʔ ⁵⁵								
202-1	tsʰ a ³¹								
935-1	w a ³¹								
93-1	ts a ³¹								
7-1	tsʰ a ŋ ³¹								
664-1	e m ⁵⁵								
246-1	x w a ʔ ⁵⁵								
547-1	w ʐ a ʔ ⁵⁵								
555-1	l a m ⁵⁵								
464-1	n a ³¹								
119-1	w j a ŋ ⁵⁵								
835-1	w ʐ a p ³¹								
79-1	tsʰ w a ³¹								
693-1	n a ⁵⁵								
477-1	n w a p ⁵⁵								
891-1	tsʰ a n ⁵⁵								
528-1	w l̥ a ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n e ʔ ⁵⁵								
217-1	w ʐ a p ⁵⁵								
896-1	tsʰ au ʔ ⁵⁵								
452-1	ʐ a ʔ ⁵⁵								
580-1	w ʐ a ʔ ⁵⁵								
833-1	n a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	n w a ⁵⁵								
86-1	tsʰ a ŋ ⁵⁵								
384-1	n a m ³¹								
61-1	t a m ⁵⁵								
536-1	w ʐ a ʔ ⁵⁵								
731-1	ʂ a ³¹								
779-1	pʰ a ⁵⁵								
589-1	t e m ⁵⁵								
658-1	ʑ a m ⁵⁵								
456-1	n ȵ a m ³¹								
183-1	x l̥ a ³¹								
785-1	x a ³¹								
714-1	a ⁵⁵								
331-1	l̥ a ³¹								
930-1	n a ʔ ³¹								
161-1	x w a m ⁵⁵								
814-1	x w a ³¹								
179-1	x w a ʔ ⁵⁵								
194-1	w ʐ a ʔ ⁵⁵								
727-1	ʂ a m ⁵⁵								
260-1	x tɕ a p ⁵⁵								
144-1	x w a m ⁵⁵								
53-1	p a m ⁵⁵								
59-1	t a ʔ ⁵⁵								
506-1	p a ʔ ⁵⁵								
29-1	p a ʔ ⁵⁵								
316-1	t w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	j a ⁵⁵								
312-1	x w a ³¹								
490-1	n w a ⁵⁵								
436-1	n ʐ a ³¹								
927-1	n e m ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	l a m ⁵⁵								
873-1	a ŋ ⁵⁵								
877-1	ʂ a ⁵⁵								
344-1	l a m ⁵⁵								
