COGID	Albanian	English	French	German	Latin
560-1	t e n				
438-1	ə r i				
1222-1	l u				
353-1	d g i ʃ ʃ				
201-1	p ə t				
20-1	g p ə r				
503-1	p r ə n				
957-1	t e				
728-1	l a t				
244-1	n e m ə				
289-1	n t e				
911-1	l a t ʃ				
724-1	p r t				
145-1	p t u				
992-1	t				
1181-1	c ə n ʃ				
741-1	p t e t				
1150-1	ɟ e p s ʃ r				
585-1	ʃ				
814-1	v ə r t i o				
560-2		v u			
438-2		a r			
1222-2		ɑ			
353-2		f ɑ t			
201-2		f ɪ n t			
20-2		f ə r			
503-2		f u l			
957-2		j u			
728-2		l a n t			
244-2		n au d			
289-2		n ɑ t			
911-2		w ə r ə l			
724-2		θ r n ə			
145-2		s w ɑ			
992-2		w i			
706-2		a			
106-2		f ə t ə r			
741-2		k t t			
421-2		b l ɑ d			
227-2		f ə t			
920-2		h ə r			
1083-2		h ə r n			
1066-2		a ʃ			
1125-2		k n			
1197-2		m ə t ə r			
473-2		n ɑ			
284-2		n o			
661-2		o			
701-2		r ɑ d			
315-2		r ə d			
1169-2		s o l t			
1150-2		j ə r t			
982-2		n s			
987-2		s n ə			
1055-2		s t ə r n			
1130-2		s o			
433-2		s ɪ n ə			
625-2		w au n			
1186-2		s o n			
560-3			v j y		
438-3			a r		
1222-3			i		
353-3			p ɛ		
201-3			k ɑ̃		
20-3			ʃ a l		
503-3			p a		
957-3			w i		
728-3			l ɑ̃		
244-3			n ɑ̃ m		
289-3			n w a		
911-3			r ɛ w		
724-3			b r z a		
145-3			k w a		
992-3			b u		
1181-3			s j a		
706-3			o b		
106-3			p ɔ a r		
741-3			p w a		
421-3			f l i r		
227-3			k w a		
920-3			k u r z z		
1083-3			k u r		
1066-3			ɛ		
1125-3			k y n		
1197-3			m a a r		
473-3			m ɔ z		
284-3			m ɛ		
661-3			w y		
701-3			r u		
315-3			r u		
1169-3			k u l		
1150-3			r r e		
982-3			k ɛ		
987-3			w i		
1055-3			f b a z		
1130-3			k i		
433-3			k u z z		
585-3			b u		
625-3			l ɑ̃		
1186-3			k i		
814-3			v a r a		
560-4				e u m	
438-4				e r	
1222-4					
353-4				f p o ʃ	
201-4				f u m	
20-4				f a r	
503-4				f e l	
957-4				i n	
728-4				l a m	
244-4				n i m n	
289-4				n e t	
911-4				r u t	
724-4				d r	
145-4				t oː	
992-4				z	
1181-4				ʃ a n	
706-4				e z	
106-4				f a d r	
421-4				f l u r	
227-4				f	
920-4				h a r	
1083-4				h a r n	
1066-4					
1125-4				n	
1197-4				m u d r	
473-4				n u	
284-4				n a	
661-4				v e n	
701-4				r u t	
315-4				r u n	
1169-4				ʃ a l t	
1150-4				f e r t	
982-4				z i t	
987-4				n aː	
1055-4				f t e r	
1130-4				ʃ u	
433-4				ʃ u n	
585-4				m	
625-4				t u m	
1186-4				t u x d	
814-4				e l	
560-5					w e n o
438-5					a r e
1222-5					kʷ kʷ e
353-5					p e t o
201-5					k e n e
20-5					k e t e t r
503-5					p r e n o
957-5					kʷ e n
728-5					l e n d o
244-5					n e n e o
289-5					n b e t
911-5					r e n t i
724-5					t r e
145-5					d kʷ e o
992-5					s oː
1181-5					k e n t o
706-5					o i i o
106-5					p e nː e r
741-5					p e t o
421-5					f l o o r
227-5					p u o
920-5					k o r t i n
1083-5					k o r n o
1066-5					kʷ d o
1125-5					d e n o
1197-5					m e nː e r
473-5					n o p o l
284-5					n e n e
661-5					h e n u
701-5					r o nː i
315-5					o m k i d o
1169-5					s e l
982-5					a s e t o
987-5					h n o
1055-5					h t g e l u n
1130-5					s e
433-5					s o l i
585-5					t oː
625-5					l e n d e
1186-5					d e n
814-5					w r t e o
